"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gasol vs Noel (Ferrell gains possession)","0","-80","0","0","0","10","203457","1610612763","201188","0","0","1627812","1610612742"
"3","2","11:49","[DAL 2-0] Noel Jump Shot: Made (2 PTS) Assist: Ferrell (1 AST)","-120","134","2","0","1","1","","1610612742","203457","0","2","1627812","1610612742"
"4","3","11:24","[MEM] Allen Jump Shot: Missed","-2","70","2","0","1","2","","1610612763","2754","0","2","","1610612763"
"5","5","11:22","[MEM] Allen Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612763","2754","0","2","","1610612763"
"6","4","11:22","[MEM] Allen Putback Layup Shot: Missed","-6","-5","2","0","72","2","","1610612763","2754","0","2","","1610612763"
"7","6","11:20","[DAL] Finney-Smith Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1627827","0","2","","1610612763"
"8","7","11:13","[DAL] Noel Jump Shot: Missed","-16","195","2","0","1","2","","1610612742","203457","0","2","","1610612742"
"9","8","11:12","[MEM] Carter Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","1713","0","2","","1610612742"
"10","9","11:03","[MEM] Gasol Jump Shot: Missed","150","51","2","0","1","2","","1610612763","201188","0","2","","1610612763"
"11","10","11:02","[DAL] Noel Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","203457","0","2","","1610612763"
"12","11","10:37","[DAL] Brussino 3pt Shot: Missed","9","326","3","0","66","2","","1610612742","1627852","0","2","","1610612742"
"13","12","10:35","[MEM] Green Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","203210","0","2","","1610612742"
"14","13","10:26","[MEM] Gasol Jump Shot: Missed","-106","183","2","0","1","2","","1610612763","201188","0","2","","1610612763"
"15","14","10:26","[MEM] Team Rebound","0","-80","0","0","0","4","","1610612763","0","0","2","","1610612763"
"16","15","10:24","[DAL] Powell Foul: Personal (1 PF) (S Corbin)","-83","8","0","0","1","6","203210","1610612742","203939","0","2","","1610612763"
"17","16","10:18","[MEM 3-2] Conley 3pt Shot: Made (3 PTS) Assist: Gasol (1 AST)","-70","237","3","0","1","1","","1610612763","201144","3","2","201188","1610612763"
"18","17","10:01","[DAL] Finney-Smith 3pt Shot: Missed","66","242","3","0","79","2","","1610612742","1627827","3","2","","1610612742"
"19","18","10:01","[MEM] Team Rebound","0","-80","0","0","0","4","","1610612763","0","3","2","","1610612742"
"20","19","09:47","[MEM 6-2] Carter 3pt Shot: Made (3 PTS)","137","219","3","0","80","1","","1610612763","1713","6","2","","1610612763"
"21","20","09:31","[DAL] Brussino 3pt Shot: Missed","119","228","3","0","1","2","","1610612742","1627852","6","2","","1610612742"
"22","21","09:31","[MEM] Gasol Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","201188","6","2","","1610612742"
"23","22","09:16","[MEM] Carter 3pt Shot: Missed","-228","-15","3","0","1","2","","1610612763","1713","6","2","","1610612763"
"24","23","09:16","[DAL] Brussino Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1627852","6","2","","1610612763"
"25","25","08:56","[DAL] Ferrell Turnover : Bad Pass (1 TO) Steal:Conley (1 ST)","0","-80","1","0","1","5","201144","1610612742","1627812","6","2","","1610612742"
"26","26","08:46","[MEM] Gasol Turnaround Fadeaway shot: Missed","-65","36","2","0","86","2","","1610612763","201188","6","2","","1610612763"
"27","27","08:43","[DAL] Powell Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","203939","6","2","","1610612763"
"28","28","08:36","[DAL 5-6] Powell 3pt Shot: Made (3 PTS) Assist: Ferrell (2 AST)","-38","242","3","0","1","1","","1610612742","203939","6","5","1627812","1610612742"
"29","29","08:17","[MEM 8-5] Allen Driving Reverse Layup Shot: Made (2 PTS)","-7","-6","2","0","73","1","","1610612763","2754","8","5","","1610612763"
"30","30","07:53","[DAL] Ferrell Fadeaway Jump Shot: Missed","20","61","2","0","63","2","","1610612742","1627812","8","5","","1610612742"
"31","31","07:51","[MEM] Gasol Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612763","201188","8","5","","1610612742"
"32","32","07:47","[DAL] Finney-Smith Foul: Shooting (1 PF) (2 FTA) (S Corbin)","-19","7","0","1","2","6","201188","1610612742","1627827","8","5","","1610612763"
"33","33","07:47","[MEM 9-5] Gasol Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612763","201188","9","5","","1610612763"
"34","35","07:47","[MEM 10-5] Gasol Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612763","201188","10","5","","1610612763"
"35","37","07:38","[DAL] Ferrell Driving Layup Shot: Missed Block: Gasol (1 BLK)","19","2","2","0","42","2","201188","1610612742","1627812","10","5","","1610612742"
"36","38","07:36","[DAL] Brussino Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612742","1627852","10","5","","1610612742"
"37","39","07:31","[DAL] Noel Putback Layup Shot: Missed","9","-6","2","0","72","2","","1610612742","203457","10","5","","1610612742"
"38","40","07:29","[MEM] Gasol Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612763","201188","10","5","","1610612742"
"39","41","07:20","[MEM] Gasol Hook Shot: Missed Block: Noel (1 BLK)","53","21","2","0","3","2","203457","1610612763","201188","10","5","","1610612763"
"40","43","07:19","[MEM] Allen Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612763","2754","10","5","","1610612763"
"41","42","07:19","[MEM 12-5] Allen Putback Layup Shot: Made (4 PTS)","9","2","2","0","72","1","","1610612763","2754","12","5","","1610612763"
"42","44","06:58","[DAL 8-12] Ferrell 3pt Shot: Made (3 PTS)","-32","244","3","0","1","1","","1610612742","1627812","12","8","","1610612742"
"43","45","06:46","[DAL] Ferrell Foul: Personal (1 PF) (M Ervin)","-94","18","0","0","1","6","203210","1610612742","1627812","12","8","","1610612763"
"44","46","06:37","[MEM 14-8] Conley Driving Reverse Layup Shot: Made (5 PTS)","17","7","2","0","73","1","","1610612763","201144","14","8","","1610612763"
