"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Vucevic vs Drummond (Smith gains possession)","0","-80","0","0","0","10","203083","1610612753","202696","0","0","202397","1610612765"
"3","2","11:41","[DET] Leuer Turnaround Jump Shot: Missed","-130","26","2","0","47","2","","1610612765","202720","0","0","","1610612765"
"4","3","11:41","[DET] Team Rebound","0","-80","0","0","0","4","","1610612765","0","0","0","","1610612765"
"5","4","11:30","[DET] Johnson Jump Shot: Missed","50","97","2","0","1","2","","1610612765","1626169","0","0","","1610612765"
"6","7","11:27","[DET] Drummond Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612765","203083","0","0","","1610612765"
"7","8","11:24","[DET] Drummond Hook Shot: Missed","-32","38","2","0","3","2","","1610612765","203083","0","0","","1610612765"
"8","9","11:24","[ORL] Vucevic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612753","202696","0","0","","1610612765"
"9","10","11:15","[ORL 3-0] Fournier 3pt Shot: Made (3 PTS) Assist: Payton (1 AST)","87","247","3","0","1","1","","1610612753","203095","3","0","203901","1610612753"
"10","11","10:51","[DET] Caldwell-Pope 3pt Shot: Missed","-38","252","3","0","1","2","","1610612765","203484","3","0","","1610612765"
"11","13","10:50","[DET] Drummond Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612765","203083","3","0","","1610612765"
"12","12","10:50","[DET 2-3] Drummond Putback Dunk Shot: Made (2 PTS)","0","1","2","0","87","1","","1610612765","203083","3","2","","1610612765"
"13","14","10:28","[ORL 5-2] Gordon Pullup Jump shot: Made (2 PTS)","-120","100","2","0","79","1","","1610612753","203932","5","2","","1610612753"
"14","15","10:11","[DET 4-5] Caldwell-Pope Floating Jump shot: Made (2 PTS) Assist: Drummond (1 AST)","2","101","2","0","78","1","","1610612765","203484","5","4","203083","1610612765"
"15","17","09:50","[ORL] Payton Pullup Jump shot: Missed","-106","23","2","0","79","2","","1610612753","203901","5","4","","1610612753"
"16","18","09:50","[DET] Drummond Rebound (Off:2 Def:1)","0","-80","0","0","0","4","","1610612765","203083","5","4","","1610612753"
"17","19","09:35","[DET] Drummond Hook Shot: Missed","22","65","2","0","3","2","","1610612765","203083","5","4","","1610612765"
"18","20","09:34","[ORL] Gordon Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612753","203932","5","4","","1610612765"
"19","21","09:25","[ORL 8-4] Gordon 3pt Shot: Made (5 PTS)","-88","237","3","0","79","1","","1610612753","203932","8","4","","1610612753"
"20","22","08:54","[DET] Caldwell-Pope Pullup Jump shot: Missed","-156","141","2","0","79","2","","1610612765","203484","8","4","","1610612765"
"21","23","08:54","[ORL] Gordon Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612753","203932","8","4","","1610612765"
"22","24","08:43","[ORL] Fournier 3pt Shot: Missed","235","3","3","0","1","2","","1610612753","203095","8","4","","1610612753"
