"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Hernangomez vs Holmes (Ndour gains possession)","0","-80","0","0","0","10","1626158","1610612752","1626195","0","0","1626254","1610612752"
"3","2","11:40","[NYK] Anthony Jump Shot: Missed","15","131","2","0","1","2","","1610612752","2546","0","0","","1610612752"
"4","3","11:39","[PHI] Holmes Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","1626158","0","0","","1610612752"
"5","4","11:19","[NYK] Anthony Foul: Shooting (1 PF) (2 FTA) (K Fitzgerald)","-25","46","0","0","2","6","1626147","1610612752","2546","0","0","","1610612755"
"6","5","11:19","[PHI] Anderson Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612755","1626147","0","0","","1610612755"
"7","6","11:19","[PHI] Team Rebound","0","-80","0","0","1","4","","1610612755","0","0","0","","1610612755"
"8","7","11:19","[PHI 1-0] Anderson Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612755","1626147","0","1","","1610612755"
"9","9","11:08","[NYK] Hernangomez Jump Shot: Missed","58","164","2","0","1","2","","1610612752","1626195","0","1","","1610612752"
"10","10","11:08","[PHI] Poythress Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","1627816","0","1","","1610612752"
"11","575","10:53","[PHI] Anderson Driving Layup Shot: Missed Block: Ndour (1 BLK)","-3","10","2","0","42","2","1626254","1610612755","1626147","0","1","","1610612755"
"12","576","10:51","[PHI] Team Rebound","0","-80","0","0","0","4","","1610612755","0","0","1","","1610612755"
"13","12","10:47","[PHI 3-0] Luwawu-Cabarrot Layup Shot: Made (2 PTS) Assist: McConnell (1 AST)","10","16","2","0","5","1","","1610612755","1627789","0","3","204456","1610612755"
"14","13","10:24","[PHI] Holmes Foul: Shooting (1 PF) (2 FTA) (K Fitzgerald)","-107","198","0","0","2","6","201584","1610612755","1626158","0","3","","1610612752"
"15","14","10:24","[NYK 1-3] Lee Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612752","201584","1","3","","1610612752"
"16","16","10:24","[NYK] Lee Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612752","201584","1","3","","1610612752"
"17","18","10:23","[PHI] Holmes Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612755","1626158","1","3","","1610612752"
