"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Whiteside vs Gortat (Jennings gains possession)","0","-80","0","0","0","10","101162","1610612748","202355","0","0","201943","1610612764"
"3","2","11:44","[WAS 2-0] Gortat Turnaround Hook Shot: Made (2 PTS)","-56","8","2","0","58","1","","1610612764","101162","0","2","","1610612764"
"4","3","11:29","[MIA] McGruder Turnover : Lost Ball (1 TO) Steal:Satoransky (1 ST)","0","-80","1","0","2","5","203107","1610612748","203585","0","2","","1610612748"
"5","4","11:20","[WAS 4-0] Oubre Jr. Driving Layup Shot: Made (2 PTS)","-2","7","2","0","42","1","","1610612764","1626162","0","4","","1610612764"
"6","5","10:56","[MIA 2-4] Whiteside Alley Oop Dunk Shot: Made (2 PTS) Assist: McGruder (1 AST)","0","1","2","0","52","1","","1610612748","202355","2","4","203585","1610612748"
"7","6","10:43","[WAS] Porter Jr. 3pt Shot: Missed","166","188","3","0","1","2","","1610612764","203490","2","4","","1610612764"
"8","7","10:42","[MIA] Whiteside Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","202355","2","4","","1610612764"
"9","8","10:23","[MIA] Richardson 3pt Shot: Missed","233","16","3","0","1","2","","1610612748","1626196","2","4","","1610612748"
"10","9","10:22","[WAS] Jennings Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","201943","2","4","","1610612748"
"11","10","10:13","[WAS] Oubre Jr. Driving Layup Shot: Missed Block: Whiteside (1 BLK)","15","8","2","0","42","2","202355","1610612764","1626162","2","4","","1610612764"
"12","11","10:12","[WAS] Team Rebound","0","-80","0","0","0","4","","1610612764","0","2","4","","1610612764"
"13","12","10:01","[MIA] G Dragic Violation:Kicked Ball (P Fraher)","0","-80","0","0","5","7","","1610612748","201609","2","4","","1610612764"
"14","13","09:54","[WAS] Satoransky 3pt Shot: Missed","243","-1","3","0","1","2","","1610612764","203107","2","4","","1610612764"
"15","14","09:53","[WAS] Gortat Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612764","101162","2","4","","1610612764"
"16","15","09:49","[WAS 6-2] Gortat Turnaround Jump Shot: Made (4 PTS)","63","101","2","0","47","1","","1610612764","101162","2","6","","1610612764"
"17","16","09:27","[MIA] G Dragic Turnover : Out of Bounds Lost Ball Turnover (1 TO) Steal:Oubre Jr. (1 ST)","0","-80","1","0","40","5","1626162","1610612748","201609","2","6","","1610612748"
"18","17","09:18","[WAS] Jennings 3pt Shot: Missed","-225","65","3","0","1","2","","1610612764","201943","2","6","","1610612764"
"19","18","09:17","[MIA] Whiteside Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612748","202355","2","6","","1610612764"
"20","19","09:07","[MIA 5-6] G Dragic 3pt Shot: Made (3 PTS) Assist: Johnson (1 AST)","15","252","3","0","1","1","","1610612748","201609","5","6","201949","1610612748"
"21","20","08:40","[WAS 8-5] Porter Jr. Jump Shot: Made (2 PTS) Assist: Satoransky (1 AST)","-115","151","2","0","1","1","","1610612764","203490","5","8","203107","1610612764"
"22","21","08:16","[MIA] Whiteside Hook Shot: Missed","96","7","2","0","3","2","","1610612748","202355","5","8","","1610612748"
"23","23","08:15","[WAS] Porter Jr. Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","203490","5","8","","1610612748"
