"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","7","11:48","Jump Ball Howard vs Drummond (Bacon gains possession)","0","-80","0","0","0","10","203083","1610612766","2730","0","0","1628407","1610612766"
"3","10","11:43","[CHA] Walker Jump Shot: Missed","117","115","2","0","1","2","","1610612766","202689","0","0","","1610612766"
"4","11","11:40","[DET] Harris Rebound (Off:2 Def:8)","-117","720","0","0","0","4","","1610612765","202699","0","0","","1610612766"
"5","12","11:25","[DET] Harris 3pt Shot: Missed","-220","163","3","0","1","2","","1610612765","202699","0","0","","1610612765"
"6","13","11:21","[CHA] Howard Rebound (Off:1 Def:14)","220","672","0","0","0","4","","1610612766","2730","0","0","","1610612765"
"7","14","11:09","[CHA] Howard Hook Shot: Missed","47","19","2","0","3","2","","1610612766","2730","0","0","","1610612766"
"8","15","11:06","[DET] Harris Rebound (Off:2 Def:8)","-47","817","0","0","0","4","","1610612765","202699","0","0","","1610612766"
"9","16","10:53","[DET 2-0] Bradley Layup Shot: Made (15 PTS)","10","16","2","0","5","1","","1610612765","202340","2","0","","1610612765"
"10","17","10:53","[CHA] Howard Violation:Defensive Goaltending","0","-80","0","0","2","7","","1610612766","2730","2","0","","1610612766"
"11","18","10:38","[DET] Drummond Foul: Shooting (1 PF) (2 FTA)","74","777","0","0","2","6","203087","1610612765","203083","2","0","","1610612766"
"12","20","10:38","[CHA] Lamb Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612766","203087","2","0","","1610612766"
"13","21","10:38","[CHA] Team Rebound","0","-80","1","0","0","4","","1610612766","0","2","0","","1610612766"
"14","22","10:38","[CHA 1-2] Lamb Free Throw 2 of 2 (15 PTS)","0","-80","1","0","12","3","","1610612766","203087","2","1","","1610612766"
"15","23","10:32","[CHA] Howard Foul: Personal (1 PF)","-38","753","0","0","1","6","203083","1610612766","2730","2","1","","1610612765"
"16","25","10:24","[DET] Bradley Driving Layup Shot: Missed","0","43","2","0","6","2","2730","1610612765","202340","2","1","","1610612765"
"17","27","10:24","[DET] Team Rebound","0","43","1","0","0","4","","1610612765","0","2","1","","1610612765"
"18","28","10:17","[DET] Johnson Floating Jump shot: Missed","-12","63","2","0","78","2","","1610612765","1626169","2","1","","1610612765"
"19","29","10:14","[CHA] Howard Rebound (Off:1 Def:14)","66","744","0","0","0","4","","1610612766","2730","2","1","","1610612765"
