"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Towns vs Gasol (Teague gains possession)","0","-80","0","0","0","10","2200","1610612750","1626157","0","0","201952","1610612750"
"3","7","11:46","[MIN] Gibson Turnover : Bad Pass (1 TO) Steal:Green (1 ST)","-101","170","1","0","1","5","201980","1610612750","201959","0","0","","1610612750"
"4","9","11:34","[SAS 2-0] Murray Driving Finger Roll Layup Shot: Made (16 PTS)","9","6","2","0","75","1","","1610612759","1627749","2","0","","1610612759"
"5","10","11:14","[MIN] Towns Jump Shot: Missed","-113","170","2","0","1","2","","1610612750","1626157","2","0","","1610612750"
"6","11","11:11","[MIN] Gibson Rebound (Off:2 Def:2)","-113","170","1","0","0","4","","1610612750","201959","2","0","","1610612750"
"7","12","11:09","[MIN 3-2] Butler 3pt Shot: Made (12 PTS) Assist: Gibson (1 AST)","199","152","3","0","1","1","","1610612750","202710","2","3","201959","1610612750"
"8","14","10:48","[SAS] Aldridge 3pt Shot: Missed","41","253","3","0","1","2","","1610612759","200746","2","3","","1610612759"
"9","15","10:45","[MIN] Towns Rebound (Off:2 Def:11)","-41","582","0","0","0","4","","1610612750","1626157","2","3","","1610612759"
"10","16","10:32","[MIN] Butler Driving Reverse Layup Shot: Missed","-11","7","2","0","73","2","200746","1610612750","202710","2","3","","1610612750"
"11","18","10:29","[SAS] Murray Rebound (Off:2 Def:3)","11","829","0","0","0","4","","1610612759","1627749","2","3","","1610612750"
"12","19","10:26","[SAS] Murray Turnover : Lost Ball (1 TO) Steal:Butler (1 ST)","-8","94","1","0","2","5","202710","1610612759","1627749","2","3","","1610612759"
"13","21","10:21","[MIN] Gibson 3pt Shot: Missed","-225","17","3","0","1","2","","1610612750","201959","2","3","","1610612750"
"14","22","10:18","[SAS] Anderson Rebound (Off:0 Def:9)","225","819","0","0","0","4","","1610612759","203937","2","3","","1610612750"
"15","23","10:04","[SAS] Aldridge Turnover : Lost Ball (1 TO) Steal:Towns (1 ST)","-84","47","1","0","2","5","1626157","1610612759","200746","2","3","","1610612759"
"16","25","09:59","[MIN] Gibson Layup Shot: Missed","-16","-1","2","0","5","2","201980","1610612750","201959","2","3","","1610612750"
"17","27","09:59","[MIN] Team Rebound","-16","-1","1","0","0","4","","1610612750","0","2","3","","1610612750"
"18","28","09:51","[MIN 5-2] Gibson Jump Shot: Made (6 PTS) Assist: Teague (1 AST)","154","4","2","0","1","1","","1610612750","201959","2","5","201952","1610612750"
"19","30","09:28","[SAS 4-5] Green Step Back Jump shot: Made (17 PTS)","5","180","2","0","80","1","","1610612759","201980","4","5","","1610612759"
"20","31","09:13","[MIN] Towns Jump Shot: Missed","-129","101","2","0","1","2","","1610612750","1626157","4","5","","1610612750"
"21","32","09:13","[SAS] Anderson Rebound (Off:0 Def:9)","129","735","0","0","0","4","","1610612759","203937","4","5","","1610612750"
"22","33","09:02","[SAS 7-5] Gasol 3pt Shot: Made (7 PTS) Assist: Aldridge (1 AST)","44","247","3","0","1","1","","1610612759","2200","7","5","200746","1610612759"
"23","35","08:42","[SAS] Murray Foul: Shooting (1 PF) (2 FTA)","125","807","0","0","2","6","203952","1610612759","1627749","7","5","","1610612750"
"24","37","08:42","[MIN] Wiggins Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612750","203952","7","5","","1610612750"
"25","38","08:42","[MIN] Team Rebound","0","-80","1","0","0","4","","1610612750","0","7","5","","1610612750"
"26","39","08:42","[MIN 6-7] Wiggins Free Throw 2 of 2 (26 PTS)","0","-80","1","0","12","3","","1610612750","203952","7","6","","1610612750"
"27","40","08:26","[SAS 9-6] Gasol Driving Hook Shot: Made (7 PTS)","-7","78","2","0","57","1","","1610612759","2200","9","6","","1610612759"
"28","41","08:19","[MIN 9-9] Butler 3pt Shot: Made (12 PTS) Assist: Teague (2 AST)","166","186","3","1","79","1","","1610612750","202710","9","9","201952","1610612750"
"29","43","08:07","[MIN] Gibson Foul: Shooting (1 PF) (2 FTA)","-30","806","0","0","2","6","200746","1610612750","201959","9","9","","1610612759"
"30","45","08:07","[SAS 10-9] Aldridge Free Throw 1 of 2 (25 PTS)","0","-80","1","0","11","3","","1610612759","200746","10","9","","1610612759"
"31","46","08:07","[SAS] Aldridge Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612759","200746","10","9","","1610612759"
"32","47","08:04","[MIN] Towns Rebound (Off:2 Def:11)","0","-80","0","0","0","4","","1610612750","1626157","10","9","","1610612759"
"33","48","07:57","[MIN 12-10] Wiggins 3pt Shot: Made (26 PTS) Assist: Towns (1 AST)","104","260","3","0","1","1","","1610612750","203952","10","12","1626157","1610612750"
"34","50","07:41","[SAS] Anderson Pullup Jump shot: Missed","-35","84","2","0","79","2","","1610612759","203937","10","12","","1610612759"
"35","51","07:39","[MIN] Towns Rebound (Off:2 Def:11)","35","751","0","0","0","4","","1610612750","1626157","10","12","","1610612759"
"36","52","07:33","[MIN] Teague 3pt Shot: Missed","70","250","3","0","79","2","1627749","1610612750","201952","10","12","","1610612750"
"37","54","07:33","[SAS] Gasol Rebound (Off:2 Def:5)","-70","586","0","0","0","4","","1610612759","2200","10","12","","1610612750"
"38","55","07:16","[SAS 13-12] Anderson 3pt Shot: Made (12 PTS) Assist: Aldridge (2 AST)","228","27","3","0","1","1","","1610612759","203937","13","12","200746","1610612759"
"39","57","07:05","[MIN] Wiggins Jump Shot: Missed","-135","118","2","0","1","2","","1610612750","203952","13","12","","1610612750"
"40","58","07:02","[SAS] Murray Rebound (Off:2 Def:3)","135","718","0","0","0","4","","1610612759","1627749","13","12","","1610612750"
"41","59","06:52","[MIN] Towns Foul: Shooting (1 PF) (2 FTA)","-133","821","0","0","2","6","200746","1610612750","1626157","13","12","","1610612759"
"42","61","06:52","[SAS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612759","1610612759","13","12","","1610612759"
"43","62","06:52","[SAS 14-12] Aldridge Free Throw 1 of 2 (25 PTS)","0","-80","1","0","11","3","","1610612759","200746","14","12","","1610612759"
"44","63","06:52","[SAS 15-12] Aldridge Free Throw 2 of 2 (25 PTS)","0","-80","1","0","12","3","","1610612759","200746","15","12","","1610612759"
"45","64","06:35","[MIN 14-15] Towns Driving Floating Jump Shot: Made (18 PTS) Assist: Wiggins (1 AST)","1","24","2","0","101","1","","1610612750","1626157","15","14","203952","1610612750"
"46","66","06:19","[SAS 17-14] Green Cutting Finger Roll Layup Shot: Made (17 PTS) Assist: Gasol (1 AST)","-25","1","2","0","99","1","","1610612759","201980","17","14","2200","1610612759"
"47","68","06:00","[MIN 16-17] Butler Driving Layup Shot: Made (12 PTS)","-4","12","2","0","6","1","","1610612750","202710","17","16","","1610612750"
"48","69","05:36","[SAS 19-16] Aldridge Turnaround Fadeaway Bank Jump Shot: Made (25 PTS)","-147","77","2","0","105","1","","1610612759","200746","19","16","","1610612759"
"49","70","05:21","[SAS] Anderson Foul: Shooting (1 PF) (3 FTA)","109","588","0","0","2","6","203952","1610612759","203937","19","16","","1610612750"
"50","72","05:21","[MIN 17-19] Wiggins Free Throw 1 of 3 (26 PTS)","0","-80","1","0","13","3","","1610612750","203952","19","17","","1610612750"
"51","73","05:21","[MIN] Wiggins Free Throw 2 of 3 Missed","0","-80","2","0","14","3","","1610612750","203952","19","17","","1610612750"
"52","74","05:21","[MIN] Team Rebound","0","-80","1","0","0","4","","1610612750","0","19","17","","1610612750"
"53","79","05:21","[SAS] Anderson Substitution replaced by Mills","0","-80","0","0","0","8","","1610612759","203937","19","17","201988","1610612750"
"54","80","05:21","[SAS] Murray Substitution replaced by Ginobili","0","-80","0","0","0","8","","1610612759","1627749","19","17","1938","1610612750"
"55","81","05:21","[SAS] Green Substitution replaced by Gay","0","-80","0","0","0","8","","1610612759","201980","19","17","200752","1610612750"
"56","82","05:21","[MIN] Towns Substitution replaced by Dieng","0","-80","0","0","0","8","","1610612750","1626157","19","17","203476","1610612750"
"57","83","05:21","[MIN] Wiggins Free Throw 3 of 3 Missed","0","-80","2","0","15","3","","1610612750","203952","19","17","","1610612750"
"58","84","05:17","[SAS] Ginobili Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612759","1938","19","17","","1610612750"
"59","85","05:05","[SAS 22-17] Mills 3pt Shot: Made (3 PTS) Assist: Ginobili (1 AST)","-197","157","3","0","1","1","","1610612759","201988","22","17","1938","1610612759"
"60","87","04:52","[MIN] Butler Turnaround Jump Shot: Missed","153","80","2","0","47","2","","1610612750","202710","22","17","","1610612750"
"61","88","04:50","[SAS] Gasol Rebound (Off:2 Def:5)","-153","756","0","0","0","4","","1610612759","2200","22","17","","1610612750"
"62","89","04:41","[SAS 25-17] Ginobili 3pt Shot: Made (9 PTS) Assist: Mills (1 AST)","-147","214","3","0","1","1","","1610612759","1938","25","17","201988","1610612759"
"63","91","04:26","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","25","17","","1610612750"
"64","93","04:26","[SAS] Gasol Substitution replaced by Lauvergne","0","-80","0","0","0","8","","1610612759","2200","25","17","203530","1610612750"
"65","94","04:19","[MIN] Teague Step Back Jump shot: Missed","-51","205","2","0","80","2","","1610612750","201952","25","17","","1610612750"
"66","95","04:17","[SAS] Ginobili Rebound (Off:0 Def:3)","51","630","0","0","0","4","","1610612759","1938","25","17","","1610612750"
"67","96","04:17","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","25","17","","1610612759"
"68","97","04:05","[MIN] Dieng Violation:Kicked Ball","0","-80","0","0","5","7","","1610612750","203476","25","17","","1610612759"
"69","98","03:54","[SAS] Lauvergne Hook Shot: Missed","75","0","2","0","3","2","","1610612759","203530","25","17","","1610612759"
"70","99","03:51","[MIN] Gibson Rebound (Off:2 Def:2)","-75","835","0","0","0","4","","1610612750","201959","25","17","","1610612759"
"71","100","03:40","[MIN] Gibson Layup Shot: Missed","-9","8","2","0","5","2","","1610612750","201959","25","17","","1610612750"
"72","101","03:39","[SAS] Lauvergne Rebound (Off:2 Def:1)","9","828","0","0","0","4","","1610612759","203530","25","17","","1610612750"
"73","102","03:22","[SAS 28-17] Aldridge 3pt Shot: Made (25 PTS)","101","231","3","0","1","1","","1610612759","200746","28","17","","1610612759"
"74","103","03:00","[MIN 19-28] Wiggins Cutting Dunk Shot: Made (26 PTS) Assist: Butler (1 AST)","-3","5","2","0","108","1","","1610612750","203952","28","19","202710","1610612750"
"75","105","02:37","[SAS] Aldridge Jump Shot: Missed","-143","74","2","0","1","2","","1610612759","200746","28","19","","1610612759"
"76","106","02:35","[SAS] Lauvergne Rebound (Off:2 Def:1)","-143","74","1","0","0","4","","1610612759","203530","28","19","","1610612759"
"77","107","02:29","[SAS] Lauvergne Turnaround Hook Shot: Missed","-32","79","2","0","58","2","","1610612759","203530","28","19","","1610612759"
"78","108","02:23","[SAS] Aldridge Rebound (Off:5 Def:5)","-32","79","1","0","0","4","","1610612759","200746","28","19","","1610612759"
"79","109","02:23","[SAS] Aldridge Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612759","200746","28","19","","1610612759"
"80","110","02:22","[MIN] Wiggins Rebound (Off:1 Def:4)","0","841","0","0","0","4","","1610612750","203952","28","19","","1610612759"
"81","111","02:20","[MIN] Wiggins Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-166","-39","0","0","45","5","","1610612750","203952","28","19","","1610612750"
"82","112","02:20","[MIN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612750","1610612750","28","19","","1610612759"
"83","117","02:20","[SAS] Aldridge Substitution replaced by Gasol","0","-80","0","0","0","8","","1610612759","200746","28","19","2200","1610612759"
"84","118","02:20","[MIN] Teague Substitution replaced by Muhammad","0","-80","0","0","0","8","","1610612750","201952","28","19","203498","1610612759"
"85","119","02:20","[MIN] Wiggins Substitution replaced by Crawford","0","-80","0","0","0","8","","1610612750","203952","28","19","2037","1610612759"
"86","120","02:20","[MIN] Butler Substitution replaced by Jones","0","-80","0","0","0","8","","1610612750","202710","28","19","1626145","1610612759"
"87","121","02:05","[SAS 30-19] Ginobili Driving Finger Roll Layup Shot: Made (9 PTS)","-16","11","2","0","75","1","","1610612759","1938","30","19","","1610612759"
"88","122","01:50","[MIN 21-30] Crawford Pullup Jump shot: Made (10 PTS) Assist: Dieng (1 AST)","101","108","2","0","79","1","","1610612750","2037","30","21","203476","1610612750"
"89","124","01:37","[SAS] Gay Jump Shot: Missed","-83","105","2","0","1","2","","1610612759","200752","30","21","","1610612759"
"90","125","01:36","[SAS] Team Rebound","-83","105","1","0","0","4","","1610612759","0","30","21","","1610612759"
"91","126","01:25","[SAS] Lauvergne Driving Layup Shot: Missed","11","12","2","0","6","2","","1610612759","203530","30","21","","1610612759"
