"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Dedmon vs Mozgov (Prince gains possession)","0","-80","0","0","0","10","202389","1610612737","203473","0","0","1627752","1610612737"
"3","7","11:45","[ATL] Bazemore Pullup Jump shot: Missed","-87","169","2","0","79","2","","1610612737","203145","0","0","","1610612737"
"4","8","11:41","[BKN] LeVert Rebound (Off:0 Def:1)","87","666","0","0","0","4","","1610612751","1627747","0","0","","1610612737"
"5","9","11:30","[BKN] Hollis-Jefferson Driving Layup Shot: Missed","-22","5","2","0","6","2","","1610612751","1626178","0","0","","1610612751"
"6","10","11:28","[ATL] Dedmon Rebound (Off:0 Def:3)","22","830","0","0","0","4","","1610612737","203473","0","0","","1610612751"
"7","11","11:21","[ATL] Bazemore Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-73","246","0","0","45","5","","1610612737","203145","0","0","","1610612737"
"8","12","11:03","[BKN] Hollis-Jefferson Driving Layup Shot: Missed","27","31","2","0","6","2","","1610612751","1626178","0","0","","1610612751"
"9","13","11:00","[BKN] Russell Rebound (Off:1 Def:1)","27","31","1","0","0","4","","1610612751","1626156","0","0","","1610612751"
"10","14","10:47","[BKN] Mozgov Turnaround Hook Shot: Missed","9","44","2","0","58","2","","1610612751","202389","0","0","","1610612751"
"11","15","10:45","[ATL] Ilyasova Rebound (Off:0 Def:2)","-9","792","0","0","0","4","","1610612737","101141","0","0","","1610612751"
"12","16","10:37","[ATL 3-0] Ilyasova 3pt Shot: Made (5 PTS) Assist: Schroder (1 AST)","140","199","3","0","1","1","","1610612737","101141","0","3","203471","1610612737"
"13","18","10:24","[BKN] Russell Turnover : Bad Pass (1 TO) Steal:Ilyasova (1 ST)","-108","97","1","0","1","5","101141","1610612751","1626156","0","3","","1610612751"
"14","20","10:21","[BKN] LeVert Foul: Shooting (1 PF) (2 FTA)","-13","817","0","0","2","6","101141","1610612751","1627747","0","3","","1610612737"
"15","22","10:21","[ATL 4-0] Ilyasova Free Throw 1 of 2 (5 PTS)","0","-80","1","1","11","3","","1610612737","101141","0","4","","1610612737"
"16","23","10:21","[ATL 5-0] Ilyasova Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612737","101141","0","5","","1610612737"
"17","24","10:07","[BKN] Russell 3pt Shot: Missed","223","-1","3","0","1","2","","1610612751","1626156","0","5","","1610612751"
"18","25","10:03","[BKN] Mozgov Rebound (Off:1 Def:1)","223","-1","1","0","0","4","","1610612751","202389","0","5","","1610612751"
"19","26","09:56","[BKN 2-5] Hollis-Jefferson Cutting Layup Shot: Made (2 PTS) Assist: LeVert (1 AST)","-14","4","2","0","98","1","","1610612751","1626178","2","5","1627747","1610612751"
"20","28","09:40","[ATL 7-2] Schroder Pullup Jump shot: Made (4 PTS)","-52","157","2","0","79","1","","1610612737","203471","2","7","","1610612737"
"21","29","09:19","[BKN] LeVert 3pt Shot: Missed","228","2","3","0","1","2","","1610612751","1627747","2","7","","1610612751"
"22","30","09:17","[ATL] Dedmon Rebound (Off:0 Def:3)","-228","834","0","0","0","4","","1610612737","203473","2","7","","1610612751"
"23","31","09:11","[ATL] Ilyasova 3pt Shot: Missed","-224","5","3","0","1","2","","1610612737","101141","2","7","","1610612737"
"24","32","09:09","[BKN] Hollis-Jefferson Rebound (Off:0 Def:2)","224","831","0","0","0","4","","1610612751","1626178","2","7","","1610612737"
"25","33","09:04","[BKN] LeVert Turnover : Step Out of Bounds Turnover (1 TO)","231","-6","0","0","39","5","","1610612751","1627747","2","7","","1610612751"
"26","34","08:52","[ATL] Schroder Pullup Jump shot: Missed","46","155","2","0","79","2","","1610612737","203471","2","7","","1610612737"
"27","35","08:49","[BKN] Mozgov Rebound (Off:1 Def:1)","-46","681","0","0","0","4","","1610612751","202389","2","7","","1610612737"
"28","36","08:41","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","7","","1610612751"
"29","37","08:26","[BKN 4-7] Carroll Driving Layup Shot: Made (4 PTS)","-3","14","2","0","6","1","","1610612751","201960","4","7","","1610612751"
"30","38","08:10","[ATL] Bazemore Turnover : Bad Pass (2 TO) Steal:Hollis-Jefferson (1 ST)","2","161","1","0","1","5","1626178","1610612737","203145","4","7","","1610612737"
"31","40","08:06","[ATL] Bazemore Foul: Shooting (1 PF) (2 FTA)","8","829","0","0","2","6","1627747","1610612737","203145","4","7","","1610612751"
"32","42","08:06","[BKN] LeVert Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612751","1627747","4","7","","1610612751"
"33","43","08:06","[BKN] Team Rebound","0","-80","1","0","1","4","","1610612751","0","4","7","","1610612751"
"34","45","08:06","[BKN] Hollis-Jefferson Substitution replaced by Acy","0","-80","0","0","0","8","","1610612751","1626178","4","7","203112","1610612751"
"35","46","08:06","[BKN 5-7] LeVert Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612751","1627747","5","7","","1610612751"
"36","47","07:55","[ATL] Ilyasova 3pt Shot: Missed","93","227","3","0","1","2","","1610612737","101141","5","7","","1610612737"
"37","48","07:53","[BKN] Acy Rebound (Off:0 Def:1)","-93","608","0","0","0","4","","1610612751","203112","5","7","","1610612737"
"38","49","07:45","[BKN] Carroll 3pt Shot: Missed","-110","219","3","0","1","2","","1610612751","201960","5","7","","1610612751"
"39","50","07:43","[ATL] Dedmon Rebound (Off:0 Def:3)","120","612","0","0","0","4","","1610612737","203473","5","7","","1610612751"
"40","51","07:26","[ATL] Bazemore Driving Layup Shot: Missed","-52","38","2","0","6","2","","1610612737","203145","5","7","","1610612737"
"41","52","07:26","[BKN] Team Rebound","52","797","0","0","0","4","","1610612751","0","5","7","","1610612737"
"42","53","07:05","[BKN] LeVert Turnover : Lost Ball (2 TO) Steal:Schroder (1 ST)","-133","197","1","0","2","5","203471","1610612751","1627747","5","7","","1610612751"
"43","55","07:03","[BKN] Acy Foul: Shooting (1 PF) (2 FTA)","14","832","0","0","2","6","1627752","1610612751","203112","5","7","","1610612737"
"44","57","07:03","[BKN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612751","1610612751","5","7","","1610612737"
"45","60","07:03","[ATL] Dedmon Substitution replaced by Belinelli","0","-80","0","0","0","8","","1610612737","203473","5","7","201158","1610612737"
"46","61","07:03","[ATL] Bazemore Substitution replaced by Collins","0","-80","0","0","0","8","","1610612737","203145","5","7","1628381","1610612737"
"47","62","07:03","[ATL 8-5] Prince Free Throw 1 of 2 (2 PTS)","0","-80","1","1","11","3","","1610612737","1627752","5","8","","1610612737"
