"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Dedmon vs Mickey (Delaney gains possession)","0","-80","0","0","0","10","1626175","1610612737","203473","0","0","1627098","1610612737"
"3","7","11:38","[ATL 3-0] Bazemore 3pt Shot: Made (3 PTS)","214","141","3","0","1","1","","1610612737","203145","0","3","","1610612737"
"4","8","11:15","[MIA] G Dragic 3pt Shot: Missed","226","43","3","0","1","2","","1610612748","201609","0","3","","1610612748"
"5","9","11:12","[ATL] Delaney Rebound (Off:0 Def:1)","-226","792","0","0","0","4","","1610612737","1627098","0","3","","1610612748"
"6","10","11:07","[ATL] Prince Turnover : Lost Ball (1 TO) Steal:Richardson (1 ST)","16","38","1","0","2","5","1626196","1610612737","1627752","0","3","","1610612737"
"7","12","10:58","[MIA] Johnson 3pt Shot: Missed","225","71","3","1","1","2","","1610612748","201949","0","3","","1610612748"
"8","13","10:55","[ATL] Bazemore Rebound (Off:0 Def:1)","-225","765","0","0","0","4","","1610612737","203145","0","3","","1610612748"
"9","14","10:46","[ATL] Dedmon 3pt Shot: Missed","-228","24","3","0","1","2","","1610612737","203473","0","3","","1610612737"
"10","15","10:40","[ATL] Bazemore Rebound (Off:1 Def:1)","-228","24","1","0","0","4","","1610612737","203145","0","3","","1610612737"
"11","16","10:31","[MIA] Waiters Foul: Shooting (1 PF) (2 FTA)","-38","657","0","0","2","6","203145","1610612748","203079","0","3","","1610612737"
"12","18","10:31","[ATL 4-0] Bazemore Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612737","203145","0","4","","1610612737"
"13","19","10:31","[ATL 5-0] Bazemore Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612737","203145","0","5","","1610612737"
"14","20","10:17","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","5","","1610612748"
"15","21","10:10","[MIA 2-5] G Dragic Jump Bank Shot: Made (2 PTS) Assist: Johnson (1 AST)","-28","27","2","0","66","1","","1610612748","201609","2","5","201949","1610612748"
"16","23","10:00","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","5","","1610612737"
"17","24","09:55","[ATL] Dedmon Hook Shot: Missed","33","62","2","0","3","2","","1610612737","203473","2","5","","1610612737"
"18","25","09:53","[MIA] Mickey Rebound (Off:0 Def:1)","-33","773","0","0","0","4","","1610612748","1626175","2","5","","1610612737"
"19","26","09:41","[MIA 5-5] Richardson 3pt Shot: Made (3 PTS) Assist: G Dragic (1 AST)","-182","236","3","0","1","1","","1610612748","1626196","5","5","201609","1610612748"
