"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Howard vs Maker","0","-80","0","0","0","10","1627748","1610612766","2730","0","0","","1610612766"
"3","7","11:43","[CHA] Williams Turnover : Bad Pass (1 TO) Steal:Maker (1 ST)","139","60","1","0","1","5","1627748","1610612766","101107","0","0","","1610612766"
"4","9","11:33","[MIL 2-0] Antetokounmpo Turnaround Fadeaway Bank Jump Shot: Made (2 PTS)","-72","15","2","0","105","1","","1610612749","203507","2","0","","1610612749"
"5","10","11:21","[CHA] Lamb Driving Layup Shot: Missed","11","26","2","0","6","2","","1610612766","203087","2","0","","1610612766"
"6","11","11:17","[MIL] Middleton Rebound (Off:0 Def:1)","-11","809","0","0","0","4","","1610612749","203114","2","0","","1610612766"
"7","12","11:15","[CHA] Howard Foul: Personal (1 PF)","17","807","0","0","1","6","203114","1610612766","2730","2","0","","1610612749"
"8","14","11:07","[MIL 4-0] Antetokounmpo Pullup Jump shot: Made (4 PTS)","0","106","2","0","79","1","","1610612749","203507","4","0","","1610612749"
"9","15","10:47","[CHA 3-4] Walker 3pt Shot: Made (3 PTS) Assist: Howard (1 AST)","-140","228","3","0","1","1","","1610612766","202689","4","3","2730","1610612766"
"10","17","10:30","[CHA] Williams Foul: Personal (1 PF)","77","779","0","0","1","6","203507","1610612766","101107","4","3","","1610612749"
"11","19","10:22","[MIL] Middleton 3pt Shot: Missed","-164","203","3","0","1","2","","1610612749","203114","4","3","","1610612749"
"12","20","10:19","[CHA] Howard Rebound (Off:0 Def:1)","164","633","0","0","0","4","","1610612766","2730","4","3","","1610612749"
"13","21","10:02","[CHA] Lamb Turnover : Bad Pass (1 TO) Steal:Maker (2 ST)","115","38","1","0","1","5","1627748","1610612766","203087","4","3","","1610612766"
"14","23","10:00","[MIL 6-3] Antetokounmpo Driving Layup Shot: Made (6 PTS)","-3","4","2","1","6","1","","1610612749","203507","6","3","","1610612749"
"15","24","10:00","[CHA] Lamb Foul: Shooting (1 PF) (1 FTA)","-9","803","0","0","2","6","203507","1610612766","203087","6","3","","1610612766"
