"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Embiid vs Drummond (Covington gains possession)","0","-80","0","0","0","10","203083","1610612755","203954","0","0","203496","1610612755"
"3","7","11:31","[PHI] Simmons Jump Shot: Missed","-92","59","2","0","1","2","","1610612755","1627732","0","0","","1610612755"
"4","8","11:29","[PHI] Simmons Rebound (Off:1 Def:0)","-92","59","1","0","0","4","","1610612755","1627732","0","0","","1610612755"
"5","9","11:28","[PHI 2-0] Embiid Layup Shot: Made (2 PTS) Assist: Simmons (1 AST)","5","7","2","0","5","1","","1610612755","203954","0","2","1627732","1610612755"
"6","11","11:13","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","2","","1610612765"
"7","12","11:07","[DET] Harris 3pt Shot: Missed","154","216","3","0","1","2","","1610612765","202699","0","2","","1610612765"
"8","13","11:03","[PHI] Simmons Rebound (Off:1 Def:1)","-154","619","0","0","0","4","","1610612755","1627732","0","2","","1610612765"
"9","14","10:56","[PHI] Bayless Floating Jump shot: Missed","73","73","2","0","78","2","","1610612755","201573","0","2","","1610612755"
"10","15","10:53","[DET] Drummond Rebound (Off:0 Def:1)","-73","762","0","0","0","4","","1610612765","203083","0","2","","1610612755"
"11","16","10:43","[DET] Harris Layup Shot: Missed","24","27","2","0","5","2","","1610612765","202699","0","2","","1610612765"
"12","17","10:35","[DET] Drummond Rebound (Off:1 Def:1)","24","27","1","0","0","4","","1610612765","203083","0","2","","1610612765"
"13","18","10:35","[DET] Drummond Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612765","203083","0","2","","1610612765"
"14","19","10:34","[PHI] Bayless Rebound (Off:0 Def:1)","0","841","0","0","0","4","","1610612755","201573","0","2","","1610612765"
"15","20","10:33","[PHI 5-0] Covington 3pt Shot: Made (3 PTS) Assist: Simmons (2 AST)","190","161","3","0","1","1","","1610612755","203496","0","5","1627732","1610612755"
"16","22","10:11","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","5","","1610612765"
"17","23","10:07","[DET] Jackson 3pt Shot: Missed","-142","237","3","0","1","2","","1610612765","202704","0","5","","1610612765"
"18","24","10:03","[PHI] Covington Rebound (Off:0 Def:1)","142","598","0","0","0","4","","1610612755","203496","0","5","","1610612765"
