"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Chandler vs Cauley-Stein (Chriss gains possession)","0","-80","0","0","0","10","1626161","1610612756","2199","0","0","1627737","1610612756"
"3","7","11:48","[PHX] Chriss Turnover : Lost Ball (1 TO) Steal:G Hill (1 ST)","82","93","1","0","2","5","201588","1610612756","1627737","0","0","","1610612756"
"4","9","11:39","[SAC 2-0] Hield Driving Layup Shot: Made (2 PTS)","-2","8","2","0","6","1","","1610612758","1627741","0","2","","1610612758"
"5","10","11:25","[PHX 2-2] Chandler Alley Oop Layup shot: Made (2 PTS) Assist: James (1 AST)","8","15","2","0","43","1","","1610612756","2199","2","2","1628455","1610612756"
"6","12","11:11","[SAC] Randolph Step Back Jump shot: Missed","6","186","2","0","80","2","","1610612758","2216","2","2","","1610612758"
"7","13","11:08","[PHX] Chandler Rebound (Off:0 Def:1)","-6","650","0","0","0","4","","1610612756","2199","2","2","","1610612758"
"8","14","10:59","[PHX 4-2] Chriss Driving Hook Shot: Made (2 PTS)","-2","35","2","0","57","1","","1610612756","1627737","4","2","","1610612756"
"9","15","10:41","[SAC] Cauley-Stein Turnover : Bad Pass (1 TO) Steal:Booker (1 ST)","-65","171","1","0","1","5","1626164","1610612758","1626161","4","2","","1610612758"
"10","17","10:31","[PHX 7-2] Chriss 3pt Shot: Made (5 PTS) Assist: Booker (1 AST)","121","226","3","0","1","1","","1610612756","1627737","7","2","1626164","1610612756"
"11","19","10:11","[SAC] Cauley-Stein Floating Jump shot: Missed","-19","92","2","0","78","2","","1610612758","1626161","7","2","","1610612758"
"12","20","10:08","[PHX] Chriss Rebound (Off:0 Def:1)","19","744","0","0","0","4","","1610612756","1627737","7","2","","1610612758"
"13","21","10:02","[PHX 9-2] Booker Pullup Jump shot: Made (2 PTS)","35","129","2","0","79","1","","1610612756","1626164","9","2","","1610612756"
"14","22","09:45","[SAC] Jackson 3pt Shot: Missed","-32","247","3","0","1","2","","1610612758","1628382","9","2","","1610612758"
"15","23","09:42","[PHX] Chandler Rebound (Off:0 Def:2)","32","588","0","0","0","4","","1610612756","2199","9","2","","1610612758"
"16","24","09:36","[PHX 11-2] Booker Step Back Jump shot: Made (4 PTS)","138","-9","2","0","80","1","","1610612756","1626164","11","2","","1610612756"
"17","25","09:20","[SAC] G Hill 3pt Shot: Missed","61","246","3","0","79","2","","1610612758","201588","11","2","","1610612758"
"18","26","09:17","[PHX] Chandler Rebound (Off:0 Def:3)","-61","589","0","0","0","4","","1610612756","2199","11","2","","1610612758"
"19","27","09:14","[PHX] Booker 3pt Shot: Missed","-32","268","3","1","103","2","","1610612756","1626164","11","2","","1610612756"
"20","28","09:09","[SAC] Hield Rebound (Off:0 Def:1)","32","567","0","0","0","4","","1610612758","1627741","11","2","","1610612756"
"21","29","09:06","[SAC] Hield 3pt Shot: Missed","-146","203","3","1","103","2","","1610612758","1627741","11","2","","1610612758"
"22","30","09:03","[PHX] Warren Rebound (Off:0 Def:1)","146","633","0","0","0","4","","1610612756","203933","11","2","","1610612758"
"23","31","08:55","[PHX] James Turnover : Bad Pass (1 TO) Steal:Cauley-Stein (1 ST)","46","23","1","0","1","5","1626161","1610612756","1628455","11","2","","1610612756"
"24","33","08:53","[SAC] Hield Turnover : Out of Bounds Lost Ball Turnover (1 TO)","231","572","0","0","40","5","","1610612758","1627741","11","2","","1610612758"
"25","34","08:39","[PHX] Booker Driving Layup Shot: Missed","-1","5","2","0","6","2","","1610612756","1626164","11","2","","1610612756"
"26","35","08:37","[SAC] Randolph Rebound (Off:0 Def:1)","1","831","0","0","0","4","","1610612758","2216","11","2","","1610612756"
"27","36","08:34","[SAC] Hield Running Layup Shot: Missed","-4","20","2","0","41","2","203933","1610612758","1627741","11","2","","1610612758"
"28","38","08:34","[PHX] Team Rebound","4","815","0","0","0","4","","1610612756","0","11","2","","1610612758"
"29","39","08:25","[SAC] Hield Foul: Personal (1 PF)","68","618","0","0","1","6","1626164","1610612758","1627741","11","2","","1610612756"
"30","41","08:19","[PHX] Chandler Hook Shot: Missed","10","11","2","0","3","2","","1610612756","2199","11","2","","1610612756"
"31","42","08:17","[PHX] Chandler Rebound (Off:1 Def:3)","10","11","1","0","0","4","","1610612756","2199","11","2","","1610612756"
"32","48","08:17","[PHX] Chandler Tip Layup Shot: Missed","-9","1","2","0","97","2","","1610612756","2199","11","2","","1610612756"
"33","49","08:16","[SAC] Randolph Rebound (Off:0 Def:2)","9","834","0","0","0","4","","1610612758","2216","11","2","","1610612756"
"34","43","08:07","[SAC] Randolph Jump Shot: Missed","65","188","2","0","1","2","","1610612758","2216","11","2","","1610612758"
"35","44","08:04","[PHX] Chriss Rebound (Off:0 Def:2)","-65","647","0","0","0","4","","1610612756","1627737","11","2","","1610612758"
"36","45","07:53","[PHX 13-2] Chriss Alley Oop Dunk Shot: Made (7 PTS) Assist: Booker (2 AST)","6","6","2","0","52","1","","1610612756","1627737","13","2","1626164","1610612756"
"37","47","07:47","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","13","2","","1610612758"
"38","50","07:29","[SAC 4-13] Jackson Floating Jump shot: Made (2 PTS) Assist: Randolph (1 AST)","2","28","2","0","78","1","","1610612758","1628382","13","4","2216","1610612758"
"39","52","07:07","[PHX 15-4] Warren Jump Shot: Made (2 PTS) Assist: James (2 AST)","-8","162","2","0","1","1","","1610612756","203933","15","4","1628455","1610612756"
