"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Gortat vs Millsap (Porter Jr. gains possession)","0","-80","0","0","0","10","200794","1610612764","101162","0","0","203490","1610612764"
"3","7","11:43","[WAS] Wall 3pt Shot: Missed","6","249","3","0","1","2","","1610612764","202322","0","0","","1610612764"
"4","8","11:38","[DEN] Jokic Rebound (Off:0 Def:1)","-6","587","0","0","0","4","","1610612743","203999","0","0","","1610612764"
"5","9","11:29","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612743"
"6","10","11:21","[DEN 2-0] Harris Layup Shot: Made (2 PTS) Assist: Murray (1 AST)","13","21","2","0","5","1","","1610612743","203914","2","0","1627750","1610612743"
"7","12","11:08","[WAS 2-2] Gortat Jump Shot: Made (2 PTS) Assist: Beal (1 AST)","-129","-1","2","0","1","1","","1610612764","101162","2","2","203078","1610612764"
"8","14","10:44","[DEN 4-2] Jokic Running Layup Shot: Made (2 PTS) Assist: Harris (1 AST)","-103","61","2","0","41","1","","1610612743","203999","4","2","203914","1610612743"
"9","16","10:29","[WAS] Wall Layup Shot: Missed","-24","36","2","0","5","2","1627750","1610612764","202322","4","2","","1610612764"
"10","17","10:27","[DEN] Jokic Rebound (Off:0 Def:2)","24","799","0","0","0","4","","1610612743","203999","4","2","","1610612764"
"11","18","10:22","[DEN 6-2] Murray Layup Shot: Made (2 PTS) Assist: Chandler (1 AST)","19","42","2","1","5","1","","1610612743","1627750","6","2","201163","1610612743"
"12","21","09:56","[WAS] Wall Layup Shot: Missed","-25","21","2","0","5","2","","1610612764","202322","6","2","","1610612764"
"13","22","09:54","[DEN] Millsap Rebound (Off:0 Def:1)","25","814","0","0","0","4","","1610612743","200794","6","2","","1610612764"
"14","23","09:54","[DEN] Jokic Turnover : Bad Pass (1 TO)","-17","534","0","0","1","5","","1610612743","203999","6","2","","1610612743"
"15","24","09:54","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","6","2","","1610612764"
"16","25","09:40","[WAS 5-6] Porter Jr. 3pt Shot: Made (3 PTS) Assist: Wall (1 AST)","98","226","3","0","1","1","","1610612764","203490","6","5","202322","1610612764"
"17","27","09:17","[DEN 8-5] Jokic Layup Shot: Made (4 PTS)","-18","53","2","0","5","1","","1610612743","203999","8","5","","1610612743"
"18","28","08:59","[WAS] Beal 3pt Shot: Missed","-225","36","3","0","1","2","","1610612764","203078","8","5","","1610612764"
"19","29","08:57","[DEN] Murray Rebound (Off:0 Def:1)","225","799","0","0","0","4","","1610612743","1627750","8","5","","1610612764"
"20","30","08:48","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","8","5","","1610612743"
"21","31","08:46","[DEN] Harris 3pt Shot: Missed","-34","264","3","0","1","2","","1610612743","203914","8","5","","1610612743"
"22","32","08:42","[DEN] Chandler Rebound (Off:1 Def:0)","-34","264","1","0","0","4","","1610612743","201163","8","5","","1610612743"
"23","33","08:36","[DEN 10-5] Chandler Alley Oop Layup shot: Made (2 PTS) Assist: Jokic (1 AST)","-17","26","2","0","43","1","","1610612743","201163","10","5","203999","1610612743"
"24","35","08:21","[WAS] Oubre Jr. 3pt Shot: Missed","-233","7","3","0","1","2","","1610612764","1626162","10","5","","1610612764"
"25","36","08:18","[DEN] Harris Rebound (Off:0 Def:1)","233","829","0","0","0","4","","1610612743","203914","10","5","","1610612764"
"26","37","08:16","[DEN 12-5] Chandler Reverse Layup Shot: Made (4 PTS) Assist: Harris (2 AST)","-20","15","2","1","44","1","","1610612743","201163","12","5","203914","1610612743"
"27","39","08:00","[WAS] Porter Jr. Jump Shot: Missed","-89","89","2","0","1","2","","1610612764","203490","12","5","","1610612764"
"28","40","07:58","[DEN] Jokic Rebound (Off:0 Def:3)","89","746","0","0","0","4","","1610612743","203999","12","5","","1610612764"
"29","41","07:51","[WAS] Oubre Jr. Foul: Personal Block (1 PF)","-74","827","0","0","27","6","203914","1610612764","1626162","12","5","","1610612743"
"30","43","07:46","[DEN] Murray Jump Shot: Missed","95","151","2","0","1","2","","1610612743","1627750","12","5","","1610612743"
"31","44","07:45","[WAS] Team Rebound","-95","685","0","0","0","4","","1610612764","0","12","5","","1610612743"
"32","45","07:45","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","12","5","","1610612764"
"33","46","07:28","[WAS 8-12] Porter Jr. 3pt Shot: Made (6 PTS) Assist: Beal (2 AST)","157","194","3","0","1","1","","1610612764","203490","12","8","203078","1610612764"
"34","48","07:06","[DEN] Millsap 3pt Shot: Missed","145","201","3","0","1","2","","1610612743","200794","12","8","","1610612743"
"35","49","07:01","[WAS] Gortat Rebound (Off:0 Def:1)","-145","634","0","0","0","4","","1610612764","101162","12","8","","1610612743"
"36","50","06:54","[DEN] Millsap Foul: Shooting Block (1 PF) (2 FTA)","-33","807","0","0","29","6","202322","1610612743","200794","12","8","","1610612764"
"37","52","06:54","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","1610612743","12","8","","1610612764"
"38","53","06:54","[WAS 9-12] Wall Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612764","202322","12","9","","1610612764"
"39","54","06:54","[WAS 10-12] Wall Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612764","202322","12","10","","1610612764"
"40","55","06:38","[DEN] Millsap Turnaround Hook Shot: Missed","30","27","2","0","58","2","","1610612743","200794","12","10","","1610612743"
"41","56","06:36","[WAS] Beal Rebound (Off:0 Def:1)","-30","808","0","0","0","4","","1610612764","203078","12","10","","1610612743"
"42","57","06:31","[WAS 12-12] Oubre Jr. Layup Shot: Made (2 PTS) Assist: Wall (2 AST)","27","29","2","0","5","1","","1610612764","1626162","12","12","202322","1610612764"
"43","59","06:24","[DEN] Chandler Layup Shot: Missed","22","27","2","0","5","2","","1610612743","201163","12","12","","1610612743"
"44","60","06:22","[DEN] Millsap Rebound (Off:1 Def:1)","22","27","1","0","0","4","","1610612743","200794","12","12","","1610612743"
"45","61","06:22","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","12","12","","1610612743"
"46","63","06:22","[DEN] Chandler Substitution replaced by Barton","0","-80","0","0","0","8","","1610612743","201163","12","12","203115","1610612743"
"47","64","06:08","[DEN] Barton Pullup Jump shot: Missed","117","143","2","0","79","2","","1610612743","203115","12","12","","1610612743"
"48","65","06:05","[WAS] Porter Jr. Rebound (Off:0 Def:1)","-117","692","0","0","0","4","","1610612764","203490","12","12","","1610612743"
"49","66","05:47","[WAS 14-12] Gortat Hook Shot: Made (4 PTS) Assist: Wall (3 AST)","6","31","2","0","3","1","","1610612764","101162","12","14","202322","1610612764"
"50","68","05:34","[DEN 14-14] Jokic Jump Shot: Made (6 PTS) Assist: Murray (2 AST)","-58","178","2","0","1","1","","1610612743","203999","14","14","1627750","1610612743"
"51","70","05:12","[WAS] Gortat Turnover : Bad Pass (1 TO) Steal:Jokic (1 ST)","52","199","1","0","1","5","203999","1610612764","101162","14","14","","1610612764"
"52","72","05:07","[DEN 16-14] Murray Running Dunk Shot: Made (4 PTS) Assist: Jokic (2 AST)","4","35","2","1","50","1","","1610612743","1627750","16","14","203999","1610612743"
"53","74","04:52","[WAS] Porter Jr. Jump Shot: Missed","0","208","2","0","1","2","","1610612764","203490","16","14","","1610612764"
"54","75","04:49","[WAS] Gortat Rebound (Off:1 Def:1)","0","208","1","0","0","4","","1610612764","101162","16","14","","1610612764"
"55","76","04:48","[WAS 16-16] Gortat Layup Shot: Made (6 PTS) Assist: Porter Jr. (1 AST)","20","45","2","0","5","1","","1610612764","101162","16","16","203490","1610612764"
"56","78","04:39","[DEN 19-16] Jokic 3pt Shot: Made (9 PTS) Assist: Harris (3 AST)","-28","257","3","0","1","1","","1610612743","203999","19","16","203914","1610612743"
"57","80","04:22","[WAS 19-19] Beal 3pt Shot: Made (3 PTS) Assist: Wall (4 AST)","122","229","3","0","1","1","","1610612764","203078","19","19","202322","1610612764"
"58","82","04:08","[DEN] Murray 3pt Shot: Missed","-138","242","3","0","1","2","","1610612743","1627750","19","19","","1610612743"
"59","83","04:05","[WAS] Oubre Jr. Rebound (Off:0 Def:1)","138","593","0","0","0","4","","1610612764","1626162","19","19","","1610612743"
"60","84","03:56","[WAS] Wall Jump Shot: Missed","29","177","2","0","1","2","","1610612764","202322","19","19","","1610612764"
"61","85","03:52","[WAS] Gortat Rebound (Off:2 Def:1)","29","177","1","0","0","4","","1610612764","101162","19","19","","1610612764"
"62","86","03:50","[WAS] Porter Jr. 3pt Shot: Missed","-183","195","3","0","1","2","","1610612764","203490","19","19","","1610612764"
