"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Mozgov vs Vucevic (Russell gains possession)","0","-80","0","0","0","10","202696","1610612751","202389","0","0","1626156","1610612751"
"3","7","11:40","[BKN 3-0] Russell 3pt Shot: Made (3 PTS) Assist: LeVert (1 AST)","105","240","3","0","1","1","","1610612751","1626156","0","3","1627747","1610612751"
"4","9","11:16","[ORL 2-3] Gordon Pullup Jump shot: Made (2 PTS)","2","155","2","0","79","1","","1610612753","203932","2","3","","1610612753"
"5","10","11:01","[ORL] Ross Foul: Shooting (1 PF) (2 FTA)","16","829","0","0","2","6","1627747","1610612753","203082","2","3","","1610612751"
"6","12","11:01","[BKN 4-2] LeVert Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612751","1627747","2","4","","1610612751"
"7","13","11:01","[BKN 5-2] LeVert Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612751","1627747","2","5","","1610612751"
"8","14","10:51","[ORL] Augustin Turnover : Bad Pass (1 TO) Steal:Russell (1 ST)","-114","156","1","0","1","5","1626156","1610612753","201571","2","5","","1610612753"
"9","16","10:44","[BKN] Carroll Driving Hook Shot: Missed","13","66","2","0","57","2","","1610612751","201960","2","5","","1610612751"
"10","17","10:40","[ORL] Fournier Rebound (Off:0 Def:1)","-13","770","0","0","0","4","","1610612753","203095","2","5","","1610612751"
"11","18","10:34","[ORL 4-5] Fournier Pullup Jump shot: Made (2 PTS)","-105","137","2","0","79","1","","1610612753","203095","4","5","","1610612753"
"12","19","10:22","[BKN] LeVert Turnover : Bad Pass (1 TO) Steal:Augustin (1 ST)","29","36","1","0","1","5","201571","1610612751","1627747","4","5","","1610612751"
"13","21","10:17","[ORL 6-5] Fournier Running Layup Shot: Made (4 PTS) Assist: Augustin (1 AST)","14","10","2","0","41","1","","1610612753","203095","6","5","201571","1610612753"
"14","23","10:09","[BKN] Russell Jump Shot: Missed","88","126","2","0","1","2","","1610612751","1626156","6","5","","1610612751"
"15","24","10:05","[ORL] Fournier Rebound (Off:0 Def:2)","-88","709","0","0","0","4","","1610612753","203095","6","5","","1610612751"
"16","25","10:02","[ORL] Fournier Turnover : Bad Pass (1 TO) Steal:Hollis-Jefferson (1 ST)","-45","77","1","0","1","5","1626178","1610612753","203095","6","5","","1610612753"
"17","27","09:56","[BKN 8-6] Russell 3pt Shot: Made (6 PTS) Assist: Carroll (1 AST)","147","228","3","0","1","1","","1610612751","1626156","6","8","201960","1610612751"
"18","29","09:30","[ORL 8-8] Vucevic Turnaround Hook Shot: Made (2 PTS)","-7","85","2","0","58","1","","1610612753","202696","8","8","","1610612753"
"19","30","09:21","[BKN 11-8] Russell 3pt Shot: Made (9 PTS)","68","278","3","1","79","1","","1610612751","1626156","8","11","","1610612751"
"20","31","09:08","[ORL 11-11] Gordon 3pt Shot: Made (5 PTS) Assist: Augustin (2 AST)","9","261","3","0","1","1","","1610612753","203932","11","11","201571","1610612753"
"21","33","08:51","[BKN] LeVert 3pt Shot: Missed","-178","177","3","0","1","2","","1610612751","1627747","11","11","","1610612751"
"22","34","08:47","[ORL] Gordon Rebound (Off:0 Def:1)","178","659","0","0","0","4","","1610612753","203932","11","11","","1610612751"
"23","35","08:41","[ORL 13-11] Gordon Driving Dunk Shot: Made (7 PTS)","-6","8","2","0","9","1","","1610612753","203932","13","11","","1610612753"
"24","36","08:23","[BKN 13-13] Hollis-Jefferson Driving Layup Shot: Made (2 PTS)","-8","15","2","0","6","1","","1610612751","1626178","13","13","","1610612751"
"25","37","08:05","[ORL 15-13] Gordon Driving Layup Shot: Made (9 PTS)","-1","14","2","0","6","1","","1610612753","203932","15","13","","1610612753"
"26","38","08:05","[BKN] Hollis-Jefferson Foul: Shooting (1 PF) (1 FTA)","2","811","0","0","2","6","203932","1610612751","1626178","15","13","","1610612751"
"27","40","08:05","[ORL 16-13] Gordon Free Throw 1 of 1 (10 PTS)","0","-80","1","0","10","3","","1610612753","203932","16","13","","1610612753"
"28","41","07:54","[BKN] LeVert Pullup Jump shot: Missed","36","130","2","0","79","2","","1610612751","1627747","16","13","","1610612751"
"29","42","07:51","[ORL] Vucevic Rebound (Off:0 Def:1)","-36","705","0","0","0","4","","1610612753","202696","16","13","","1610612751"
"30","43","07:47","[BKN] LeVert Foul: Personal (1 PF)","-97","677","0","0","1","6","201571","1610612751","1627747","16","13","","1610612753"
"31","45","07:40","[ORL] Vucevic 3pt Shot: Missed","-119","226","3","0","1","2","","1610612753","202696","16","13","","1610612753"
"32","46","07:37","[ORL] Team Rebound","-119","226","1","0","0","4","","1610612753","0","16","13","","1610612753"
"33","47","07:37","[BKN] Hollis-Jefferson Foul: Loose Ball (2 PF)","-24","774","0","0","3","6","203932","1610612751","1626178","16","13","","1610612753"
"34","49","07:16","[ORL] Vucevic Jump Shot: Missed","-101","51","2","0","1","2","","1610612753","202696","16","13","","1610612753"
"35","50","07:14","[ORL] Fournier Rebound (Off:1 Def:2)","-101","51","1","0","0","4","","1610612753","203095","16","13","","1610612753"
"36","51","07:11","[ORL] Fournier Layup Shot: Missed","21","11","2","0","5","2","","1610612753","203095","16","13","","1610612753"
"37","52","07:08","[BKN] Mozgov Rebound (Off:0 Def:1)","-21","824","0","0","0","4","","1610612751","202389","16","13","","1610612753"
"38","53","06:58","[BKN 16-16] Russell 3pt Shot: Made (12 PTS)","-62","251","3","0","1","1","","1610612751","1626156","16","16","","1610612751"
"39","54","06:48","[BKN] Mozgov Foul: Shooting (1 PF) (2 FTA)","-53","787","0","0","2","6","201571","1610612751","202389","16","16","","1610612753"
"40","56","06:48","[ORL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612753","1610612753","16","16","","1610612753"
"41","58","06:48","[BKN] Hollis-Jefferson Substitution replaced by Acy","0","-80","0","0","0","8","","1610612751","1626178","16","16","203112","1610612753"
"42","59","06:48","[ORL 17-16] Augustin Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612753","201571","17","16","","1610612753"
"43","60","06:48","[ORL 18-16] Augustin Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612753","201571","18","16","","1610612753"
"44","61","06:29","[BKN] Acy 3pt Shot: Missed","232","103","3","0","1","2","","1610612751","203112","18","16","","1610612751"
"45","62","06:26","[ORL] Vucevic Rebound (Off:0 Def:2)","-232","733","0","0","0","4","","1610612753","202696","18","16","","1610612751"
"46","63","06:14","[ORL] Ross Turnover : Step Out of Bounds Turnover (1 TO)","112","-9","0","0","39","5","","1610612753","203082","18","16","","1610612753"
"47","66","06:14","[BKN] Mozgov Substitution replaced by Booker","0","-80","0","0","0","8","","1610612751","202389","18","16","202344","1610612751"
"48","67","06:14","[BKN] LeVert Substitution replaced by Crabbe","0","-80","0","0","0","8","","1610612751","1627747","18","16","203459","1610612751"
"49","68","06:06","[BKN] Carroll Floating Jump shot: Missed","8","105","2","0","78","2","","1610612751","201960","18","16","","1610612751"
"50","69","06:03","[ORL] Gordon Rebound (Off:0 Def:2)","-8","730","0","0","0","4","","1610612753","203932","18","16","","1610612751"
"51","70","05:58","[ORL] Ross 3pt Shot: Missed","-123","231","3","0","1","2","","1610612753","203082","18","16","","1610612753"
"52","71","05:54","[BKN] Russell Rebound (Off:0 Def:1)","123","604","0","0","0","4","","1610612751","1626156","18","16","","1610612753"
"53","72","05:54","[BKN] Russell Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","103","-19","0","0","45","5","","1610612751","1626156","18","16","","1610612751"
"54","73","05:39","[ORL] Gordon Pullup Jump shot: Missed","55","193","2","0","79","2","","1610612753","203932","18","16","","1610612753"
"55","74","05:36","[BKN] Carroll Rebound (Off:0 Def:1)","-55","643","0","0","0","4","","1610612751","201960","18","16","","1610612753"
"56","75","05:25","[BKN] Acy 3pt Shot: Missed","-232","0","3","0","1","2","","1610612751","203112","18","16","","1610612751"
"57","76","05:21","[ORL] Gordon Rebound (Off:0 Def:3)","232","835","0","0","0","4","","1610612753","203932","18","16","","1610612751"
"58","77","05:16","[ORL] Gordon Driving Finger Roll Layup Shot: Missed","-43","68","2","0","75","2","","1610612753","203932","18","16","","1610612753"
"59","78","05:09","[ORL] Gordon Rebound (Off:1 Def:3)","-43","68","1","0","0","4","","1610612753","203932","18","16","","1610612753"
"60","79","05:09","[ORL 20-16] Gordon Putback Dunk Shot: Made (12 PTS)","0","-5","2","0","87","1","","1610612753","203932","20","16","","1610612753"
"61","80","05:04","[BKN] Russell Jump Shot: Missed","-65","42","2","0","1","2","","1610612751","1626156","20","16","","1610612751"
"62","81","05:04","[ORL] Vucevic Rebound (Off:0 Def:3)","65","793","0","0","0","4","","1610612753","202696","20","16","","1610612751"
"63","82","04:59","[ORL] Augustin 3pt Shot: Missed","-152","203","3","1","1","2","","1610612753","201571","20","16","","1610612753"
"64","83","04:59","[BKN] Acy Rebound (Off:0 Def:1)","152","633","0","0","0","4","","1610612751","203112","20","16","","1610612753"
"65","84","04:35","[BKN 18-20] Acy Jump Shot: Made (2 PTS) Assist: Crabbe (1 AST)","85","205","2","0","1","1","","1610612751","203112","20","18","203459","1610612751"
"66","85","04:22","[BKN] Booker Foul: Shooting (1 PF) (2 FTA)","28","716","0","0","2","6","203932","1610612751","202344","20","18","","1610612753"
"67","88","04:22","[ORL 21-18] Gordon Free Throw 1 of 2 (13 PTS)","0","-80","1","0","11","3","","1610612753","203932","21","18","","1610612753"
"68","91","04:22","[ORL] Ross Substitution replaced by Simmons","0","-80","0","0","0","8","","1610612753","203082","21","18","203613","1610612753"
"69","92","04:22","[BKN] Russell Substitution replaced by Dinwiddie","0","-80","0","0","0","8","","1610612751","1626156","21","18","203915","1610612753"
"70","93","04:22","[ORL 22-18] Gordon Free Throw 2 of 2 (14 PTS)","0","-80","1","0","12","3","","1610612753","203932","22","18","","1610612753"
"71","94","04:14","[BKN] Booker Turnover : Bad Pass (1 TO) Steal:Augustin (2 ST)","141","220","1","0","1","5","201571","1610612751","202344","22","18","","1610612751"
"72","96","04:11","[BKN] Booker Foul: Shooting (2 PF) (2 FTA)","-5","792","0","0","2","6","201571","1610612751","202344","22","18","","1610612753"
