"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Lopez vs Thompson (Markkanen gains possession)","0","-80","0","0","0","10","202684","1610612741","201577","0","0","1628374","1610612741"
"3","7","11:39","[CHI 2-0] Zipser Layup Shot: Made (2 PTS)","-40","13","2","0","5","1","","1610612741","1627835","0","2","","1610612741"
"4","8","11:24","[CLE] James Turnover : Bad Pass (1 TO) Steal:Grant (1 ST)","-103","125","1","0","1","5","1626170","1610612739","2544","0","2","","1610612739"
"5","10","11:18","[CHI] Zipser Jump Shot: Missed","133","92","2","0","1","2","","1610612741","1627835","0","2","","1610612741"
"6","11","11:18","[CHI] Team Rebound","133","92","1","0","0","4","","1610612741","0","0","2","","1610612741"
"7","12","11:05","[CHI 4-0] Zipser Layup Shot: Made (4 PTS) Assist: Grant (1 AST)","-9","13","2","0","5","1","","1610612741","1627835","0","4","1626170","1610612741"
"8","14","11:04","[CHI] Team Violation : Delay Of Game","0","-80","0","0","1","7","","1610612741","0","0","4","","1610612739"
"9","15","10:48","[CLE] Love Hook Shot: Missed","-111","89","2","0","3","2","","1610612739","201567","0","4","","1610612739"
"10","16","10:44","[CHI] Grant Rebound (Off:0 Def:1)","111","747","0","0","0","4","","1610612741","1626170","0","4","","1610612739"
"11","17","10:38","[CHI 7-0] Markkanen 3pt Shot: Made (3 PTS) Assist: Grant (2 AST)","100","260","3","0","1","1","","1610612741","1628374","0","7","1626170","1610612741"
"12","18","10:11","[CLE 2-7] James Jump Shot: Made (2 PTS)","-121","163","2","0","1","1","","1610612739","2544","2","7","","1610612739"
"13","19","09:57","[CHI] Holiday Layup Shot: Missed","-18","18","2","0","5","2","202684","1610612741","203200","2","7","","1610612741"
"14","21","09:50","[CLE] Thompson Rebound (Off:0 Def:1)","18","818","0","0","0","4","","1610612739","202684","2","7","","1610612741"
"15","22","09:50","[CHI] Zipser Foul: Personal (1 PF)","77","765","0","0","1","6","202684","1610612741","1627835","2","7","","1610612739"
"16","24","09:43","[CLE] Smith 3pt Shot: Missed","79","243","3","0","1","2","","1610612739","2747","2","7","","1610612739"
"17","25","09:39","[CHI] Markkanen Rebound (Off:0 Def:1)","-79","592","0","0","0","4","","1610612741","1628374","2","7","","1610612739"
"18","26","09:36","[CHI 9-2] Grant Layup Shot: Made (2 PTS)","1","3","2","0","5","1","","1610612741","1626170","2","9","","1610612741"
"19","27","09:21","[CLE] Crowder Jump Shot: Missed","-149","87","2","0","1","2","","1610612739","203109","2","9","","1610612739"
"20","28","09:17","[CHI] Markkanen Rebound (Off:0 Def:2)","149","749","0","0","0","4","","1610612741","1628374","2","9","","1610612739"
"21","29","09:13","[CHI] Holiday 3pt Shot: Missed","-81","240","3","0","1","2","","1610612741","203200","2","9","","1610612741"
"22","30","09:11","[CLE] Love Rebound (Off:0 Def:1)","81","596","0","0","0","4","","1610612739","201567","2","9","","1610612741"
"23","31","09:11","[CHI] Grant Foul: Personal (1 PF)","55","786","0","0","1","6","203109","1610612741","1626170","2","9","","1610612739"
"24","33","09:03","[CLE] Love Jump Shot: Missed","-143","66","2","0","1","2","","1610612739","201567","2","9","","1610612739"
"25","34","08:59","[CHI] Lopez Rebound (Off:0 Def:1)","143","770","0","0","0","4","","1610612741","201577","2","9","","1610612739"
"26","35","08:53","[CHI 12-2] Markkanen 3pt Shot: Made (6 PTS) Assist: Grant (3 AST)","105","280","3","0","1","1","","1610612741","1628374","2","12","1626170","1610612741"
"27","37","08:51","[CLE] Team Timeout : Regular","0","-80","0","0","1","9","","1610612739","1610612739","2","12","","1610612739"
"28","39","08:34","[CLE 4-12] Crowder Layup Shot: Made (2 PTS) Assist: James (1 AST)","-2","12","2","0","5","1","","1610612739","203109","4","12","2544","1610612739"
"29","41","08:13","[CHI 14-4] Lopez Jump Shot: Made (2 PTS)","175","89","2","0","1","1","","1610612741","201577","4","14","","1610612741"
"30","42","08:00","[CLE 7-14] Love 3pt Shot: Made (3 PTS) Assist: James (2 AST)","92","231","3","0","1","1","","1610612739","201567","7","14","2544","1610612739"
"31","45","07:32","[CHI 17-7] Lopez 3pt Shot: Made (5 PTS) Assist: Grant (4 AST)","109","240","3","0","1","1","","1610612741","201577","7","17","1626170","1610612741"
"32","47","07:14","[CLE 9-17] Love Hook Shot: Made (5 PTS) Assist: James (3 AST)","-115","89","2","0","3","1","","1610612739","201567","9","17","2544","1610612739"
"33","49","07:06","[CHI 20-9] Markkanen 3pt Shot: Made (9 PTS) Assist: Grant (5 AST)","85","270","3","0","1","1","","1610612741","1628374","9","20","1626170","1610612741"
"34","51","06:47","[CLE] Crowder Layup Shot: Missed","16","11","2","0","5","2","1628374","1610612739","203109","9","20","","1610612739"
"35","53","06:41","[CHI] Markkanen Rebound (Off:0 Def:3)","-16","824","0","0","0","4","","1610612741","1628374","9","20","","1610612739"
"36","54","06:35","[CHI 22-9] Holiday Jump Shot: Made (2 PTS) Assist: Lopez (1 AST)","-81","119","2","0","1","1","","1610612741","203200","9","22","201577","1610612741"
"37","56","06:18","[CLE 12-22] James 3pt Shot: Made (5 PTS) Assist: Love (1 AST)","-50","273","3","0","1","1","","1610612739","2544","12","22","201567","1610612739"
"38","58","05:52","[CHI] Grant 3pt Shot: Missed","-65","251","3","0","1","2","","1610612741","1626170","12","22","","1610612741"
"39","59","05:48","[CHI] Lopez Rebound (Off:1 Def:1)","-65","251","1","0","0","4","","1610612741","201577","12","22","","1610612741"
"40","60","05:48","[CHI] Lopez Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612741","201577","12","22","","1610612741"
"41","61","05:48","[CLE] Love Rebound (Off:0 Def:2)","0","841","0","0","0","4","","1610612739","201567","12","22","","1610612741"
"42","62","05:48","[CLE] Love Foul: Offensive Charge (1 PF)","-2","765","0","0","26","6","201577","1610612739","201567","12","22","","1610612739"
"43","65","05:48","[CLE] Love Substitution replaced by Green","0","-80","0","0","0","8","","1610612739","201567","12","22","201145","1610612741"
"44","101","05:48","[CLE] Love Turnover : Offensive Foul Turnover (1 TO)","-2","765","0","0","37","5","","1610612739","201567","12","22","","1610612739"
"45","66","05:40","[CHI 24-12] Markkanen Layup Shot: Made (11 PTS) Assist: Zipser (1 AST)","7","2","2","0","5","1","","1610612741","1628374","12","24","1627835","1610612741"
"46","68","05:26","[CLE] James Jump Shot: Missed","-112","153","2","0","1","2","","1610612739","2544","12","24","","1610612739"
"47","69","05:22","[CHI] Zipser Rebound (Off:0 Def:1)","112","682","0","0","0","4","","1610612741","1627835","12","24","","1610612739"
