"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Sabonis vs Sabonis (Gibson gains possession)","0","-80","0","0","0","10","1627734","1610612750","1627734","0","0","201959","1610612750"
"3","7","11:45","[MIN] Wiggins 3pt Shot: Missed","98","238","3","0","1","2","","1610612750","203952","0","0","","1610612750"
"4","8","11:42","[IND] Sabonis Rebound (Off:0 Def:1)","-98","598","0","0","0","4","","1610612754","1627734","0","0","","1610612750"
"5","9","11:25","[IND] Collison 3pt Shot: Missed","-229","-2","3","0","1","2","","1610612754","201954","0","0","","1610612754"
"6","10","11:21","[MIN] Towns Rebound (Off:0 Def:1)","229","838","0","0","0","4","","1610612750","1626157","0","0","","1610612754"
"7","11","11:18","[MIN] Muhammad Driving Layup Shot: Missed","0","8","2","0","6","2","","1610612750","203498","0","0","","1610612750"
"8","12","11:15","[IND] Oladipo Rebound (Off:0 Def:1)","0","828","0","0","0","4","","1610612754","203506","0","0","","1610612750"
"9","13","11:11","[IND 2-0] Oladipo Driving Reverse Layup Shot: Made (2 PTS)","-3","-5","2","1","73","1","","1610612754","203506","0","2","","1610612754"
"10","14","10:58","[MIN 2-2] Gibson Jump Shot: Made (2 PTS) Assist: Teague (1 AST)","32","141","2","0","1","1","","1610612750","201959","2","2","201952","1610612750"
"11","16","10:41","[IND] Young Layup Shot: Missed","-6","17","2","0","5","2","","1610612754","201152","2","2","","1610612754"
"12","18","10:36","[IND] Sabonis Rebound (Off:1 Def:1)","-6","17","1","0","0","4","","1610612754","1627734","2","2","","1610612754"
"13","19","10:36","[IND 5-2] Bogdanovic 3pt Shot: Made (3 PTS) Assist: Sabonis (1 AST)","-153","208","3","0","1","1","","1610612754","202711","2","5","1627734","1610612754"
"14","21","10:14","[MIN 4-5] Towns Driving Floating Bank Jump Shot: Made (2 PTS)","27","26","2","0","102","1","","1610612750","1626157","4","5","","1610612750"
"15","22","10:14","[IND] Sabonis Foul: Shooting (1 PF) (1 FTA)","-27","809","0","0","2","6","1626157","1610612754","1627734","4","5","","1610612754"
"16","24","10:14","[MIN 5-5] Towns Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612750","1626157","5","5","","1610612750"
"17","25","10:05","[IND 7-5] Young Cutting Layup Shot: Made (2 PTS) Assist: Collison (1 AST)","-39","32","2","0","98","1","","1610612754","201152","5","7","201954","1610612754"
"18","27","09:53","[MIN] Teague Driving Layup Shot: Missed","-6","5","2","0","6","2","","1610612750","201952","5","7","","1610612750"
"19","28","09:50","[IND] Sabonis Rebound (Off:1 Def:2)","6","830","0","0","0","4","","1610612754","1627734","5","7","","1610612750"
"20","29","09:47","[IND 9-5] Oladipo Alley Oop Layup shot: Made (4 PTS) Assist: Collison (2 AST)","2","16","2","1","43","1","","1610612754","203506","5","9","201954","1610612754"
"21","31","09:35","[MIN] Towns 3pt Shot: Missed","-62","249","3","0","1","2","","1610612750","1626157","5","9","","1610612750"
"22","32","09:33","[IND] Collison Rebound (Off:0 Def:1)","62","587","0","0","0","4","","1610612754","201954","5","9","","1610612750"
"23","33","09:24","[IND] Sabonis Turnover : Lost Ball (1 TO) Steal:Teague (1 ST)","-25","37","1","0","2","5","201952","1610612754","1627734","5","9","","1610612754"
"24","35","09:19","[MIN 7-9] Muhammad Alley Oop Dunk Shot: Made (2 PTS) Assist: Teague (2 AST)","-5","12","2","1","52","1","","1610612750","203498","7","9","201952","1610612750"
"25","37","09:01","[IND 11-7] Bogdanovic Pullup Jump shot: Made (5 PTS) Assist: Collison (3 AST)","-2","177","2","0","79","1","","1610612754","202711","7","11","201954","1610612754"
"26","40","08:47","[MIN] Teague 3pt Shot: Missed","52","241","3","0","1","2","","1610612750","201952","7","11","","1610612750"
