"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Davis vs Nurkic (Cousins gains possession)","0","-80","0","0","0","10","203994","1610612740","203076","0","0","202326","1610612740"
"3","7","11:46","[POR] Harkless Foul: Personal (1 PF)","15","814","0","0","1","6","203076","1610612757","203090","0","0","","1610612740"
"4","9","11:32","[NOP] Holiday Turnover : Lost Ball (1 TO) Steal:Nurkic (1 ST)","-30","65","1","0","2","5","203994","1610612740","201950","0","0","","1610612740"
"5","11","11:13","[NOP] Cunningham Foul: Shooting Block (1 PF) (2 FTA)","54","759","0","0","29","6","203090","1610612740","201967","0","0","","1610612757"
"6","13","11:13","[POR 1-0] Harkless Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612757","203090","1","0","","1610612757"
"7","14","11:13","[POR 2-0] Harkless Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612757","203090","2","0","","1610612757"
"8","15","11:06","[NOP 2-2] Cousins Driving Layup Shot: Made (2 PTS) Assist: Holiday (1 AST)","-3","5","2","0","6","1","","1610612740","202326","2","2","201950","1610612740"
"9","17","11:04","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","2","","1610612757"
"10","18","10:47","[POR 4-2] Nurkic Turnaround Hook Shot: Made (2 PTS) Assist: Aminu (1 AST)","-61","92","2","0","58","1","","1610612757","203994","4","2","202329","1610612757"
"11","20","10:30","[NOP 4-4] Holiday Driving Floating Bank Jump Shot: Made (2 PTS)","33","13","2","0","102","1","","1610612740","201950","4","4","","1610612740"
"12","21","10:19","[POR] Lillard 3pt Shot: Missed","-123","221","3","0","79","2","","1610612757","203081","4","4","","1610612757"
"13","22","10:17","[NOP] Davis Rebound (Off:0 Def:1)","123","614","0","0","0","4","","1610612740","203076","4","4","","1610612757"
"14","23","10:11","[NOP] Holiday Pullup Jump shot: Missed","163","26","2","0","79","2","","1610612740","201950","4","4","","1610612740"
"15","24","10:06","[POR] Harkless Rebound (Off:0 Def:1)","-163","809","0","0","0","4","","1610612757","203090","4","4","","1610612740"
"16","25","09:57","[POR 7-4] McCollum 3pt Shot: Made (3 PTS)","-154","190","3","0","80","1","","1610612757","203468","7","4","","1610612757"
"17","26","09:39","[NOP] Cousins 3pt Shot: Missed","136","215","3","0","1","2","","1610612740","202326","7","4","","1610612740"
"18","27","09:37","[POR] Nurkic Rebound (Off:0 Def:1)","-136","620","0","0","0","4","","1610612757","203994","7","4","","1610612740"
"19","28","09:22","[POR] McCollum Step Back Jump shot: Missed","-107","16","2","0","80","2","","1610612757","203468","7","4","","1610612757"
"20","29","09:19","[POR] Nurkic Rebound (Off:1 Def:1)","-107","16","1","0","0","4","","1610612757","203994","7","4","","1610612757"
"21","30","09:19","[POR 9-4] Nurkic Tip Layup Shot: Made (4 PTS)","0","-5","2","0","97","1","","1610612757","203994","9","4","","1610612757"
"22","31","09:11","[NOP] Davis Driving Floating Jump Shot: Missed","-14","75","2","0","101","2","","1610612740","203076","9","4","","1610612740"
"23","32","09:09","[POR] McCollum Rebound (Off:0 Def:1)","14","761","0","0","0","4","","1610612757","203468","9","4","","1610612740"
"24","33","09:00","[POR] Harkless Turnover : Step Out of Bounds Turnover (1 TO)","-62","-20","0","0","39","5","","1610612757","203090","9","4","","1610612757"
"25","34","08:50","[NOP] Cunningham 3pt Shot: Missed","-225","-4","3","0","1","2","","1610612740","201967","9","4","","1610612740"
"26","35","08:47","[POR] Nurkic Rebound (Off:1 Def:2)","225","840","0","0","0","4","","1610612757","203994","9","4","","1610612740"
"27","36","08:35","[POR] Lillard 3pt Shot: Missed","-78","241","3","0","1","2","","1610612757","203081","9","4","","1610612757"
"28","37","08:33","[POR] Aminu Rebound (Off:1 Def:0)","-78","241","1","0","0","4","","1610612757","202329","9","4","","1610612757"
"29","38","08:32","[POR] Nurkic Turnover : Lost Ball (1 TO)","-80","-13","0","0","2","5","","1610612757","203994","9","4","","1610612757"
"30","39","08:20","[NOP] Holiday Layup Shot: Missed","-9","17","2","0","5","2","203090","1610612740","201950","9","4","","1610612740"
"31","62","08:20","[POR] Nurkic Turnover : Bad Pass (2 TO) Steal:Moore (1 ST)","-96","662","1","0","1","5","202734","1610612757","203994","9","4","","1610612757"
"32","41","08:17","[POR] Nurkic Rebound (Off:1 Def:3)","9","819","0","0","0","4","","1610612757","203994","9","4","","1610612740"
"33","42","08:14","[NOP 6-9] Davis Layup Shot: Made (2 PTS) Assist: Moore (1 AST)","0","12","2","0","5","1","","1610612740","203076","9","6","202734","1610612740"
"34","44","07:51","[POR] McCollum Jump Shot: Missed","-40","222","2","0","1","2","203076","1610612757","203468","9","6","","1610612757"
"35","46","07:49","[NOP] Cousins Rebound (Off:0 Def:1)","40","613","0","0","0","4","","1610612740","202326","9","6","","1610612757"
"36","47","07:49","[NOP] Cousins Turnover : Bad Pass (1 TO)","-21","687","0","0","1","5","","1610612740","202326","9","6","","1610612740"
"37","48","07:35","[NOP] Holiday Violation:Kicked Ball","0","-80","0","0","5","7","","1610612740","201950","9","6","","1610612757"
"38","49","07:24","[NOP] Cunningham Foul: Loose Ball (2 PF)","-2","595","0","0","3","6","203994","1610612740","201967","9","6","","1610612757"
"39","51","07:24","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","9","6","","1610612757"
"40","53","07:24","[NOP] Cunningham Substitution replaced by Miller","0","-80","0","0","0","8","","1610612740","201967","9","6","203121","1610612757"
"41","54","07:14","[POR] Nurkic Jump Shot: Missed","-153","136","2","0","1","2","","1610612757","203994","9","6","","1610612757"
"42","55","07:10","[POR] Lillard Rebound (Off:1 Def:0)","-153","136","1","0","0","4","","1610612757","203081","9","6","","1610612757"
"43","56","07:06","[POR] Nurkic Turnaround Hook Shot: Missed","3","36","2","0","58","2","","1610612757","203994","9","6","","1610612757"
"44","57","07:03","[NOP] Cousins Rebound (Off:0 Def:2)","-3","800","0","0","0","4","","1610612740","202326","9","6","","1610612757"
"45","58","06:59","[NOP 8-9] Cousins Driving Layup Shot: Made (4 PTS)","-16","25","2","0","6","1","","1610612740","202326","9","8","","1610612740"
"46","59","06:59","[POR] Nurkic Foul: Shooting (1 PF) (1 FTA)","14","824","0","0","2","6","202326","1610612757","203994","9","8","","1610612757"
"47","61","06:59","[POR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612757","1610612757","9","8","","1610612757"
"48","65","06:59","[NOP] Davis Substitution replaced by Diallo","0","-80","0","0","0","8","","1610612740","203076","9","8","1627767","1610612757"
"49","66","06:59","[NOP] Cousins Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612740","202326","9","8","","1610612740"
"50","67","06:56","[POR] Aminu Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612757","202329","9","8","","1610612740"
"51","68","06:40","[POR] Harkless 3pt Shot: Missed","223","73","3","0","1","2","","1610612757","203090","9","8","","1610612757"
"52","69","06:36","[NOP] Holiday Rebound (Off:0 Def:1)","-223","763","0","0","0","4","","1610612740","201950","9","8","","1610612757"
"53","70","06:25","[NOP] Cousins 3pt Shot: Missed","136","207","3","0","1","2","","1610612740","202326","9","8","","1610612740"
"54","71","06:23","[POR] McCollum Rebound (Off:0 Def:2)","-136","629","0","0","0","4","","1610612757","203468","9","8","","1610612740"
"55","72","06:16","[POR] Nurkic Foul: Offensive Charge (2 PF)","86","211","0","0","26","6","202326","1610612757","203994","9","8","","1610612757"
"56","74","06:16","[POR] Nurkic Turnover : Offensive Foul Turnover (3 TO)","86","211","0","0","37","5","","1610612757","203994","9","8","","1610612757"
"57","75","06:05","[NOP] Cousins Turnover : Bad Pass (2 TO) Steal:Aminu (1 ST)","11","231","1","0","1","5","202329","1610612740","202326","9","8","","1610612740"
"58","77","05:55","[POR] Nurkic Jump Shot: Missed","138","41","2","0","1","2","","1610612757","203994","9","8","","1610612757"
"59","78","05:52","[NOP] Moore Rebound (Off:0 Def:1)","-138","795","0","0","0","4","","1610612740","202734","9","8","","1610612757"
