"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Horford vs Porzingis (Baynes gains possession)","0","-80","0","0","0","10","204001","1610612738","201143","0","0","203382","1610612738"
"3","7","11:48","[BOS] Horford Turnover : Bad Pass (1 TO) Steal:Lee (1 ST)","-1","19","1","0","1","5","201584","1610612738","201143","0","0","","1610612738"
"4","9","11:30","[NYK] Porzingis 3pt Shot: Missed","36","270","3","0","80","2","","1610612752","204001","0","0","","1610612752"
"5","10","11:26","[BOS] Brown Rebound (Off:0 Def:1)","-36","566","0","0","0","4","","1610612738","1627759","0","0","","1610612752"
"6","11","11:15","[BOS] Tatum 3pt Shot: Missed","-230","-22","3","0","1","2","","1610612738","1628369","0","0","","1610612738"
"7","12","11:12","[NYK] Sessions Rebound (Off:0 Def:1)","230","858","0","0","0","4","","1610612752","201196","0","0","","1610612738"
"8","13","11:06","[NYK 2-0] Sessions Driving Hook Shot: Made (2 PTS)","3","40","2","0","57","1","","1610612752","201196","0","2","","1610612752"
"9","14","10:48","[BOS] Baynes Jump Bank Shot: Missed","127","53","2","0","66","2","","1610612738","203382","0","2","","1610612738"
"10","15","10:48","[BOS] Tatum Rebound (Off:1 Def:0)","127","53","1","0","0","4","","1610612738","1628369","0","2","","1610612738"
"11","16","10:43","[BOS 2-2] Tatum Putback Dunk Shot: Made (2 PTS)","0","-5","2","0","87","1","","1610612738","1628369","2","2","","1610612738"
"12","17","10:24","[NYK] Hardaway Jr. Jump Shot: Missed","100","173","2","0","1","2","","1610612752","203501","2","2","","1610612752"
"13","18","10:20","[BOS] Horford Rebound (Off:0 Def:1)","-100","662","0","0","0","4","","1610612738","201143","2","2","","1610612752"
"14","19","10:10","[BOS] Irving Pullup Jump shot: Missed","112","15","2","0","79","2","","1610612738","202681","2","2","","1610612738"
"15","20","10:08","[NYK] Kanter Rebound (Off:0 Def:1)","-112","821","0","0","0","4","","1610612752","202683","2","2","","1610612738"
"16","21","10:00","[NYK] Kanter Turnover : Lost Ball (1 TO) Steal:Irving (1 ST)","-2","73","1","0","2","5","202681","1610612752","202683","2","2","","1610612752"
"17","23","09:57","[BOS 4-2] Irving Driving Finger Roll Layup Shot: Made (2 PTS)","-7","3","2","1","75","1","","1610612738","202681","4","2","","1610612738"
"18","24","09:41","[NYK] Porzingis Driving Layup Shot: Missed","-20","25","2","0","6","2","","1610612752","204001","4","2","","1610612752"
"19","25","09:41","[NYK] Kanter Rebound (Off:1 Def:1)","-20","25","1","0","0","4","","1610612752","202683","4","2","","1610612752"
"20","29","09:37","[NYK] Kanter Turnover : No Turnover (2 TO) Steal:Baynes (1 ST)","0","-80","1","0","0","5","203382","1610612752","202683","4","2","","1610612752"
"21","31","09:33","[BOS] Tatum Driving Floating Jump Shot: Missed","5","33","2","0","101","2","","1610612738","1628369","4","2","","1610612738"
"22","32","09:30","[NYK] Kanter Rebound (Off:1 Def:2)","-5","802","0","0","0","4","","1610612752","202683","4","2","","1610612738"
"23","33","09:21","[NYK 4-4] Lee Driving Floating Jump Shot: Made (2 PTS) Assist: Sessions (1 AST)","7","15","2","0","101","1","","1610612752","201584","4","4","201196","1610612752"
"24","35","09:12","[BOS] Tatum Foul: Offensive Charge (1 PF)","-190","176","0","0","26","6","201196","1610612738","1628369","4","4","","1610612738"
"25","37","09:12","[BOS] Tatum Turnover : Offensive Foul Turnover (1 TO)","-190","176","0","0","37","5","","1610612738","1628369","4","4","","1610612738"
"26","38","08:58","[NYK] Kanter Driving Layup Shot: Missed","-11","29","2","0","6","2","1627759","1610612752","202683","4","4","","1610612752"
"27","40","08:54","[NYK] Kanter Rebound (Off:2 Def:2)","-11","29","1","0","0","4","","1610612752","202683","4","4","","1610612752"
"28","41","08:53","[NYK] Kanter Running Layup Shot: Missed","5","21","2","0","41","2","201143","1610612752","202683","4","4","","1610612752"
"29","43","08:53","[BOS] Horford Rebound (Off:0 Def:2)","-5","814","0","0","0","4","","1610612738","201143","4","4","","1610612752"
"30","44","08:48","[BOS 6-4] Baynes Driving Hook Shot: Made (2 PTS) Assist: Horford (1 AST)","2","0","2","0","57","1","","1610612738","203382","6","4","201143","1610612738"
"31","46","08:32","[NYK 6-6] Porzingis Jump Shot: Made (2 PTS) Assist: Sessions (2 AST)","-51","135","2","0","1","1","","1610612752","204001","6","6","201196","1610612752"
"32","48","08:10","[BOS] Brown 3pt Shot: Missed","225","-9","3","0","1","2","","1610612738","1627759","6","6","","1610612738"
"33","49","08:07","[NYK] Kanter Rebound (Off:2 Def:3)","-225","844","0","0","0","4","","1610612752","202683","6","6","","1610612738"
"34","50","07:59","[NYK] Sessions Driving Layup Shot: Missed","35","41","2","0","6","2","","1610612752","201196","6","6","","1610612752"
"35","51","07:52","[NYK] Kanter Rebound (Off:3 Def:3)","35","41","1","0","0","4","","1610612752","202683","6","6","","1610612752"
"36","52","07:52","[NYK 8-6] Kanter Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612752","202683","6","8","","1610612752"
"37","53","07:35","[BOS] Horford 3pt Shot: Missed","-68","241","3","0","1","2","","1610612738","201143","6","8","","1610612738"
"38","54","07:33","[NYK] Kanter Rebound (Off:3 Def:4)","68","595","0","0","0","4","","1610612752","202683","6","8","","1610612738"
