"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Jordan vs Gobert (Griffin gains possession)","0","-80","0","0","0","10","203497","1610612746","201599","0","0","201933","1610612746"
"3","7","11:42","[LAC] Jordan Hook Shot: Missed","14","15","2","0","3","2","","1610612746","201599","0","0","","1610612746"
"4","8","11:39","[UTA] Rubio Rebound (Off:0 Def:1)","-14","821","0","0","0","4","","1610612762","201937","0","0","","1610612746"
"5","9","11:34","[UTA 2-0] Rubio Pullup Jump shot: Made (2 PTS)","71","120","2","0","79","1","","1610612762","201937","0","2","","1610612762"
"6","10","11:20","[LAC] Beverley Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-76","43","0","0","45","5","","1610612746","201976","0","2","","1610612746"
"7","11","11:06","[UTA] Rubio Pullup Jump shot: Missed","77","147","2","0","79","2","","1610612762","201937","0","2","","1610612762"
"8","12","11:04","[LAC] Jordan Rebound (Off:0 Def:1)","-77","688","0","0","0","4","","1610612746","201599","0","2","","1610612762"
"9","13","10:57","[LAC 2-2] Rivers Driving Layup Shot: Made (2 PTS)","9","9","2","0","6","1","","1610612746","203085","2","2","","1610612746"
"10","14","10:57","[UTA] Mitchell Foul: Shooting (1 PF) (1 FTA)","-9","827","0","0","2","6","203085","1610612762","1628378","2","2","","1610612762"
"11","16","10:57","[LAC] Rivers Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612746","203085","2","2","","1610612746"
"12","17","10:54","[UTA] Gobert Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612762","203497","2","2","","1610612746"
"13","18","10:42","[UTA] Mitchell 3pt Shot: Missed","78","245","3","0","1","2","","1610612762","1628378","2","2","","1610612762"
"14","19","10:38","[LAC] Jordan Rebound (Off:0 Def:2)","-78","591","0","0","0","4","","1610612746","201599","2","2","","1610612762"
"15","20","10:31","[UTA] Ingles Foul: Personal (1 PF)","23","810","0","0","1","6","201599","1610612762","204060","2","2","","1610612746"
"16","22","10:27","[LAC] Beverley Cutting Layup Shot: Missed","-9","14","2","0","98","2","","1610612746","201976","2","2","","1610612746"
"17","23","10:24","[UTA] Gobert Rebound (Off:0 Def:2)","9","822","0","0","0","4","","1610612762","203497","2","2","","1610612746"
"18","24","10:18","[UTA 4-2] Rubio Running Jump Shot: Made (4 PTS)","-31","104","2","1","2","1","","1610612762","201937","2","4","","1610612762"
"19","25","10:04","[LAC] Jordan Layup Shot: Missed","3","4","2","0","5","2","","1610612746","201599","2","4","","1610612746"
