"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Thompson vs Mozgov (James gains possession)","0","-80","0","0","0","10","202389","1610612739","202684","0","0","2544","1610612739"
"3","7","11:43","[CLE] Love Jump Shot: Missed","-134","0","2","0","1","2","","1610612739","201567","0","0","","1610612739"
"4","8","11:40","[BKN] LeVert Rebound (Off:0 Def:1)","134","835","0","0","0","4","","1610612751","1627747","0","0","","1610612739"
"5","9","11:27","[BKN] LeVert Pullup Jump shot: Missed","-49","90","2","0","79","2","","1610612751","1627747","0","0","","1610612751"
"6","10","11:24","[CLE] James Rebound (Off:0 Def:1)","49","745","0","0","0","4","","1610612739","2544","0","0","","1610612751"
"7","11","11:19","[BKN] Dinwiddie Foul: Shooting (1 PF) (2 FTA)","4","761","0","0","2","6","2544","1610612751","203915","0","0","","1610612739"
"8","13","11:19","[CLE 1-0] James Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612739","2544","0","1","","1610612739"
"9","14","11:19","[CLE 2-0] James Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612739","2544","0","2","","1610612739"
"10","15","11:04","[BKN] Hollis-Jefferson Jump Shot: Missed","155","22","2","0","1","2","","1610612751","1626178","0","2","","1610612751"
"11","16","11:01","[CLE] James Rebound (Off:0 Def:2)","-155","813","0","0","0","4","","1610612739","2544","0","2","","1610612751"
"12","17","10:56","[CLE 5-0] Love 3pt Shot: Made (3 PTS) Assist: James (1 AST)","148","204","3","1","1","1","","1610612739","201567","0","5","2544","1610612739"
"13","19","10:47","[BKN] Dinwiddie Turnover : Bad Pass (1 TO) Steal:Smith (1 ST)","89","245","1","0","1","5","2747","1610612751","203915","0","5","","1610612751"
"14","21","10:37","[CLE] Love Turnaround Hook Shot: Missed","-30","52","2","0","58","2","","1610612739","201567","0","5","","1610612739"
"15","22","10:34","[BKN] Mozgov Rebound (Off:0 Def:1)","30","783","0","0","0","4","","1610612751","202389","0","5","","1610612739"
"16","23","10:22","[BKN] LeVert Layup Shot: Missed","32","19","2","0","5","2","","1610612751","1627747","0","5","","1610612751"
"17","24","10:20","[CLE] Love Rebound (Off:0 Def:1)","-32","817","0","0","0","4","","1610612739","201567","0","5","","1610612751"
"18","25","10:14","[CLE] Crowder 3pt Shot: Missed","-174","181","3","0","1","2","","1610612739","203109","0","5","","1610612739"
"19","26","10:10","[BKN] Carroll Rebound (Off:0 Def:1)","174","655","0","0","0","4","","1610612751","201960","0","5","","1610612739"
"20","27","10:06","[BKN] LeVert Layup Shot: Missed","-47","24","2","0","5","2","","1610612751","1627747","0","5","","1610612751"
"21","28","10:03","[CLE] Smith Rebound (Off:0 Def:1)","47","812","0","0","0","4","","1610612739","2747","0","5","","1610612751"
"22","29","09:50","[CLE] Love Turnover : Traveling (1 TO)","-80","-9","0","0","4","5","","1610612739","201567","0","5","","1610612739"
"23","30","09:50","[CLE] Team Violation : Delay Of Game","0","-80","0","0","1","7","","1610612739","0","0","5","","1610612751"
"24","31","09:34","[BKN 2-5] Dinwiddie Step Back Jump shot: Made (2 PTS)","-137","142","2","0","80","1","","1610612751","203915","2","5","","1610612751"
"25","32","09:21","[CLE] Smith Floating Jump shot: Missed","-90","119","2","0","78","2","","1610612739","2747","2","5","","1610612739"
"26","33","09:18","[CLE] Smith Rebound (Off:1 Def:1)","-90","119","1","0","0","4","","1610612739","2747","2","5","","1610612739"
"27","34","09:18","[CLE] Team Timeout : Regular","0","-80","0","0","1","9","","1610612739","1610612739","2","5","","1610612739"
"28","35","09:08","[CLE 7-2] James Pullup Jump shot: Made (4 PTS)","-105","149","2","0","79","1","","1610612739","2544","2","7","","1610612739"
"29","36","08:56","[BKN] Hollis-Jefferson Turnover : Out of Bounds Lost Ball Turnover (1 TO)","67","0","0","0","40","5","","1610612751","1626178","2","7","","1610612751"
"30","37","08:44","[CLE 9-2] Love Pullup Jump shot: Made (5 PTS) Assist: Smith (1 AST)","-53","114","2","0","79","1","","1610612739","201567","2","9","2747","1610612739"
"31","39","08:35","[BKN] Dinwiddie 3pt Shot: Missed","192","155","3","1","79","2","","1610612751","203915","2","9","","1610612751"
"32","40","08:33","[CLE] Thompson Rebound (Off:0 Def:1)","-192","681","0","0","0","4","","1610612739","202684","2","9","","1610612751"
"33","81","08:29","[CLE] James Turnover : Backcourt Turnover (2 TO)","-90","3","0","0","13","5","","1610612739","2544","10","13","","1610612739"
"34","43","08:15","[BKN] LeVert 3pt Shot: Missed","233","115","3","0","1","2","","1610612751","1627747","2","9","","1610612751"
"35","44","08:13","[CLE] Love Rebound (Off:0 Def:2)","-233","721","0","0","0","4","","1610612739","201567","2","9","","1610612751"
"36","48","08:08","[CLE] Love Turnover : No Turnover (2 TO) Steal:Mozgov (1 ST)","0","-80","1","0","0","5","202389","1610612739","201567","2","9","","1610612739"
"37","50","08:02","[BKN] Dinwiddie Layup Shot: Missed","70","42","2","0","5","2","","1610612751","203915","2","9","","1610612751"
"38","51","08:02","[CLE] Team Rebound","-70","793","0","0","0","4","","1610612739","0","2","9","","1610612751"
"39","52","08:02","[BKN] Mozgov Foul: Loose Ball (1 PF)","21","62","0","0","3","6","201567","1610612751","202389","2","9","","1610612739"
"40","54","07:52","[CLE] Thompson Foul: Offensive Charge (1 PF)","202","154","0","0","26","6","203915","1610612739","202684","2","9","","1610612739"
"41","56","07:52","[CLE] Thompson Turnover : Offensive Foul Turnover (1 TO)","202","154","0","0","37","5","","1610612739","202684","2","9","","1610612739"
"42","57","07:34","[BKN] LeVert 3pt Shot: Missed","201","161","3","0","79","2","","1610612751","1627747","2","9","","1610612751"
"43","58","07:31","[CLE] James Rebound (Off:0 Def:3)","-201","675","0","0","0","4","","1610612739","2544","2","9","","1610612751"
"44","59","07:25","[CLE 11-2] James Pullup Jump shot: Made (6 PTS)","-147","125","2","0","79","1","","1610612739","2544","2","11","","1610612739"
"45","60","07:04","[BKN 4-11] Dinwiddie Driving Layup Shot: Made (4 PTS)","57","11","2","0","6","1","","1610612751","203915","4","11","","1610612751"
"46","61","06:54","[CLE 13-4] James Pullup Jump shot: Made (8 PTS)","-122","97","2","0","79","1","","1610612739","2544","4","13","","1610612739"
"47","62","06:44","[BKN] Dinwiddie 3pt Shot: Missed","-181","199","3","0","1","2","","1610612751","203915","4","13","","1610612751"
"48","63","06:40","[CLE] Thompson Rebound (Off:0 Def:2)","181","637","0","0","0","4","","1610612739","202684","4","13","","1610612751"
"49","64","06:33","[CLE] James Turnaround Fadeaway shot: Missed","-141","96","2","0","86","2","","1610612739","2544","4","13","","1610612739"
"50","66","06:29","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","13","","1610612739"
"51","69","06:29","[BKN] Mozgov Substitution replaced by Crabbe","0","-80","0","0","0","8","","1610612751","202389","4","13","203459","1610612739"
"52","70","06:29","[BKN] LeVert Substitution replaced by Booker","0","-80","0","0","0","8","","1610612751","1627747","4","13","202344","1610612739"
"53","65","06:28","[CLE] Love Rebound (Off:1 Def:2)","-141","96","1","0","0","4","","1610612739","201567","4","13","","1610612739"
"54","71","06:26","[CLE] James Foul: Offensive Charge (1 PF)","-113","9","0","0","26","6","201960","1610612739","2544","4","13","","1610612739"
"55","73","06:26","[CLE] James Turnover : Offensive Foul Turnover (1 TO)","-113","9","0","0","37","5","","1610612739","2544","4","13","","1610612739"
"56","74","06:16","[BKN 7-13] Carroll 3pt Shot: Made (3 PTS) Assist: Booker (1 AST)","-99","257","3","0","66","1","","1610612751","201960","7","13","202344","1610612751"
"57","76","05:59","[CLE] Crowder Turnover : Bad Pass (1 TO) Steal:Carroll (1 ST)","94","10","1","0","1","5","201960","1610612739","203109","7","13","","1610612739"
"58","78","05:53","[BKN 10-13] Carroll 3pt Shot: Made (6 PTS)","8","251","3","1","79","1","","1610612751","201960","10","13","","1610612751"
"59","79","05:30","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","13","","1610612739"
"60","80","05:29","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","13","","1610612739"
"61","82","05:18","[BKN 12-13] Crabbe Pullup Jump shot: Made (2 PTS) Assist: Booker (2 AST)","-6","187","2","0","79","1","","1610612751","203459","12","13","202344","1610612751"
"62","84","05:00","[CLE] James Driving Layup Shot: Missed","-81","61","2","0","6","2","","1610612739","2544","12","13","","1610612739"
"63","85","04:58","[BKN] Carroll Rebound (Off:0 Def:2)","81","775","0","0","0","4","","1610612751","201960","12","13","","1610612739"
"64","86","04:54","[BKN] Crabbe 3pt Shot: Missed","-187","184","3","1","1","2","","1610612751","203459","12","13","","1610612751"
"65","87","04:51","[CLE] Love Rebound (Off:1 Def:3)","187","651","0","0","0","4","","1610612739","201567","12","13","","1610612751"
"66","88","04:47","[CLE] James Driving Layup Shot: Missed","-54","34","2","0","6","2","1626178","1610612739","2544","12","13","","1610612739"
"67","90","04:47","[CLE] Team Rebound","-54","34","1","0","0","4","","1610612739","0","12","13","","1610612739"
"68","92","04:47","[BKN] Hollis-Jefferson Substitution replaced by Acy","0","-80","0","0","0","8","","1610612751","1626178","12","13","203112","1610612739"
"69","93","04:44","[CLE 15-12] Crowder Jump Shot: Made (2 PTS) Assist: James (2 AST)","-117","183","2","0","1","1","","1610612739","203109","12","15","2544","1610612739"
"70","95","04:23","[BKN 14-15] Carroll Driving Reverse Layup Shot: Made (8 PTS)","46","24","2","0","73","1","","1610612751","201960","14","15","","1610612751"
"71","96","04:07","[CLE] Smith 3pt Shot: Missed","-233","20","3","0","1","2","","1610612739","2747","14","15","","1610612739"
"72","97","04:04","[BKN] Booker Rebound (Off:0 Def:1)","217","824","0","0","0","4","","1610612751","202344","14","15","","1610612739"
"73","98","03:48","[BKN 16-15] Booker Hook Shot: Made (2 PTS)","-28","69","2","0","3","1","","1610612751","202344","16","15","","1610612751"
"74","99","03:47","[CLE] Team Timeout : Regular","0","-80","0","0","1","9","","1610612739","1610612739","16","15","","1610612739"
"75","104","03:47","[CLE] Love Substitution replaced by Green","0","-80","0","0","0","8","","1610612739","201567","16","15","201145","1610612739"
"76","105","03:47","[CLE] Smith Substitution replaced by Calderon","0","-80","0","0","0","8","","1610612739","2747","16","15","101181","1610612739"
"77","106","03:47","[CLE] James Substitution replaced by Shumpert","0","-80","0","0","0","8","","1610612739","2544","16","15","202697","1610612739"
"78","107","03:47","[CLE] Crowder Substitution replaced by Korver","0","-80","0","0","0","8","","1610612739","203109","16","15","2594","1610612739"
"79","108","03:30","[CLE 17-16] Calderon Driving Layup Shot: Made (2 PTS)","30","40","2","0","6","1","","1610612739","101181","16","17","","1610612739"
"80","109","03:16","[BKN] Crabbe 3pt Shot: Missed","190","166","3","0","1","2","","1610612751","203459","16","17","","1610612751"
"81","110","03:13","[CLE] Green Rebound (Off:0 Def:1)","-190","670","0","0","0","4","","1610612739","201145","16","17","","1610612751"
"82","111","03:07","[CLE 20-16] Korver 3pt Shot: Made (3 PTS) Assist: Green (1 AST)","38","267","3","0","1","1","","1610612739","2594","16","20","201145","1610612739"
"83","113","02:55","[BKN] Carroll 3pt Shot: Missed","-56","253","3","0","79","2","","1610612751","201960","16","20","","1610612751"
"84","114","02:52","[CLE] Green Rebound (Off:0 Def:2)","56","582","0","0","0","4","","1610612739","201145","16","20","","1610612751"
"85","115","02:47","[CLE] Green Driving Layup Shot: Missed","49","39","2","0","6","2","","1610612739","201145","16","20","","1610612739"
"86","116","02:46","[BKN] Team Rebound","-49","797","0","0","0","4","","1610612751","0","16","20","","1610612739"
"87","119","02:46","[BKN] Dinwiddie Substitution replaced by LeVert","0","-80","0","0","0","8","","1610612751","203915","16","20","1627747","1610612751"
"88","120","02:46","[BKN] Carroll Substitution replaced by Harris","0","-80","0","0","0","8","","1610612751","201960","16","20","203925","1610612751"
"89","121","02:39","[CLE] Korver Foul: Shooting (1 PF) (3 FTA)","-64","582","0","0","2","6","203459","1610612739","2594","16","20","","1610612751"
"90","123","02:39","[BKN 17-20] Crabbe Free Throw 1 of 3 (3 PTS)","0","-80","1","0","13","3","","1610612751","203459","17","20","","1610612751"
"91","124","02:39","[BKN 18-20] Crabbe Free Throw 2 of 3 (4 PTS)","0","-80","1","0","14","3","","1610612751","203459","18","20","","1610612751"
"92","125","02:39","[BKN 19-20] Crabbe Free Throw 3 of 3 (5 PTS)","0","-80","1","0","15","3","","1610612751","203459","19","20","","1610612751"
"93","126","02:19","[CLE 22-19] Shumpert Step Back Jump shot: Made (2 PTS)","92","160","2","0","80","1","","1610612739","202697","19","22","","1610612739"
"94","127","02:05","[BKN 21-22] LeVert Driving Layup Shot: Made (2 PTS)","-12","19","2","0","6","1","","1610612751","1627747","21","22","","1610612751"
"95","128","01:43","[CLE] Calderon Pullup Jump shot: Missed","87","184","2","0","79","2","","1610612739","101181","21","22","","1610612739"
"96","129","01:37","[CLE] Thompson Rebound (Off:1 Def:2)","87","184","1","0","0","4","","1610612739","202684","21","22","","1610612739"
"97","130","01:36","[CLE] Shumpert 3pt Shot: Missed","165","203","3","0","1","2","","1610612739","202697","21","22","","1610612739"
"98","131","01:32","[BKN] Booker Rebound (Off:0 Def:2)","-165","633","0","0","0","4","","1610612751","202344","21","22","","1610612739"
"99","132","01:29","[BKN 24-22] Harris 3pt Shot: Made (3 PTS) Assist: Booker (3 AST)","189","193","3","1","1","1","","1610612751","203925","24","22","202344","1610612751"
"100","134","01:19","[CLE] Korver 3pt Shot: Missed","-130","234","3","0","1","2","","1610612739","2594","24","22","","1610612739"
"101","135","01:17","[BKN] Acy Rebound (Off:0 Def:1)","130","602","0","0","0","4","","1610612751","203112","24","22","","1610612739"
"102","136","01:07","[BKN] Crabbe 3pt Shot: Missed","-120","256","3","0","1","2","","1610612751","203459","24","22","","1610612751"
"103","137","01:07","[CLE] Green Rebound (Off:0 Def:3)","120","580","0","0","0","4","","1610612739","201145","24","22","","1610612751"
"104","138","01:00","[BKN] Acy Foul: Personal (1 PF)","36","678","0","0","1","6","201145","1610612751","203112","24","22","","1610612739"
"105","140","00:53.0","[BKN] LeVert Foul: Shooting (1 PF) (2 FTA)","-94","787","0","0","2","6","202684","1610612751","1627747","24","22","","1610612739"
"106","142","00:53.0","[CLE] Thompson Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612739","202684","24","22","","1610612739"
"107","143","00:53.0","[CLE] Team Rebound","0","-80","1","0","1","4","","1610612739","0","24","22","","1610612739"
"108","144","00:53.0","[CLE 23-24] Thompson Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612739","202684","24","23","","1610612739"
"109","145","00:43.1","[BKN] Acy 3pt Shot: Missed","-159","219","3","0","1","2","","1610612751","203112","24","23","","1610612751"
"110","146","00:40.0","[CLE] Shumpert Rebound (Off:0 Def:1)","159","617","0","0","0","4","","1610612739","202697","24","23","","1610612751"
"111","147","00:34.0","[CLE] Green 3pt Shot: Missed","77","277","3","0","1","2","","1610612739","201145","24","23","","1610612739"
"112","148","00:30.1","[BKN] Crabbe Rebound (Off:0 Def:1)","-77","558","0","0","0","4","","1610612751","203459","24","23","","1610612739"
"113","149","00:10.1","[BKN 26-23] LeVert Driving Layup Shot: Made (4 PTS)","35","19","2","0","6","1","","1610612751","1627747","26","23","","1610612751"
"114","150","00:03.0","[CLE] Calderon Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","46","108","0","0","45","5","","1610612739","101181","26","23","","1610612739"
"115","151","00:00.0","[BKN] Harris 3pt Shot: Missed","24","321","3","0","1","2","201145","1610612751","203925","26","23","","1610612751"
"116","153","00:00.0","[BKN] Team Rebound","24","321","1","0","0","4","","1610612751","0","26","23","","1610612751"
"117","156","00:00.0","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","26","23","","1610612751"
"118","157","00:00.0","End Period","0","-80","0","0","0","13","","0","0","26","23","","1610612751"
"119","164","12:00","Start Period","0","-80","0","0","0","12","","0","0","26","23","","1610612751"
"120","165","11:46","[BKN] Harris Layup Shot: Missed","49","27","2","0","5","2","2544","1610612751","203925","26","23","","1610612751"
"121","167","11:46","[BKN] Team Rebound","49","27","1","0","0","4","","1610612751","0","26","23","","1610612751"
"122","168","11:38","[BKN] Booker Turnover : Backcourt Turnover (1 TO)","-39","466","0","0","13","5","","1610612751","202344","26","23","","1610612751"
"123","169","11:26","[CLE 26-26] Green 3pt Shot: Made (3 PTS) Assist: Calderon (1 AST)","231","44","3","0","1","1","","1610612739","201145","26","26","101181","1610612739"
"124","172","11:26","[BKN] Mozgov Foul: Shooting (2 PF) (1 FTA)","-225","802","0","0","2","6","201145","1610612751","202389","26","26","","1610612751"
"125","175","11:26","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","26","26","","1610612751"
"126","177","11:26","[BKN] Mozgov Substitution replaced by Hollis-Jefferson","0","-80","0","0","0","8","","1610612751","202389","26","26","1626178","1610612751"
"127","178","11:26","[CLE 27-26] Green Free Throw 1 of 1 (4 PTS)","0","-80","1","0","10","3","","1610612739","201145","26","27","","1610612739"
"128","179","11:17","[BKN] Kilpatrick Pullup Jump shot: Missed","-9","208","2","0","79","2","","1610612751","203930","26","27","","1610612751"
"129","181","11:15","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","26","27","","1610612751"
"130","180","11:14","[BKN] Booker Rebound (Off:1 Def:2)","2","277","1","0","0","4","","1610612751","202344","26","27","","1610612751"
