"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Howard vs Millsap (Williams gains possession)","0","-80","0","0","0","10","200794","1610612766","2730","0","0","101107","1610612766"
"3","7","11:33","[CHA] Lamb Jump Shot: Missed","-112","120","2","0","1","2","","1610612766","203087","0","0","","1610612766"
"4","8","11:29","[DEN] Millsap Rebound (Off:0 Def:1)","112","716","0","0","0","4","","1610612743","200794","0","0","","1610612766"
"5","9","11:26","[DEN] Murray 3pt Shot: Missed","-129","213","3","1","79","2","","1610612743","1627750","0","0","","1610612743"
"6","10","11:22","[DEN] Jokic Rebound (Off:1 Def:0)","-129","213","1","0","0","4","","1610612743","203999","0","0","","1610612743"
"7","11","11:16","[DEN] Harris 3pt Shot: Missed","-117","233","3","0","1","2","","1610612743","203914","0","0","","1610612743"
"8","12","11:11","[CHA] Howard Rebound (Off:0 Def:1)","117","603","0","0","0","4","","1610612766","2730","0","0","","1610612743"
"9","13","11:02","[CHA] Kidd-Gilchrist Layup Shot: Missed","18","16","2","0","5","2","","1610612766","203077","0","0","","1610612766"
"10","14","10:57","[CHA] Howard Rebound (Off:1 Def:1)","18","16","1","0","0","4","","1610612766","2730","0","0","","1610612766"
"11","15","10:57","[CHA 2-0] Howard Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612766","2730","2","0","","1610612766"
"12","16","10:43","[CHA] Williams Foul: Shooting (1 PF) (2 FTA)","96","814","0","0","2","6","200794","1610612766","101107","2","0","","1610612743"
"13","18","10:43","[DEN] Millsap Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612743","200794","2","0","","1610612743"
"14","19","10:43","[DEN] Team Rebound","0","-80","1","0","1","4","","1610612743","0","2","0","","1610612743"
"15","20","10:43","[DEN 1-2] Millsap Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612743","200794","2","1","","1610612743"
"16","21","10:34","[CHA 4-1] Williams Cutting Layup Shot: Made (2 PTS) Assist: Walker (1 AST)","6","16","2","0","98","1","","1610612766","101107","4","1","202689","1610612766"
