"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Gasol vs Noel (Martin gains possession)","0","-80","0","0","0","10","203457","1610612763","201188","0","0","1626185","1610612763"
"3","7","11:48","[DAL] Matthews Foul: Personal (1 PF) (H Workman)","-82","665","0","0","1","6","201188","1610612742","202083","0","0","","1610612763"
"4","9","11:38","[MEM] Conley Pullup Jump shot: Missed","81","166","2","0","79","2","","1610612763","201144","0","0","","1610612763"
"5","10","11:35","[DAL] Barnes Rebound (Off:0 Def:1)","-81","670","0","0","0","4","","1610612742","203084","0","0","","1610612763"
"6","11","11:24","[MEM] Harrison Foul: Personal (1 PF) (H Workman)","-130","824","0","0","1","6","202083","1610612763","1626150","0","0","","1610612742"
"7","13","11:11","[DAL] Nowitzki 3pt Shot: Missed","135","219","3","0","1","2","","1610612742","1717","0","0","","1610612742"
"8","14","11:07","[MEM] Ennis III Rebound (Off:0 Def:1)","-135","617","0","0","0","4","","1610612763","203516","0","0","","1610612742"
"9","15","10:57","[MEM] Gasol Driving Hook Shot: Missed","20","55","2","0","57","2","","1610612763","201188","0","0","","1610612763"
"10","16","10:54","[DAL] Nowitzki Rebound (Off:0 Def:1)","6","770","0","0","0","4","","1610612742","1717","0","0","","1610612763"
"11","17","10:44","[DAL 3-0] Matthews 3pt Shot: Made (3 PTS) Assist: Smith Jr. (1 AST)","-186","164","3","0","1","1","","1610612742","202083","3","0","1628372","1610612742"
"12","19","10:20","[MEM 3-3] Conley 3pt Shot: Made (3 PTS) Assist: Harrison (1 AST)","112","243","3","0","1","1","","1610612763","201144","3","3","1626150","1610612763"
"13","21","10:01","[DAL] Matthews 3pt Shot: Missed","207","135","3","0","1","2","","1610612742","202083","3","3","","1610612742"
"14","22","09:58","[MEM] Ennis III Rebound (Off:0 Def:2)","-207","701","0","0","0","4","","1610612763","203516","3","3","","1610612742"
"15","23","09:41","[MEM] Gasol 3pt Shot: Missed","-3","241","3","0","1","2","","1610612763","201188","3","3","","1610612763"
"16","24","09:37","[DAL] Matthews Rebound (Off:0 Def:1)","3","594","0","0","0","4","","1610612742","202083","3","3","","1610612763"
"17","25","09:27","[DAL 6-3] Smith Jr. 3pt Shot: Made (3 PTS) Assist: Noel (1 AST)","-101","240","3","0","1","1","","1610612742","1628372","6","3","203457","1610612742"
"18","27","09:10","[MEM 5-6] Gasol Fadeaway Jump Shot: Made (2 PTS)","-69","42","2","0","63","1","","1610612763","201188","6","5","","1610612763"
"19","28","08:50","[DAL] Barnes Turnover : Lost Ball (1 TO) Steal:Ennis III (1 ST)","-100","69","1","0","2","5","203516","1610612742","203084","6","5","","1610612742"
"20","30","08:46","[MEM 7-6] Ennis III Running Alley Oop Layup Shot: Made (2 PTS) Assist: Martin (1 AST)","6","8","2","1","100","1","","1610612763","203516","6","7","1626185","1610612763"
"21","32","08:30","[DAL 8-7] Noel Hook Shot: Made (2 PTS) Assist: Barnes (1 AST)","-5","57","2","0","3","1","","1610612742","203457","8","7","203084","1610612742"
"22","34","08:16","[MEM] Ennis III Jump Shot: Missed","-89","160","2","0","1","2","","1610612763","203516","8","7","","1610612763"
"23","35","08:14","[DAL] Barnes Rebound (Off:0 Def:2)","89","676","0","0","0","4","","1610612742","203084","8","7","","1610612763"
"24","37","08:08","[DAL] Smith Jr. 3pt Shot: Missed","185","161","3","1","1","2","","1610612742","1628372","8","7","","1610612742"
"25","38","08:04","[MEM] Conley Rebound (Off:0 Def:1)","-185","675","0","0","0","4","","1610612763","201144","8","7","","1610612742"
"26","39","07:58","[MEM] Conley Driving Floating Bank Jump Shot: Missed","-40","26","2","1","102","2","","1610612763","201144","8","7","","1610612763"
"27","40","07:56","[DAL] Nowitzki Rebound (Off:0 Def:2)","40","809","0","0","0","4","","1610612742","1717","8","7","","1610612763"
"28","41","07:44","[MEM] Conley Foul: Shooting (1 PF) (2 FTA) (H Workman)","-96","795","0","0","2","6","202083","1610612763","201144","8","7","","1610612742"
"29","43","07:44","[DAL 9-7] Matthews Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612742","202083","9","7","","1610612742"
"30","44","07:44","[DAL 10-7] Matthews Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612742","202083","10","7","","1610612742"
"31","45","07:30","[MEM] Harrison 3pt Shot: Missed","226","40","3","0","1","2","","1610612763","1626150","10","7","","1610612763"
"32","46","07:28","[DAL] Team Rebound","-226","796","0","0","0","4","","1610612742","0","10","7","","1610612763"
"33","47","07:12","[DAL] Matthews Fadeaway Jump Shot: Missed","-51","199","2","0","63","2","","1610612742","202083","10","7","","1610612742"
"34","48","07:10","[DAL] Nowitzki Rebound (Off:1 Def:2)","-51","199","1","0","0","4","","1610612742","1717","10","7","","1610612742"
"35","49","07:10","[DAL 12-7] Nowitzki Putback Layup Shot: Made (2 PTS)","-7","11","2","0","72","1","","1610612742","1717","12","7","","1610612742"
"36","50","07:10","[MEM] Harrison Foul: Shooting (2 PF) (1 FTA) (P Fraher)","7","824","0","0","2","6","1717","1610612763","1626150","12","7","","1610612763"
"37","53","07:10","[MEM] Harrison Substitution replaced by Chalmers","0","-80","0","0","0","8","","1610612763","1626150","12","7","201596","1610612763"
"38","54","07:10","[DAL 13-7] Nowitzki Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612742","1717","13","7","","1610612742"
"39","55","06:59","[MEM] Martin Turnover : Bad Pass (1 TO) Steal:Noel (1 ST)","-44","76","1","0","1","5","203457","1610612763","1626185","13","7","","1610612763"
"40","57","06:54","[DAL 15-7] Matthews Running Reverse Layup Shot: Made (7 PTS)","-17","12","2","1","74","1","","1610612742","202083","15","7","","1610612742"
"41","58","06:45","[MEM] Chalmers Turnover : Bad Pass (1 TO) Steal:Matthews (1 ST)","-82","189","1","0","1","5","202083","1610612763","201596","15","7","","1610612763"
"42","60","06:38","[DAL 17-7] Smith Jr. Running Dunk Shot: Made (5 PTS)","-3","10","2","1","50","1","","1610612742","1628372","17","7","","1610612742"
"43","61","06:32","[MEM] Team Timeout : Regular","0","-80","0","0","1","9","","1610612763","1610612763","17","7","","1610612763"
"44","64","06:32","[DAL] Smith Jr. Substitution replaced by Harris","0","-80","0","0","0","8","","1610612742","1628372","17","7","2734","1610612763"
"45","65","06:32","[DAL] Nowitzki Substitution replaced by Ferrell","0","-80","0","0","0","8","","1610612742","1717","17","7","1627812","1610612763"
"46","67","06:32","[MEM] Ennis III Substitution replaced by Brooks","0","-80","0","0","0","8","","1610612763","203516","17","7","1628415","1610612763"
"47","68","06:16","[MEM] Martin Layup Shot: Missed","30","15","2","0","5","2","203457","1610612763","1626185","17","7","","1610612763"
"48","70","06:13","[DAL] Matthews Rebound (Off:0 Def:2)","-30","820","0","0","0","4","","1610612742","202083","17","7","","1610612763"
"49","72","06:05","[MEM] Gasol Foul: Defense 3 Second (1 PF) (1 FTA) (P Fraher)","-9","803","0","0","17","6","","1610612763","201188","17","7","","1610612742"
"50","73","06:05","[DAL] Barnes Free Throw Technical Missed","0","-80","2","0","16","3","","1610612742","203084","17","7","","1610612742"
"51","74","06:05","[DAL] Team Rebound","0","-80","1","0","1","4","","1610612742","0","17","7","","1610612742"
"52","75","05:51","[DAL 19-7] Harris Driving Floating Bank Jump Shot: Made (2 PTS)","4","11","2","0","102","1","","1610612742","2734","19","7","","1610612742"
"53","76","05:40","[MEM 10-19] Conley 3pt Shot: Made (6 PTS) Assist: Gasol (1 AST)","56","251","3","0","1","1","","1610612763","201144","19","10","201188","1610612763"
"54","78","05:22","[DAL] Harris Driving Floating Jump Shot: Missed","13","85","2","0","101","2","","1610612742","2734","19","10","","1610612742"
"55","79","05:21","[MEM] Conley Rebound (Off:0 Def:2)","-13","750","0","0","0","4","","1610612763","201144","19","10","","1610612742"
