"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:54","Jump Ball Ibaka vs Pachulia (Lowry gains possession)","0","-80","0","0","0","10","2585","1610612761","201586","0","0","200768","1610612761"
"3","7","11:41","[GSW] Thompson Foul: Shooting (1 PF) (2 FTA) (K Fitzgerald)","-5","722","0","0","2","6","201586","1610612744","202691","0","0","","1610612761"
"4","9","11:41","[TOR 1-0] Ibaka Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612761","201586","0","1","","1610612761"
"5","10","11:41","[TOR 2-0] Ibaka Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612761","201586","0","2","","1610612761"
"6","11","11:22","[GSW 2-2] Durant Driving Floating Jump Shot: Made (2 PTS)","-35","72","2","0","101","1","","1610612744","201142","2","2","","1610612744"
"7","12","11:10","[TOR] Ibaka 3pt Shot: Missed","-3","247","3","0","1","2","","1610612761","201586","2","2","","1610612761"
"8","13","11:10","[GSW] Pachulia Rebound (Off:0 Def:1)","3","588","0","0","0","4","","1610612744","2585","2","2","","1610612761"
"9","14","10:59","[TOR] Powell Foul: Personal (1 PF) (K Cutler)","11","811","0","0","1","6","2585","1610612761","1626181","2","2","","1610612744"
"10","16","10:54","[GSW] Thompson Jump Shot: Missed","-105","131","2","0","1","2","","1610612744","202691","2","2","","1610612744"
"11","17","10:51","[TOR] Ibaka Rebound (Off:0 Def:1)","105","705","0","0","0","4","","1610612761","201586","2","2","","1610612744"
"12","18","10:49","[TOR] Lowry Turnover : Lost Ball (1 TO) Steal:Curry (1 ST)","-4","34","1","0","2","5","201939","1610612761","200768","2","2","","1610612761"
"13","20","10:42","[GSW] Curry 3pt Shot: Missed","123","234","3","1","1","2","","1610612744","201939","2","2","","1610612744"
"14","21","10:39","[TOR] Team Rebound","-123","602","0","0","0","4","","1610612761","0","2","2","","1610612744"
"15","22","10:18","[GSW] Curry Foul: Personal (1 PF) (K Cutler)","95","808","0","0","1","6","200768","1610612744","201939","2","2","","1610612761"
"16","24","10:12","[TOR 4-2] Siakam Cutting Layup Shot: Made (2 PTS) Assist: Lowry (1 AST)","-15","19","2","0","98","1","","1610612761","1627783","2","4","200768","1610612761"
"17","26","09:54","[GSW] Thompson Cutting Layup Shot: Missed","0","20","2","0","98","2","201586","1610612744","202691","2","4","","1610612744"
"18","28","09:48","[TOR] Siakam Rebound (Off:0 Def:1)","0","816","0","0","0","4","","1610612761","1627783","2","4","","1610612744"
"19","29","09:48","[GSW] Pachulia Foul: Shooting (1 PF) (3 FTA) (K Fitzgerald)","-74","577","0","0","2","6","200768","1610612744","2585","2","4","","1610612761"
"20","31","09:48","[TOR 5-2] Lowry Free Throw 1 of 3 (1 PTS)","0","-80","1","1","13","3","","1610612761","200768","2","5","","1610612761"
"21","32","09:48","[TOR 6-2] Lowry Free Throw 2 of 3 (2 PTS)","0","-80","1","1","14","3","","1610612761","200768","2","6","","1610612761"
"22","33","09:48","[TOR 7-2] Lowry Free Throw 3 of 3 (3 PTS)","0","-80","1","1","15","3","","1610612761","200768","2","7","","1610612761"
"23","34","09:37","[GSW 5-7] Green 3pt Shot: Made (3 PTS) Assist: Thompson (1 AST)","147","208","3","0","79","1","","1610612744","203110","5","7","202691","1610612744"
"24","36","09:24","[TOR 9-5] Ibaka Jump Shot: Made (4 PTS) Assist: Lowry (2 AST)","-2","163","2","0","1","1","","1610612761","201586","5","9","200768","1610612761"
"25","38","09:13","[GSW 7-9] Pachulia Driving Reverse Layup Shot: Made (2 PTS) Assist: Thompson (2 AST)","-19","5","2","0","73","1","","1610612744","2585","7","9","202691","1610612744"
"26","40","08:52","[TOR 11-7] Powell Driving Dunk Shot: Made (2 PTS) Assist: Siakam (1 AST)","-3","4","2","0","9","1","","1610612761","1626181","7","11","1627783","1610612761"
"27","42","08:44","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","11","","1610612744"
"28","43","08:39","[GSW 9-11] Durant Alley Oop Dunk Shot: Made (4 PTS) Assist: Curry (1 AST)","8","1","2","0","52","1","","1610612744","201142","9","11","201939","1610612744"
"29","45","08:12","[TOR] Siakam 3pt Shot: Missed","229","-14","3","0","1","2","","1610612761","1627783","9","11","","1610612761"
