"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Chandler vs Gobert (James gains possession)","0","-80","0","0","0","10","203497","1610612756","2199","0","0","1628455","1610612756"
"3","7","11:48","[PHX] Booker Pullup Jump shot: Missed","0","201","2","0","79","2","","1610612756","1626164","0","0","","1610612756"
"4","8","11:42","[UTA] Favors Rebound (Off:0 Def:1)","0","635","0","0","0","4","","1610612762","202324","0","0","","1610612756"
"5","9","11:26","[UTA] Favors 3pt Shot: Missed","-237","-27","3","0","1","2","","1610612762","202324","0","0","","1610612762"
"6","10","11:23","[PHX] Chandler Rebound (Off:0 Def:1)","237","863","0","0","0","4","","1610612756","2199","0","0","","1610612762"
"7","11","11:05","[PHX] Chandler Cutting Layup Shot: Missed","-3","24","2","0","98","2","","1610612756","2199","0","0","","1610612756"
"8","12","11:00","[PHX] Chandler Rebound (Off:1 Def:1)","-3","24","1","0","0","4","","1610612756","2199","0","0","","1610612756"
"9","13","11:00","[PHX 2-0] Chandler Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612756","2199","2","0","","1610612756"
"10","14","10:50","[UTA 2-2] Ingles Driving Finger Roll Layup Shot: Made (2 PTS)","-2","5","2","0","75","1","","1610612762","204060","2","2","","1610612762"
"11","15","10:40","[UTA] Favors Foul: Personal (1 PF) (S Wall)","14","781","0","0","1","6","2199","1610612762","202324","2","2","","1610612756"
"12","17","10:27","[PHX] Chriss Layup Shot: Missed","-3","18","2","0","5","2","203497","1610612756","1627737","2","2","","1610612756"
"13","19","10:22","[PHX] Chandler Rebound (Off:2 Def:1)","-3","18","1","0","0","4","","1610612756","2199","2","2","","1610612756"
"14","20","10:21","[PHX 4-2] Chandler Putback Layup Shot: Made (4 PTS)","8","-7","2","0","72","1","","1610612756","2199","4","2","","1610612756"
"15","21","10:10","[UTA] Rubio Turnover : Bad Pass (1 TO) Steal:Booker (1 ST)","-3","85","1","0","1","5","1626164","1610612762","201937","4","2","","1610612762"
"16","23","10:05","[PHX 6-2] Warren Running Layup Shot: Made (2 PTS) Assist: Booker (1 AST)","-2","10","2","1","41","1","","1610612756","203933","6","2","1626164","1610612756"
"17","25","09:56","[PHX] James Foul: Personal (1 PF) (D Stafford)","-32","650","0","0","1","6","201937","1610612756","1628455","6","2","","1610612762"
"18","27","09:52","[UTA] Hood Turnover : Traveling (1 TO)","-2","188","0","0","4","5","","1610612762","203918","6","2","","1610612762"
"19","28","09:44","[PHX] James Floating Jump shot: Missed","-91","127","2","0","78","2","","1610612756","1628455","6","2","","1610612756"
"20","29","09:41","[UTA] Rubio Rebound (Off:0 Def:1)","45","732","0","0","0","4","","1610612762","201937","6","2","","1610612756"
"21","30","09:37","[UTA] Rubio Turnover : Bad Pass (2 TO) Steal:Chandler (1 ST)","18","103","1","0","1","5","2199","1610612762","201937","6","2","","1610612762"
"22","32","09:32","[PHX 8-2] Warren Running Layup Shot: Made (4 PTS) Assist: James (1 AST)","6","13","2","1","41","1","","1610612756","203933","8","2","1628455","1610612756"
"23","34","09:11","[UTA] Gobert Cutting Layup Shot: Missed","8","15","2","0","98","2","2199","1610612762","203497","8","2","","1610612762"
"24","36","09:07","[PHX] James Rebound (Off:0 Def:1)","-8","821","0","0","0","4","","1610612756","1628455","8","2","","1610612762"
"25","37","09:04","[PHX] Booker 3pt Shot: Missed","-207","146","3","1","2","2","","1610612756","1626164","8","2","","1610612756"
"26","38","09:02","[UTA] Gobert Rebound (Off:0 Def:1)","207","689","0","0","0","4","","1610612762","203497","8","2","","1610612756"
"27","39","08:56","[UTA] Ingles 3pt Shot: Missed","-77","251","3","0","1","2","","1610612762","204060","8","2","","1610612762"
"28","40","08:53","[PHX] Chandler Rebound (Off:2 Def:2)","77","585","0","0","0","4","","1610612756","2199","8","2","","1610612762"
"29","41","08:47","[PHX 10-2] Booker Pullup Jump shot: Made (2 PTS)","-122","-3","2","0","79","1","","1610612756","1626164","10","2","","1610612756"
"30","42","08:46","[UTA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612762","1610612762","10","2","","1610612762"
"31","43","08:25","[UTA] Rubio 3pt Shot: Missed","223","77","3","0","1","2","","1610612762","201937","10","2","","1610612762"
"32","44","08:23","[PHX] Chandler Rebound (Off:2 Def:3)","-223","758","0","0","0","4","","1610612756","2199","10","2","","1610612762"
"33","45","08:13","[PHX] Chriss 3pt Shot: Missed","-118","218","3","0","1","2","","1610612756","1627737","10","2","","1610612756"
"34","46","08:10","[PHX] Booker Rebound (Off:1 Def:0)","-118","218","1","0","0","4","","1610612756","1626164","10","2","","1610612756"
"35","47","08:05","[PHX] Warren Driving Layup Shot: Missed","1","40","2","0","6","2","","1610612756","203933","10","2","","1610612756"
"36","48","08:02","[UTA] Gobert Rebound (Off:0 Def:2)","-1","796","0","0","0","4","","1610612762","203497","10","2","","1610612756"
"37","49","07:40","[UTA] Rubio Turnover : Bad Pass (3 TO) Steal:James (1 ST)","-170","-9","1","0","1","5","1628455","1610612762","201937","10","2","","1610612762"
"38","51","07:34","[PHX] Booker Turnover : Discontinue Dribble (1 TO)","-103","202","0","0","7","5","","1610612756","1626164","10","2","","1610612756"
"39","52","07:17","[UTA 4-10] Hood Pullup Jump shot: Made (2 PTS)","93","148","2","0","79","1","","1610612762","203918","10","4","","1610612762"
"40","53","07:04","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","4","","1610612756"
"41","54","06:51","[PHX] James Driving Layup Shot: Missed","60","98","2","0","6","2","201937","1610612756","1628455","10","4","","1610612756"
"42","56","06:48","[UTA] Favors Rebound (Off:0 Def:2)","-60","738","0","0","0","4","","1610612762","202324","10","4","","1610612756"
"43","57","06:45","[UTA 6-10] Gobert Running Layup Shot: Made (2 PTS) Assist: Rubio (1 AST)","2","3","2","1","41","1","","1610612762","203497","10","6","201937","1610612762"
"44","59","06:27","[PHX] Booker Jump Shot: Missed","83","145","2","0","1","2","","1610612756","1626164","10","6","","1610612756"
"45","60","06:25","[UTA] Gobert Rebound (Off:0 Def:3)","-83","691","0","0","0","4","","1610612762","203497","10","6","","1610612756"
