"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Lopez vs Gortat (Nance Jr. gains possession)","0","-80","0","0","0","10","101162","1610612747","201572","0","0","1626204","1610612747"
"3","7","11:45","[LAL] Lopez Tip Layup Shot: Missed","12","91","2","0","97","2","","1610612747","201572","0","0","","1610612747"
"4","8","11:36","[LAL] Nance Jr. Rebound (Off:1 Def:0)","12","91","1","0","0","4","","1610612747","1626204","0","0","","1610612747"
"5","9","11:36","[LAL 2-0] Nance Jr. Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612747","1626204","2","0","","1610612747"
"6","10","11:25","[WAS] Oubre Jr. 3pt Shot: Missed","-165","192","3","0","1","2","","1610612764","1626162","2","0","","1610612764"
"7","11","11:19","[LAL] Ball Rebound (Off:0 Def:1)","165","644","0","0","0","4","","1610612747","1628366","2","0","","1610612764"
"8","12","11:06","[LAL] Lopez Fadeaway Jump Shot: Missed","95","104","2","0","63","2","","1610612747","201572","2","0","","1610612747"
"9","13","11:01","[LAL] Nance Jr. Rebound (Off:2 Def:0)","95","104","1","0","0","4","","1610612747","1626204","2","0","","1610612747"
"10","14","11:01","[LAL 4-0] Nance Jr. Tip Layup Shot: Made (4 PTS)","0","-5","2","0","97","1","","1610612747","1626204","4","0","","1610612747"
"11","15","10:42","[WAS] Wall Pullup Jump shot: Missed","3","161","2","0","79","2","","1610612764","202322","4","0","","1610612764"
"12","16","10:39","[LAL] Ingram Rebound (Off:0 Def:1)","-3","675","0","0","0","4","","1610612747","1627742","4","0","","1610612764"
"13","17","10:34","[LAL] Ingram Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","127","-3","0","0","45","5","","1610612747","1627742","4","0","","1610612747"
"14","18","10:24","[LAL] Nance Jr. Foul: Personal (1 PF) (S Wright)","71","769","0","0","1","6","202322","1610612747","1626204","4","0","","1610612764"
"15","20","10:17","[WAS] Gortat Jump Shot: Missed","119","95","2","0","1","2","","1610612764","101162","4","0","","1610612764"
"16","21","10:14","[LAL] Nance Jr. Rebound (Off:2 Def:1)","-119","740","0","0","0","4","","1610612747","1626204","4","0","","1610612764"
"17","22","10:06","[LAL] Ingram Hook Shot: Missed","-13","14","2","0","3","2","1626162","1610612747","1627742","4","0","","1610612747"
"18","24","10:03","[WAS] Gortat Rebound (Off:0 Def:1)","13","822","0","0","0","4","","1610612764","101162","4","0","","1610612747"
"19","25","10:00","[WAS] Wall Turnover : Lost Ball (1 TO) Steal:Ball (1 ST)","-128","63","1","0","2","5","1628366","1610612764","202322","4","0","","1610612764"
"20","27","09:54","[LAL 6-0] Ingram Running Layup Shot: Made (2 PTS) Assist: Ball (1 AST)","13","12","2","1","41","1","","1610612747","1627742","6","0","1628366","1610612747"
"21","29","09:44","[WAS] Gortat Jump Shot: Missed","60","22","2","0","1","2","","1610612764","101162","6","0","","1610612764"
"22","30","09:41","[LAL] Ball Rebound (Off:0 Def:2)","-60","813","0","0","0","4","","1610612747","1628366","6","0","","1610612764"
"23","31","09:37","[LAL] Caldwell-Pope 3pt Shot: Missed","161","199","3","1","79","2","","1610612747","203484","6","0","","1610612747"
"24","32","09:33","[WAS] Beal Rebound (Off:0 Def:1)","-161","636","0","0","0","4","","1610612764","203078","6","0","","1610612747"
"25","33","09:23","[LAL] Ball Foul: Personal (1 PF) (B Adams)","73","772","0","0","1","6","202322","1610612747","1628366","6","0","","1610612764"
"26","35","09:10","[WAS] Beal Pullup Jump shot: Missed","143","117","2","0","79","2","","1610612764","203078","6","0","","1610612764"
"27","36","09:06","[LAL] Ball Rebound (Off:0 Def:3)","-143","718","0","0","0","4","","1610612747","1628366","6","0","","1610612764"
"28","37","08:55","[LAL] Nance Jr. Turnaround Jump Shot: Missed","154","42","2","0","47","2","","1610612747","1626204","6","0","","1610612747"
"29","38","08:52","[WAS] Gortat Rebound (Off:0 Def:2)","-154","793","0","0","0","4","","1610612764","101162","6","0","","1610612747"
"30","39","08:45","[WAS] Beal 3pt Shot: Missed","140","222","3","0","1","2","","1610612764","203078","6","0","","1610612764"
"31","40","08:44","[WAS] Team Rebound","140","222","1","0","0","4","","1610612764","0","6","0","","1610612764"
"32","41","08:44","[LAL] Lopez Foul: Loose Ball (1 PF) (B Adams)","-3","808","0","0","3","6","101162","1610612747","201572","6","0","","1610612764"
