"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Noel vs Gasol (Nowitzki gains possession)","0","-80","0","0","0","10","201188","1610612742","203457","0","0","1717","1610612742"
"3","7","11:45","[DAL 2-0] Barnes Jump Shot: Made (2 PTS) Assist: Smith Jr. (1 AST)","156","50","2","0","1","1","","1610612742","203084","0","2","1628372","1610612742"
"4","9","11:21","[MEM] Gasol Hook Shot: Missed","-13","46","2","0","3","2","","1610612763","201188","0","2","","1610612763"
"5","10","11:17","[MEM] Martin Rebound (Off:1 Def:0)","-13","46","1","0","0","4","","1610612763","1626185","0","2","","1610612763"
"6","11","11:14","[MEM 3-2] Gasol 3pt Shot: Made (3 PTS) Assist: Martin (1 AST)","-125","223","3","0","1","1","","1610612763","201188","3","2","1626185","1610612763"
"7","13","11:01","[DAL] Nowitzki Jump Shot: Missed","-125","164","2","0","1","2","","1610612742","1717","3","2","","1610612742"
"8","14","10:59","[MEM] Ennis III Rebound (Off:0 Def:1)","125","671","0","0","0","4","","1610612763","203516","3","2","","1610612742"
"9","15","10:52","[MEM] Conley 3pt Shot: Missed","230","102","3","0","1","2","","1610612763","201144","3","2","","1610612763"
"10","16","10:48","[DAL] Nowitzki Rebound (Off:0 Def:1)","-230","734","0","0","0","4","","1610612742","1717","3","2","","1610612763"
"11","17","10:37","[MEM] Harrison Foul: Shooting (1 PF) (2 FTA) (E Lewis)","1","782","0","0","2","6","202083","1610612763","1626150","3","2","","1610612742"
"12","19","10:37","[DAL 3-3] Matthews Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612742","202083","3","3","","1610612742"
"13","20","10:37","[DAL 4-3] Matthews Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612742","202083","3","4","","1610612742"
"14","21","10:26","[MEM] Gasol Turnover : Lost Ball (1 TO)","-78","46","0","0","2","5","","1610612763","201188","3","4","","1610612763"
"15","22","10:26","[MEM] Gasol Foul: Loose Ball (1 PF) (E Lewis)","-75","60","0","0","3","6","203457","1610612763","201188","3","4","","1610612742"
"16","24","10:09","[DAL] Nowitzki Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-119","200","0","0","45","5","","1610612742","1717","3","4","","1610612742"
"17","25","10:00","[MEM] Conley Pullup Jump shot: Missed","44","149","2","0","79","2","","1610612763","201144","3","4","","1610612763"
"18","26","09:56","[DAL] Barnes Rebound (Off:0 Def:1)","-44","687","0","0","0","4","","1610612742","203084","3","4","","1610612763"
"19","27","09:50","[DAL 6-3] Barnes Pullup Jump shot: Made (4 PTS)","-83","200","2","0","79","1","","1610612742","203084","3","6","","1610612742"
"20","28","09:28","[MEM] Ennis III 3pt Shot: Missed","-233","13","3","0","1","2","","1610612763","203516","3","6","","1610612763"
"21","29","09:26","[DAL] Noel Rebound (Off:0 Def:1)","233","823","0","0","0","4","","1610612742","203457","3","6","","1610612763"
"22","30","09:25","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","3","6","","1610612742"
"23","31","09:12","[DAL] Nowitzki Jump Shot: Missed","89","193","2","0","1","2","","1610612742","1717","3","6","","1610612742"
"24","32","09:09","[MEM] Gasol Rebound (Off:0 Def:1)","-89","643","0","0","0","4","","1610612763","201188","3","6","","1610612742"
"25","33","09:03","[MEM 6-6] Martin 3pt Shot: Made (3 PTS) Assist: Conley (1 AST)","111","235","3","0","2","1","","1610612763","1626185","6","6","201144","1610612763"
"26","35","08:51","[DAL 8-6] Smith Jr. Pullup Jump shot: Made (2 PTS)","42","169","2","0","79","1","","1610612742","1628372","6","8","","1610612742"
"27","37","08:36","[DAL] Noel Foul: Personal (1 PF) (M Ervin)","0","786","0","0","1","6","201144","1610612742","203457","6","8","","1610612763"
"28","40","08:21","[MEM] Harrison Step Back Jump shot: Missed","-3","154","2","0","80","2","","1610612763","1626150","6","8","","1610612763"
"29","41","08:19","[DAL] Nowitzki Rebound (Off:0 Def:2)","3","682","0","0","0","4","","1610612742","1717","6","8","","1610612763"
"30","42","08:13","[DAL] Smith Jr. 3pt Shot: Missed","64","250","3","0","1","2","","1610612742","1628372","6","8","","1610612742"
"31","43","08:08","[MEM] Martin Rebound (Off:1 Def:1)","-64","586","0","0","0","4","","1610612763","1626185","6","8","","1610612742"
"32","44","08:04","[DAL] Noel Foul: Personal (2 PF) (M Ervin)","9","660","0","0","1","6","201188","1610612742","203457","6","8","","1610612763"
"33","47","08:04","[DAL] Noel Substitution replaced by Powell","0","-80","0","0","0","8","","1610612742","203457","6","8","203939","1610612763"
"34","48","07:56","[MEM] Conley Driving Layup Shot: Missed","3","13","2","0","6","2","1628372","1610612763","201144","6","8","","1610612763"
"35","50","07:53","[DAL] Powell Rebound (Off:0 Def:1)","-3","823","0","0","0","4","","1610612742","203939","6","8","","1610612763"
"36","51","07:42","[DAL] Matthews 3pt Shot: Missed","32","252","3","0","80","2","","1610612742","202083","6","8","","1610612742"
"37","52","07:39","[MEM] Ennis III Rebound (Off:0 Def:2)","-32","583","0","0","0","4","","1610612763","203516","6","8","","1610612742"
"38","53","07:32","[MEM 8-8] Gasol Driving Layup Shot: Made (5 PTS) Assist: Conley (2 AST)","-2","14","2","0","6","1","","1610612763","201188","8","8","201144","1610612763"
"39","55","07:26","[DAL] Smith Jr. Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","107","-22","0","0","45","5","","1610612742","1628372","8","8","","1610612742"
"40","56","07:10","[MEM 11-8] Martin 3pt Shot: Made (6 PTS) Assist: Conley (3 AST)","-35","246","3","0","1","1","","1610612763","1626185","11","8","201144","1610612763"
"41","58","06:55","[DAL] Barnes Step Back Jump shot: Missed","15","203","2","0","80","2","","1610612742","203084","11","8","","1610612742"
"42","59","06:52","[MEM] Gasol Rebound (Off:0 Def:2)","-15","633","0","0","0","4","","1610612763","201188","11","8","","1610612742"
"43","60","06:44","[DAL] Powell Foul: Personal (1 PF) (E Lewis)","-176","558","0","0","1","6","1626150","1610612742","203939","11","8","","1610612763"
"44","62","06:44","[MEM] Team Timeout : Regular","0","-80","0","0","1","9","","1610612763","1610612763","11","8","","1610612763"
"45","65","06:44","[DAL] Matthews Substitution replaced by Ferrell","0","-80","0","0","0","8","","1610612742","202083","11","8","1627812","1610612763"
"46","66","06:44","[DAL] Nowitzki Substitution replaced by Kleber","0","-80","0","0","0","8","","1610612742","1717","11","8","1628467","1610612763"
"47","67","06:41","[MEM] Harrison Turnover : Traveling (1 TO)","-128","238","0","0","4","5","","1610612763","1626150","11","8","","1610612763"
"48","68","06:24","[DAL] Powell Layup Shot: Missed","9","9","2","0","5","2","","1610612742","203939","11","8","","1610612742"
"49","69","06:21","[MEM] Team Rebound","-9","827","0","0","0","4","","1610612763","0","11","8","","1610612742"
