"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Nurkic vs Jordan (Harkless gains possession)","0","-80","0","0","0","10","201599","1610612757","203994","0","0","203090","1610612757"
"3","7","11:41","[POR] Aminu 3pt Shot: Missed","136","201","3","0","1","2","","1610612757","202329","0","0","","1610612757"
"4","8","11:38","[LAC] Jordan Rebound (Off:0 Def:1)","-136","634","0","0","0","4","","1610612746","201599","0","0","","1610612757"
"5","9","11:34","[LAC] Beverley Turnover : Bad Pass (1 TO) Steal:Aminu (1 ST)","152","186","1","0","1","5","202329","1610612746","201976","0","0","","1610612746"
"6","11","11:26","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612757"
"7","12","11:21","[POR 3-0] Lillard 3pt Shot: Made (3 PTS) Assist: Nurkic (1 AST)","-104","268","3","0","1","1","","1610612757","203081","3","0","203994","1610612757"
"8","14","11:03","[LAC 2-3] Gallinari Cutting Layup Shot: Made (2 PTS) Assist: Griffin (1 AST)","-5","-2","2","0","98","1","","1610612746","201568","3","2","201933","1610612746"
"9","16","10:45","[POR] McCollum Driving Floating Jump Shot: Missed","-63","100","2","0","101","2","","1610612757","203468","3","2","","1610612757"
"10","17","10:43","[POR] McCollum Rebound (Off:1 Def:0)","-63","100","1","0","0","4","","1610612757","203468","3","2","","1610612757"
"11","18","10:41","[POR] McCollum Putback Layup Shot: Missed","-39","53","2","0","72","2","","1610612757","203468","3","2","","1610612757"
"12","19","10:41","[LAC] Griffin Rebound (Off:0 Def:1)","39","782","0","0","0","4","","1610612746","201933","3","2","","1610612757"
"13","20","10:35","[LAC 4-3] Rivers Driving Hook Shot: Made (2 PTS)","43","28","2","1","57","1","","1610612746","203085","3","4","","1610612746"
"14","21","10:08","[POR 5-4] Nurkic Cutting Layup Shot: Made (2 PTS) Assist: Lillard (1 AST)","2","3","2","0","98","1","","1610612757","203994","5","4","203081","1610612757"
"15","24","09:54","[POR] Aminu Foul: Shooting (1 PF) (2 FTA) (B Taylor)","-67","746","0","0","2","6","201568","1610612757","202329","5","4","","1610612746"
"16","26","09:54","[LAC 5-5] Gallinari Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612746","201568","5","5","","1610612746"
"17","27","09:54","[LAC 6-5] Gallinari Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612746","201568","5","6","","1610612746"
"18","28","09:42","[POR] Lillard Driving Finger Roll Layup Shot: Missed","-8","3","2","0","75","2","","1610612757","203081","5","6","","1610612757"
"19","29","09:40","[POR] Nurkic Rebound (Off:1 Def:0)","-8","3","1","0","0","4","","1610612757","203994","5","6","","1610612757"
"20","30","09:37","[POR] Harkless 3pt Shot: Missed","-117","216","3","0","1","2","","1610612757","203090","5","6","","1610612757"
"21","31","09:36","[LAC] Griffin Rebound (Off:0 Def:2)","117","619","0","0","0","4","","1610612746","201933","5","6","","1610612757"
"22","32","09:17","[LAC] Beverley 3pt Shot: Missed","-228","9","3","0","1","2","","1610612746","201976","5","6","","1610612746"
"23","33","09:17","[POR] Team Rebound","228","827","0","0","0","4","","1610612757","0","5","6","","1610612746"
"24","34","09:01","[POR] Nurkic Jump Shot: Missed","-126","174","2","0","1","2","","1610612757","203994","5","6","","1610612757"
"25","35","08:57","[LAC] Jordan Rebound (Off:0 Def:2)","126","661","0","0","0","4","","1610612746","201599","5","6","","1610612757"
"26","36","08:50","[LAC] Beverley 3pt Shot: Missed","185","170","3","0","80","2","","1610612746","201976","5","6","","1610612746"
"27","37","08:48","[POR] Aminu Rebound (Off:0 Def:1)","-185","666","0","0","0","4","","1610612757","202329","5","6","","1610612746"
"28","38","08:36","[POR] Harkless Driving Layup Shot: Missed","-14","12","2","0","6","2","201599","1610612757","203090","5","6","","1610612757"
"29","40","08:31","[POR] Aminu Rebound (Off:1 Def:1)","-14","12","1","0","0","4","","1610612757","202329","5","6","","1610612757"
"30","41","08:31","[POR 7-6] Aminu Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612757","202329","7","6","","1610612757"
"31","42","08:24","[LAC 8-7] Rivers Driving Floating Jump Shot: Made (4 PTS)","-6","134","2","0","101","1","","1610612746","203085","7","8","","1610612746"
"32","43","08:05","[LAC] Beverley Foul: Shooting (1 PF) (2 FTA) (K Cutler)","-5","827","0","0","2","6","203090","1610612746","201976","7","8","","1610612757"
"33","45","08:05","[POR 8-8] Harkless Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612757","203090","8","8","","1610612757"
"34","46","08:05","[POR 9-8] Harkless Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612757","203090","9","8","","1610612757"
"35","47","07:43","[LAC 10-9] Griffin Turnaround Fadeaway shot: Made (2 PTS)","-82","149","2","0","86","1","","1610612746","201933","9","10","","1610612746"
"36","48","07:29","[POR] Nurkic Turnover : Bad Pass (1 TO) Steal:Rivers (1 ST)","25","199","1","0","1","5","203085","1610612757","203994","9","10","","1610612757"
"37","50","07:24","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","9","10","","1610612746"
"38","51","07:16","[LAC] Rivers Step Back Jump shot: Missed","-199","108","2","0","80","2","","1610612746","203085","9","10","","1610612746"
"39","52","07:15","[POR] Team Rebound","199","728","0","0","0","4","","1610612757","0","9","10","","1610612746"
"40","53","06:55","[LAC] Rivers Foul: Personal (1 PF) (K Cutler)","-47","801","0","0","1","6","203994","1610612746","203085","9","10","","1610612757"
"41","55","06:55","[POR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612757","1610612757","9","10","","1610612757"
"42","56","06:53","[POR] Nurkic Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","70","197","0","0","45","5","","1610612757","203994","9","10","","1610612757"
"43","57","06:39","[LAC 12-9] Gallinari Turnaround Jump Shot: Made (6 PTS)","-60","150","2","0","47","1","","1610612746","201568","9","12","","1610612746"
"44","58","06:21","[POR 11-12] McCollum Driving Dunk Shot: Made (2 PTS) Assist: Lillard (2 AST)","-1","0","2","0","9","1","","1610612757","203468","11","12","203081","1610612757"
"45","60","06:03","[POR] Lillard Foul: Away From Play (1 PF) (K Cutler)","81","782","0","0","6","6","201568","1610612757","203081","11","12","","1610612746"
"46","64","06:03","[POR] Harkless Substitution replaced by Connaughton","0","-80","0","0","0","8","","1610612757","203090","11","12","1626192","1610612746"
"47","65","06:03","[POR] McCollum Substitution replaced by Turner","0","-80","0","0","0","8","","1610612757","203468","11","12","202323","1610612746"
"48","66","06:02","[POR] Aminu Foul: Personal (2 PF) (K Fitzgerald)","96","843","0","0","1","6","201933","1610612757","202329","11","12","","1610612746"
"49","69","06:02","[POR] Aminu Substitution replaced by Davis","0","-80","0","0","0","8","","1610612757","202329","11","12","202334","1610612746"
"50","70","05:58","[LAC] Griffin Turnover : Traveling (1 TO)","-9","26","0","0","4","5","","1610612746","201933","11","12","","1610612746"
"51","71","05:45","[POR] Nurkic Hook Shot: Missed","-17","57","2","0","3","2","","1610612757","203994","11","12","","1610612757"
"52","72","05:41","[POR] Davis Rebound (Off:1 Def:0)","-17","57","1","0","0","4","","1610612757","202334","11","12","","1610612757"
