"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","12:00","Jump Ball Dedmon vs Millsap (Ilyasova gains possession)","0","-80","0","0","0","10","200794","1610612737","203473","0","0","101141","1610612737"
"3","7","11:52","[ATL 2-0] Ilyasova Jump Shot: Made (2 PTS) Assist: Prince (1 AST)","130","166","2","0","1","1","","1610612737","101141","2","0","1627752","1610612737"
"4","9","11:28","[DEN 2-2] Millsap Driving Layup Shot: Made (2 PTS)","9","16","2","0","6","1","","1610612743","200794","2","2","","1610612743"
"5","10","11:10","[ATL] Schroder Driving Layup Shot: Missed","62","18","2","0","6","2","","1610612737","203471","2","2","","1610612737"
"6","11","11:07","[DEN] Millsap Rebound (Off:0 Def:1)","-62","818","0","0","0","4","","1610612743","200794","2","2","","1610612737"
"7","12","11:02","[DEN 4-2] Murray Cutting Layup Shot: Made (2 PTS) Assist: Millsap (1 AST)","-5","20","2","0","98","1","","1610612743","1627750","2","4","200794","1610612743"
"8","14","10:50","[ATL 5-4] Prince 3pt Shot: Made (3 PTS) Assist: Bazemore (1 AST)","-44","257","3","0","1","1","","1610612737","1627752","5","4","203145","1610612737"
"9","16","10:32","[DEN 6-5] Murray Driving Floating Jump Shot: Made (4 PTS)","-11","90","2","0","101","1","","1610612743","1627750","5","6","","1610612743"
"10","17","10:16","[ATL] Prince Turnover : Traveling (1 TO)","119","226","0","0","4","5","","1610612737","1627752","5","6","","1610612737"
"11","18","09:53","[DEN] Millsap 3pt Shot: Missed","-45","250","3","0","1","2","","1610612743","200794","5","6","","1610612743"
"12","19","09:49","[ATL] Dedmon Rebound (Off:0 Def:1)","45","586","0","0","0","4","","1610612737","203473","5","6","","1610612743"
"13","20","09:39","[ATL] Dedmon Alley Oop Layup shot: Missed","19","19","2","0","43","2","200794","1610612737","203473","5","6","","1610612737"
"14","22","09:32","[DEN] Murray Rebound (Off:0 Def:1)","-19","817","0","0","0","4","","1610612743","1627750","5","6","","1610612737"
"15","23","09:31","[DEN] Murray Jump Shot: Missed","-121","177","2","0","1","2","","1610612743","1627750","5","6","","1610612743"
"16","24","09:31","[DEN] Jokic Rebound (Off:1 Def:0)","-121","177","1","0","0","4","","1610612743","203999","5","6","","1610612743"
