"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Howard vs Capela (Walker gains possession)","0","-80","0","0","0","10","203991","1610612766","2730","0","0","202689","1610612766"
"3","7","11:41","[CHA 3-0] Williams 3pt Shot: Made (3 PTS) Assist: Lamb (1 AST)","85","245","3","0","1","1","","1610612766","101107","3","0","203087","1610612766"
"4","9","11:26","[HOU 3-3] Anderson 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","-89","249","3","0","1","1","","1610612745","201583","3","3","201935","1610612745"
"5","11","11:11","[CHA] Howard Jump Bank Shot: Missed","119","46","2","0","66","2","","1610612766","2730","3","3","","1610612766"
"6","12","11:08","[HOU] Capela Rebound (Off:0 Def:1)","-119","790","0","0","0","4","","1610612745","203991","3","3","","1610612766"
"7","13","11:02","[HOU] Harden Floating Jump shot: Missed","43","28","2","0","78","2","203077","1610612745","201935","3","3","","1610612745"
"8","14","11:02","[HOU] Team Rebound","43","28","1","0","0","4","","1610612745","0","3","3","","1610612745"
"9","15","11:00","[HOU] Gordon Jump Shot: Missed","-119","68","2","0","1","2","","1610612745","201569","3","3","","1610612745"
"10","16","11:00","[CHA] Kidd-Gilchrist Rebound (Off:0 Def:1)","119","767","0","0","0","4","","1610612766","203077","3","3","","1610612745"
"11","18","10:47","[CHA] Walker 3pt Shot: Missed","120","227","3","0","1","2","","1610612766","202689","3","3","","1610612766"
"12","19","10:47","[CHA] Howard Rebound (Off:1 Def:0)","120","227","1","0","0","4","","1610612766","2730","3","3","","1610612766"
"13","20","10:39","[CHA 5-3] Howard Layup Shot: Made (2 PTS)","-7","24","2","0","5","1","","1610612766","2730","5","3","","1610612766"
"14","21","10:39","[HOU] Harden Foul: Shooting (1 PF) (1 FTA)","7","812","0","0","2","6","2730","1610612745","201935","5","3","","1610612745"
"15","23","10:39","[CHA] Howard Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612766","2730","5","3","","1610612766"
"16","24","10:36","[HOU] Harden Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201935","5","3","","1610612766"
"17","25","10:25","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Kidd-Gilchrist (1 ST)","33","41","1","0","1","5","203077","1610612745","201935","5","3","","1610612745"
"18","27","10:21","[CHA] Walker Reverse Layup Shot: Missed","25","6","2","0","44","2","201601","1610612766","202689","5","3","","1610612766"
"19","28","10:21","[CHA] Kidd-Gilchrist Rebound (Off:1 Def:1)","25","6","1","0","0","4","","1610612766","203077","5","3","","1610612766"
"20","29","10:15","[CHA 8-3] Lamb 3pt Shot: Made (3 PTS) Assist: Kidd-Gilchrist (1 AST)","-174","200","3","0","1","1","","1610612766","203087","8","3","203077","1610612766"
"21","31","10:06","[HOU 6-8] Anderson 3pt Shot: Made (6 PTS) Assist: Harden (2 AST)","87","247","3","0","1","1","","1610612745","201583","8","6","201935","1610612745"
