"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Adams vs Towns (Westbrook gains possession)","0","-80","0","0","0","10","1626157","1610612760","203500","0","0","201566","1610612760"
"3","8","11:43","[OKC] Roberson 3pt Shot: Missed","236","-6","3","0","1","2","","1610612760","203460","0","0","","1610612760"
"4","9","11:38","[MIN] Gibson Rebound (Off:0 Def:1)","-236","842","0","0","0","4","","1610612750","201959","0","0","","1610612760"
"5","10","11:28","[MIN] Butler Jump Shot: Missed","-167","54","2","0","1","2","","1610612750","202710","0","0","","1610612750"
"6","11","11:26","[OKC] Adams Rebound (Off:0 Def:1)","167","782","0","0","0","4","","1610612760","203500","0","0","","1610612750"
"7","12","11:09","[OKC] George Turnaround Fadeaway shot: Missed","130","71","2","0","86","2","","1610612760","202331","0","0","","1610612760"
"8","13","11:04","[OKC] Roberson Rebound (Off:1 Def:0)","130","71","1","0","0","4","","1610612760","203460","0","0","","1610612760"
"9","14","11:04","[OKC 2-0] Roberson Tip Layup Shot: Made (2 PTS)","4","3","2","0","97","1","","1610612760","203460","0","2","","1610612760"
"10","15","10:53","[MIN 2-2] Towns Dunk Shot: Made (2 PTS) Assist: Butler (1 AST)","-11","3","2","0","7","1","","1610612750","1626157","2","2","202710","1610612750"
"11","17","10:34","[OKC 4-2] George Jump Shot: Made (2 PTS)","-177","53","2","0","1","1","","1610612760","202331","2","4","","1610612760"
"12","18","10:10","[MIN 5-4] Wiggins 3pt Shot: Made (3 PTS) Assist: Gibson (1 AST)","-189","161","3","0","1","1","","1610612750","203952","5","4","201959","1610612750"
"13","20","09:57","[OKC] Westbrook Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","38","276","0","0","45","5","","1610612760","201566","5","4","","1610612760"
"14","21","09:41","[MIN] Teague Turnover : Lost Ball (1 TO) Steal:Westbrook (1 ST)","-146","118","1","0","2","5","201566","1610612750","201952","5","4","","1610612750"
"15","23","09:37","[OKC 6-5] Anthony Layup Shot: Made (2 PTS) Assist: Westbrook (1 AST)","5","14","2","1","5","1","","1610612760","2546","5","6","201566","1610612760"
"16","25","09:30","[MIN] Gibson Turnover : Lost Ball (1 TO) Steal:Anthony (1 ST)","88","70","1","0","2","5","2546","1610612750","201959","5","6","","1610612750"
"17","27","09:24","[OKC] Anthony 3pt Shot: Missed","-127","234","3","0","1","2","","1610612760","2546","5","6","","1610612760"
"18","28","09:22","[MIN] Team Rebound","127","602","0","0","0","4","","1610612750","0","5","6","","1610612760"
"19","29","09:22","[OKC] Roberson Foul: Loose Ball (1 PF) (K Mauer)","-51","183","0","0","3","6","202710","1610612760","203460","5","6","","1610612750"
"20","31","09:08","[MIN] Towns 3pt Shot: Missed","-226","5","3","0","1","2","","1610612750","1626157","5","6","","1610612750"
"21","32","09:08","[OKC] George Rebound (Off:0 Def:1)","226","830","0","0","0","4","","1610612760","202331","5","6","","1610612750"
"22","33","09:01","[OKC] Roberson Layup Shot: Missed","-25","-6","2","0","5","2","1626157","1610612760","203460","5","6","","1610612760"
"23","35","09:01","[MIN] Butler Rebound (Off:0 Def:1)","25","842","0","0","0","4","","1610612750","202710","5","6","","1610612760"
"24","36","08:48","[MIN] Gibson Layup Shot: Missed","107","2","2","0","5","2","203500","1610612750","201959","5","6","","1610612750"
"25","38","08:48","[MIN] Team Rebound","107","2","1","0","0","4","","1610612750","0","5","6","","1610612750"
"26","39","08:46","[MIN] Towns 3pt Shot: Missed","144","205","3","0","1","2","","1610612750","1626157","5","6","","1610612750"
"27","40","08:46","[MIN] Gibson Rebound (Off:1 Def:1)","144","205","1","0","0","4","","1610612750","201959","5","6","","1610612750"
"28","41","08:42","[MIN] Gibson Layup Shot: Missed","7","36","2","0","5","2","","1610612750","201959","5","6","","1610612750"
"29","42","08:42","[MIN] Towns Rebound (Off:1 Def:0)","7","36","1","0","0","4","","1610612750","1626157","5","6","","1610612750"
"30","43","08:38","[MIN] Towns Putback Layup Shot: Missed","-21","8","2","0","72","2","203460","1610612750","1626157","5","6","","1610612750"
"31","45","08:38","[MIN] Towns Rebound (Off:2 Def:0)","-21","8","1","0","0","4","","1610612750","1626157","5","6","","1610612750"
"32","46","08:37","[MIN] Towns Layup Shot: Missed","25","17","2","0","5","2","2546","1610612750","1626157","5","6","","1610612750"
"33","48","08:37","[MIN] Team Rebound","25","17","1","0","0","4","","1610612750","0","5","6","","1610612750"
"34","52","08:30","[MIN 7-6] Gibson Fadeaway Jump Shot: Made (2 PTS)","-56","34","2","0","63","1","","1610612750","201959","7","6","","1610612750"
"35","53","08:21","[OKC] Adams Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","27","274","0","0","45","5","","1610612760","203500","7","6","","1610612760"
"36","54","08:08","[MIN 9-6] Butler Alley Oop Dunk Shot: Made (2 PTS) Assist: Teague (1 AST)","7","15","2","0","52","1","","1610612750","202710","9","6","201952","1610612750"
"37","56","07:54","[OKC] Anthony 3pt Shot: Missed","107","232","3","0","1","2","","1610612760","2546","9","6","","1610612760"
"38","57","07:54","[OKC] Roberson Rebound (Off:2 Def:0)","107","232","1","0","0","4","","1610612760","203460","9","6","","1610612760"
"39","58","07:50","[OKC] Roberson Layup Shot: Missed","2","15","2","0","5","2","","1610612760","203460","9","6","","1610612760"
"40","59","07:50","[MIN] Towns Rebound (Off:2 Def:1)","-2","821","0","0","0","4","","1610612750","1626157","9","6","","1610612760"
