"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Gortat vs Gortat (Green gains possession)","0","-80","0","0","0","10","101162","1610612744","101162","0","0","203110","1610612744"
"3","7","11:43","[GSW 2-0] Durant Jump Shot: Made (2 PTS) Assist: Curry (1 AST)","-94","148","2","0","1","1","","1610612744","201142","2","0","201939","1610612744"
"4","9","11:29","[WAS 2-2] Beal Driving Floating Bank Jump Shot: Made (2 PTS)","-57","36","2","0","102","1","","1610612764","203078","2","2","","1610612764"
"5","11","11:13","[GSW 4-2] Thompson Cutting Layup Shot: Made (2 PTS) Assist: Green (1 AST)","-2","42","2","0","98","1","","1610612744","202691","4","2","203110","1610612744"
"6","14","10:54","[WAS 4-4] Gortat Jump Shot: Made (2 PTS)","-101","120","2","0","1","1","","1610612764","101162","4","4","","1610612764"
"7","15","10:49","[GSW] Pachulia Jump Shot: Missed","-89","145","2","1","1","2","","1610612744","2585","4","4","","1610612744"
"8","16","10:43","[WAS] Porter Jr. Rebound (Off:0 Def:1)","89","691","0","0","0","4","","1610612764","203490","4","4","","1610612744"
"9","17","10:41","[WAS] Porter Jr. 3pt Shot: Missed","106","243","3","0","1","2","203110","1610612764","203490","4","4","","1610612764"
"10","19","10:32","[WAS] Porter Jr. Rebound (Off:1 Def:1)","106","243","1","0","0","4","","1610612764","203490","4","4","","1610612764"
"11","20","10:31","[WAS 6-4] Porter Jr. Jump Shot: Made (2 PTS)","136","-16","2","0","1","1","","1610612764","203490","4","6","","1610612764"
"12","21","10:23","[GSW] Green Turnover : Bad Pass (1 TO) Steal:Oubre Jr. (1 ST)","-139","219","1","0","1","5","1626162","1610612744","203110","4","6","","1610612744"
"13","23","10:16","[WAS 8-4] Gortat Layup Shot: Made (4 PTS) Assist: Wall (1 AST)","5","14","2","0","5","1","","1610612764","101162","4","8","202322","1610612764"
"14","25","10:08","[GSW] Durant Turnover : Bad Pass (1 TO) Steal:Porter Jr. (1 ST)","-123","239","1","0","1","5","203490","1610612744","201142","4","8","","1610612744"
"15","27","10:02","[WAS] Beal 3pt Shot: Missed","234","28","3","1","1","2","","1610612764","203078","4","8","","1610612764"
"16","28","09:58","[GSW] Durant Rebound (Off:0 Def:1)","-234","808","0","0","0","4","","1610612744","201142","4","8","","1610612764"
"17","29","09:49","[GSW 6-8] Thompson Step Back Jump shot: Made (4 PTS) Assist: Durant (1 AST)","-34","120","2","0","80","1","","1610612744","202691","6","8","201142","1610612744"
"18","31","09:34","[WAS] Gortat Cutting Layup Shot: Missed","14","25","2","0","98","2","","1610612764","101162","6","8","","1610612764"
"19","32","09:30","[GSW] Pachulia Rebound (Off:0 Def:1)","-14","810","0","0","0","4","","1610612744","2585","6","8","","1610612764"
"20","33","09:30","[GSW 8-8] Green Dunk Shot: Made (2 PTS)","2","10","2","1","7","1","","1610612744","203110","8","8","","1610612744"
"21","34","09:30","[WAS] Porter Jr. Foul: Shooting (1 PF) (1 FTA)","-2","826","0","0","2","6","203110","1610612764","203490","8","8","","1610612764"
"22","36","09:30","[GSW 9-8] Green Free Throw 1 of 1 (3 PTS)","0","-80","1","1","10","3","","1610612744","203110","9","8","","1610612744"
"23","37","09:18","[WAS] Beal Jump Shot: Missed","39","109","2","0","1","2","","1610612764","203078","9","8","","1610612764"
"24","38","09:14","[GSW] Pachulia Rebound (Off:0 Def:2)","-39","726","0","0","0","4","","1610612744","2585","9","8","","1610612764"
"25","39","09:10","[GSW] Green 3pt Shot: Missed","-7","274","3","0","1","2","","1610612744","203110","9","8","","1610612744"
"26","40","09:04","[WAS] Gortat Rebound (Off:0 Def:1)","7","561","0","0","0","4","","1610612764","101162","9","8","","1610612744"
"27","41","08:56","[WAS] Gortat Layup Shot: Missed","12","34","2","0","5","2","203110","1610612764","101162","9","8","","1610612764"
"28","43","08:51","[GSW] Pachulia Rebound (Off:0 Def:3)","-12","802","0","0","0","4","","1610612744","2585","9","8","","1610612764"
"29","44","08:48","[GSW] Durant Turnover : Lost Ball (2 TO) Steal:Oubre Jr. (2 ST)","-84","27","1","0","2","5","1626162","1610612744","201142","9","8","","1610612744"
"30","46","08:43","[WAS 11-9] Porter Jr. 3pt Shot: Made (5 PTS) Assist: Gortat (1 AST)","123","239","3","1","1","1","","1610612764","203490","9","11","101162","1610612764"
"31","48","08:27","[GSW 11-11] Pachulia Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Curry (2 AST)","4","16","2","0","99","1","","1610612744","2585","11","11","201939","1610612744"
"32","50","08:19","[WAS 14-11] Oubre Jr. 3pt Shot: Made (3 PTS) Assist: Wall (2 AST)","73","239","3","0","1","1","","1610612764","1626162","11","14","202322","1610612764"
"33","52","07:55","[GSW] Curry 3pt Shot: Missed","-226","126","3","0","1","2","","1610612744","201939","11","14","","1610612744"
"34","53","07:49","[WAS] Oubre Jr. Rebound (Off:0 Def:1)","226","709","0","0","0","4","","1610612764","1626162","11","14","","1610612744"
"35","54","07:41","[WAS 16-11] Gortat Finger Roll Layup Shot: Made (6 PTS) Assist: Wall (3 AST)","3","21","2","0","71","1","","1610612764","101162","11","16","202322","1610612764"
"36","56","07:31","[GSW] Green Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","-101","239","0","0","45","5","","1610612744","203110","11","16","","1610612744"
"37","57","07:18","[WAS] Wall Cutting Layup Shot: Missed","17","33","2","0","98","2","","1610612764","202322","11","16","","1610612764"
"38","59","07:14","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","11","16","","1610612744"
"39","58","07:13","[GSW] Curry Rebound (Off:0 Def:1)","-17","803","0","0","0","4","","1610612744","201939","11","16","","1610612764"
"40","60","07:13","[GSW] Pachulia Jump Shot: Missed","-103","146","2","0","1","2","","1610612744","2585","11","16","","1610612744"
"41","61","07:08","[WAS] Porter Jr. Rebound (Off:1 Def:2)","103","690","0","0","0","4","","1610612764","203490","11","16","","1610612744"
