"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:54","Jump Ball Davis vs Thompson (Cousins gains possession)","0","-80","0","0","0","10","202684","1610612740","203076","0","0","202326","1610612740"
"3","7","11:43","[NOP 2-0] Moore Layup Shot: Made (2 PTS) Assist: Cousins (1 AST)","-3","37","2","0","5","1","","1610612740","202734","2","0","202326","1610612740"
"4","9","11:21","[CLE 3-2] Love 3pt Shot: Made (3 PTS) Assist: James (1 AST)","-136","247","3","0","1","1","","1610612739","201567","2","3","2544","1610612739"
"5","11","11:09","[NOP] Cousins Jump Shot: Missed","24","187","2","0","1","2","","1610612740","202326","2","3","","1610612740"
"6","12","11:04","[CLE] Love Rebound (Off:0 Def:1)","-24","649","0","0","0","4","","1610612739","201567","2","3","","1610612740"
"7","13","10:54","[NOP] Holiday Foul: Shooting (1 PF) (2 FTA)","-49","808","0","0","2","6","2544","1610612740","201950","2","3","","1610612739"
"8","15","10:54","[CLE 4-2] James Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612739","2544","2","4","","1610612739"
"9","16","10:54","[CLE 5-2] James Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612739","2544","2","5","","1610612739"
"10","17","10:46","[NOP] Moore Turnover : Bad Pass (1 TO) Steal:Smith (1 ST)","-206","197","1","0","1","5","2747","1610612740","202734","2","5","","1610612740"
"11","19","10:44","[CLE] Smith Turnover : Traveling (1 TO)","-120","288","0","0","4","5","","1610612739","2747","2","5","","1610612739"
"12","20","10:32","[NOP 4-5] Davis Layup Shot: Made (2 PTS) Assist: Cousins (2 AST)","5","17","2","0","5","1","","1610612740","203076","4","5","202326","1610612740"
"13","22","10:10","[CLE 7-4] Shumpert Jump Shot: Made (2 PTS)","119","128","2","0","1","1","","1610612739","202697","4","7","","1610612739"
"14","23","09:52","[NOP 6-7] Holiday Layup Shot: Made (2 PTS) Assist: Cousins (3 AST)","41","4","2","0","5","1","","1610612740","201950","6","7","202326","1610612740"
