"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Adams vs Lopez (Westbrook gains possession)","0","-80","0","0","0","10","201577","1610612760","203500","0","0","201566","1610612760"
"3","7","11:48","[OKC 3-0] George 3pt Shot: Made (3 PTS) Assist: Adams (1 AST)","73","246","3","0","1","1","","1610612760","202331","0","3","203500","1610612760"
"4","9","11:28","[CHI] Holiday Turnover : Bad Pass (1 TO) Steal:Adams (1 ST)","131","213","1","0","1","5","203500","1610612741","203200","0","3","","1610612741"
"5","11","11:22","[OKC] George Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-22","64","0","0","45","5","","1610612760","202331","0","3","","1610612760"
"6","12","11:02","[CHI] Zipser Jump Shot: Missed","-179","-4","2","0","1","2","","1610612741","1627835","0","3","","1610612741"
"7","13","10:58","[CHI] Zipser Rebound (Off:1 Def:0)","-179","-4","1","0","0","4","","1610612741","1627835","0","3","","1610612741"
"8","14","10:56","[CHI] Zipser Turnover : Bad Pass (1 TO) Steal:George (1 ST)","-63","94","1","0","1","5","202331","1610612741","1627835","0","3","","1610612741"
"9","16","10:54","[OKC 5-0] Westbrook Jump Shot: Made (2 PTS)","82","99","2","0","1","1","","1610612760","201566","0","5","","1610612760"
"10","17","10:37","[CHI 3-5] Markkanen 3pt Shot: Made (3 PTS) Assist: Grant (1 AST)","84","235","3","0","1","1","","1610612741","1628374","3","5","1626170","1610612741"
"11","19","10:19","[OKC] George Jump Shot: Missed","-85","4","2","0","1","2","","1610612760","202331","3","5","","1610612760"
"12","20","10:14","[CHI] Grant Rebound (Off:0 Def:1)","85","832","0","0","0","4","","1610612741","1626170","3","5","","1610612760"
"13","21","10:06","[CHI] Holiday 3pt Shot: Missed","229","-4","3","0","1","2","","1610612741","203200","3","5","","1610612741"
"14","22","10:02","[OKC] Anthony Rebound (Off:0 Def:1)","-229","840","0","0","0","4","","1610612760","2546","3","5","","1610612741"
"15","23","09:57","[OKC 7-3] Anthony Jump Shot: Made (2 PTS)","123","179","2","0","1","1","","1610612760","2546","3","7","","1610612760"
"16","24","09:35","[CHI] Grant 3pt Shot: Missed","-150","188","3","0","1","2","","1610612741","1626170","3","7","","1610612741"
"17","25","09:31","[OKC] Westbrook Rebound (Off:0 Def:1)","150","647","0","0","0","4","","1610612760","201566","3","7","","1610612741"
"18","26","09:18","[OKC 10-3] George 3pt Shot: Made (6 PTS) Assist: Roberson (1 AST)","231","37","3","0","1","1","","1610612760","202331","3","10","203460","1610612760"
"19","28","08:59","[CHI] Lopez Jump Shot: Missed","141","57","2","0","1","2","","1610612741","201577","3","10","","1610612741"
"20","29","08:56","[OKC] Westbrook Rebound (Off:0 Def:2)","-141","778","0","0","0","4","","1610612760","201566","3","10","","1610612741"
"21","30","08:53","[OKC 12-3] Adams Hook Shot: Made (2 PTS) Assist: Westbrook (1 AST)","-8","61","2","1","3","1","","1610612760","203500","3","12","201566","1610612760"
"22","32","08:53","[CHI] Team Timeout : Regular","0","-80","0","0","1","9","","1610612741","1610612741","3","12","","1610612741"
"23","33","08:39","[CHI] Lopez Turnover : Bad Pass (1 TO) Steal:Westbrook (1 ST)","17","201","1","0","1","5","201566","1610612741","201577","3","12","","1610612741"
"24","35","08:23","[OKC] Anthony Jump Shot: Missed","117","52","2","0","1","2","","1610612760","2546","3","12","","1610612760"
"25","36","08:20","[OKC] Roberson Rebound (Off:1 Def:0)","117","52","1","0","0","4","","1610612760","203460","3","12","","1610612760"
