"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Embiid vs Noel (Saric gains possession)","0","-80","0","0","0","10","203457","1610612755","203954","0","0","203967","1610612755"
"3","7","11:46","[PHI 3-0] Saric 3pt Shot: Made (3 PTS) Assist: Simmons (1 AST)","29","243","3","0","1","1","","1610612755","203967","0","3","1627732","1610612755"
"4","9","11:32","[DAL] Smith Jr. Turnover : Lost Ball (1 TO) Steal:Simmons (1 ST)","88","163","1","0","2","5","1627732","1610612742","1628372","0","3","","1610612742"
"5","11","11:27","[PHI] Covington Turnover : Bad Pass (1 TO) Steal:Matthews (1 ST)","60","70","1","0","1","5","202083","1610612755","203496","0","3","","1610612755"
"6","13","11:14","[DAL] Barnes Jump Shot: Missed","139","148","2","0","1","2","","1610612742","203084","0","3","","1610612742"
"7","14","11:09","[PHI] Simmons Rebound (Off:0 Def:1)","-139","687","0","0","0","4","","1610612755","1627732","0","3","","1610612742"
"8","15","10:59","[DAL] Noel Foul: Personal (1 PF)","4","810","0","0","1","6","203954","1610612742","203457","0","3","","1610612755"
"9","17","10:53","[PHI] Saric 3pt Shot: Missed","-151","197","3","0","1","2","","1610612755","203967","0","3","","1610612755"
"10","18","10:50","[DAL] Noel Rebound (Off:0 Def:1)","151","639","0","0","0","4","","1610612742","203457","0","3","","1610612755"
"11","19","10:36","[DAL] Smith Jr. Pullup Jump shot: Missed","33","94","2","0","79","2","","1610612742","1628372","0","3","","1610612742"
"12","20","10:33","[DAL] Noel Rebound (Off:1 Def:1)","33","94","1","0","0","4","","1610612742","203457","0","3","","1610612742"
"13","21","10:30","[DAL 3-3] Matthews 3pt Shot: Made (3 PTS) Assist: Nowitzki (1 AST)","203","156","3","0","1","1","","1610612742","202083","3","3","1717","1610612742"
"14","23","10:20","[PHI 6-3] Covington 3pt Shot: Made (3 PTS) Assist: Embiid (1 AST)","-178","168","3","0","1","1","","1610612755","203496","3","6","203954","1610612755"
"15","26","10:07","[DAL] Barnes Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-217","351","0","0","45","5","","1610612742","203084","3","6","","1610612742"
"16","27","09:55","[PHI] Embiid Jump Shot: Missed","-190","97","2","0","1","2","","1610612755","203954","3","6","","1610612755"
"17","28","09:52","[DAL] Barnes Rebound (Off:0 Def:1)","190","739","0","0","0","4","","1610612742","203084","3","6","","1610612755"
"18","29","09:45","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","3","6","","1610612742"
"19","30","09:32","[DAL 6-6] Matthews 3pt Shot: Made (6 PTS) Assist: Smith Jr. (1 AST)","226","103","3","0","1","1","","1610612742","202083","6","6","1628372","1610612742"
"20","32","09:19","[PHI 8-6] Simmons Driving Reverse Layup Shot: Made (2 PTS) Assist: Saric (1 AST)","-2","8","2","0","73","1","","1610612755","1627732","6","8","203967","1610612755"
"21","34","09:07","[DAL 9-8] Smith Jr. 3pt Shot: Made (3 PTS)","78","248","3","0","1","1","","1610612742","1628372","9","8","","1610612742"
"22","35","08:49","[PHI 11-9] Embiid 3pt Shot: Made (3 PTS) Assist: Simmons (2 AST)","231","10","3","0","1","1","","1610612755","203954","9","11","1627732","1610612755"
"23","37","08:33","[DAL] Matthews 3pt Shot: Missed","226","61","3","0","1","2","","1610612742","202083","9","11","","1610612742"
"24","38","08:31","[PHI] Embiid Rebound (Off:0 Def:1)","-226","775","0","0","0","4","","1610612755","203954","9","11","","1610612742"
"25","39","08:22","[PHI] Embiid Driving Layup Shot: Missed","-13","5","2","0","6","2","","1610612755","203954","9","11","","1610612755"
"26","40","08:20","[PHI] Embiid Rebound (Off:1 Def:1)","-13","5","1","0","0","4","","1610612755","203954","9","11","","1610612755"
