"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Chandler vs Nurkic (Chriss gains possession)","0","-80","0","0","0","10","203994","1610612756","2199","0","0","1627737","1610612756"
"3","7","11:42","[PHX 2-0] Booker Pullup Jump shot: Made (2 PTS) Assist: Chandler (1 AST)","-1","137","2","0","79","1","","1610612756","1626164","0","2","2199","1610612756"
"4","9","11:23","[POR 2-2] McCollum Driving Floating Jump Shot: Made (2 PTS)","-53","19","2","0","101","1","","1610612757","203468","2","2","","1610612757"
"5","10","11:11","[PHX 5-2] Chriss 3pt Shot: Made (3 PTS) Assist: Booker (1 AST)","-148","203","3","0","1","1","","1610612756","1627737","2","5","1626164","1610612756"
"6","12","10:52","[POR 4-5] Harkless Reverse Layup Shot: Made (2 PTS) Assist: Nurkic (1 AST)","-3","13","2","0","44","1","","1610612757","203090","4","5","203994","1610612757"
"7","14","10:42","[PHX] Warren 3pt Shot: Missed","-225","-5","3","0","1","2","","1610612756","203933","4","5","","1610612756"
"8","15","10:42","[POR] Aminu Rebound (Off:0 Def:1)","225","840","0","0","0","4","","1610612757","202329","4","5","","1610612756"
"9","16","10:30","[POR 6-5] Aminu Cutting Dunk Shot: Made (2 PTS) Assist: Nurkic (2 AST)","-2","-1","2","0","108","1","","1610612757","202329","6","5","203994","1610612757"
"10","18","10:08","[PHX 7-6] Warren Driving Layup Shot: Made (2 PTS)","5","5","2","0","6","1","","1610612756","203933","6","7","","1610612756"
"11","19","09:51","[PHX] Chandler Foul: Shooting (1 PF) (2 FTA)","-11","818","0","0","2","6","203994","1610612756","2199","6","7","","1610612757"
"12","21","09:51","[POR 7-7] Nurkic Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612757","203994","7","7","","1610612757"
"13","22","09:51","[POR 8-7] Nurkic Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612757","203994","8","7","","1610612757"
"14","23","09:35","[PHX] Booker Driving Floating Bank Jump Shot: Missed","-77","95","2","0","102","2","","1610612756","1626164","8","7","","1610612756"
