"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Mozgov vs Millsap (Russell gains possession)","0","-80","0","0","0","10","200794","1610612751","202389","0","0","1626156","1610612751"
"3","7","11:43","[BKN] Russell Turnaround Fadeaway shot: Missed","111","4","2","0","86","2","","1610612751","1626156","0","0","","1610612751"
"4","8","11:40","[DEN] Jokic Rebound (Off:0 Def:1)","-111","832","0","0","0","4","","1610612743","203999","0","0","","1610612751"
"5","9","11:29","[DEN 2-0] Jokic Jump Shot: Made (2 PTS)","74","126","2","0","1","1","","1610612743","203999","0","2","","1610612743"
"6","10","11:22","[BKN] LeVert Running Layup Shot: Missed","-32","37","2","0","41","2","","1610612751","1627747","0","2","","1610612751"
"7","11","11:21","[BKN] Mozgov Rebound (Off:1 Def:0)","-32","37","1","0","0","4","","1610612751","202389","0","2","","1610612751"
"8","12","11:21","[DEN] Jokic Foul: Personal (1 PF) (R Garretson)","13","828","0","0","1","6","202389","1610612743","203999","0","2","","1610612751"
"9","14","11:15","[BKN] Russell 3pt Shot: Missed","-58","260","3","0","1","2","","1610612751","1626156","0","2","","1610612751"
"10","15","11:13","[DEN] Millsap Rebound (Off:0 Def:1)","58","576","0","0","0","4","","1610612743","200794","0","2","","1610612751"
"11","16","11:01","[DEN] Chandler Jump Shot: Missed","34","103","2","0","1","2","","1610612743","201163","0","2","","1610612743"
"12","17","10:58","[BKN] Mozgov Rebound (Off:1 Def:1)","-34","733","0","0","0","4","","1610612751","202389","0","2","","1610612743"
"13","18","10:49","[BKN] Mozgov Jump Shot: Missed","-114","84","2","0","1","2","","1610612751","202389","0","2","","1610612751"
"14","19","10:46","[DEN] Millsap Rebound (Off:0 Def:2)","114","751","0","0","0","4","","1610612743","200794","0","2","","1610612751"
"15","20","10:35","[DEN 4-0] Murray Finger Roll Layup Shot: Made (2 PTS)","5","30","2","0","71","1","","1610612743","1627750","0","4","","1610612743"
"16","21","10:14","[BKN] LeVert Jump Shot: Missed","128","12","2","0","1","2","","1610612751","1627747","0","4","","1610612751"
"17","22","10:08","[BKN] Hollis-Jefferson Rebound (Off:1 Def:0)","128","12","1","0","0","4","","1610612751","1626178","0","4","","1610612751"
"18","23","10:08","[BKN 2-4] Hollis-Jefferson Putback Layup Shot: Made (2 PTS)","-28","12","2","0","72","1","","1610612751","1626178","2","4","","1610612751"
"19","24","09:51","[DEN] Jokic Hook Shot: Missed","-54","21","2","0","3","2","","1610612743","203999","2","4","","1610612743"
"20","25","09:51","[BKN] LeVert Rebound (Off:0 Def:1)","54","814","0","0","0","4","","1610612751","1627747","2","4","","1610612743"
"21","26","09:43","[BKN] LeVert Pullup Jump shot: Missed","-52","213","2","0","79","2","","1610612751","1627747","2","4","","1610612751"
"22","27","09:40","[DEN] Millsap Rebound (Off:0 Def:3)","52","623","0","0","0","4","","1610612743","200794","2","4","","1610612751"
"23","28","09:28","[DEN] Millsap Driving Layup Shot: Missed","-43","31","2","0","6","2","1627747","1610612743","200794","2","4","","1610612743"
"24","30","09:26","[BKN] Mozgov Rebound (Off:1 Def:2)","43","804","0","0","0","4","","1610612751","202389","2","4","","1610612743"
"25","31","09:23","[BKN 4-4] LeVert Cutting Layup Shot: Made (2 PTS) Assist: Russell (1 AST)","35","9","2","0","98","1","","1610612751","1627747","4","4","1626156","1610612751"
"26","33","09:04","[DEN] Murray Reverse Layup Shot: Missed","-18","7","2","0","44","2","","1610612743","1627750","4","4","","1610612743"
"27","34","09:01","[BKN] Russell Rebound (Off:0 Def:1)","18","829","0","0","0","4","","1610612751","1626156","4","4","","1610612743"
"28","35","08:56","[BKN 6-4] Mozgov Cutting Dunk Shot: Made (2 PTS) Assist: Hollis-Jefferson (1 AST)","2","15","2","0","108","1","","1610612751","202389","6","4","1626178","1610612751"
"29","37","08:54","[DEN 6-6] Jokic Jump Shot: Made (4 PTS)","23","8","2","0","1","1","","1610612743","203999","6","6","","1610612743"
"30","39","08:54","[BKN] Russell Turnover : Bad Pass (1 TO) Steal:Chandler (1 ST)","-35","57","1","0","1","5","201163","1610612751","1626156","6","6","","1610612751"
"31","43","08:52","[DEN 9-6] Murray 3pt Shot: Made (5 PTS) Assist: Chandler (1 AST)","-225","10","3","0","1","1","","1610612743","1627750","6","9","201163","1610612743"
"32","45","08:37","[BKN 9-9] LeVert 3pt Shot: Made (5 PTS) Assist: Crabbe (1 AST)","136","237","3","0","1","1","","1610612751","1627747","9","9","203459","1610612751"
"33","47","08:25","[DEN 11-9] Harris Cutting Dunk Shot: Made (2 PTS) Assist: Jokic (1 AST)","0","15","2","0","108","1","","1610612743","203914","9","11","203999","1610612743"
