"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Dedmon vs Maker (Muscala gains possession)","0","-80","0","0","0","10","1627748","1610612737","203473","0","0","203488","1610612737"
"3","7","11:38","[ATL] Bazemore Pullup Jump shot: Missed","159","3","2","0","79","2","","1610612737","203145","0","0","","1610612737"
"4","8","11:35","[MIL] Maker Rebound (Off:0 Def:1)","-159","833","0","0","0","4","","1610612749","1627748","0","0","","1610612737"
"5","9","11:21","[MIL 2-0] Antetokounmpo Pullup Jump shot: Made (2 PTS) Assist: Middleton (1 AST)","141","156","2","0","79","1","","1610612749","203507","0","2","203114","1610612749"
"6","11","10:58","[ATL] Dedmon Turnover : Out of Bounds Lost Ball Turnover (1 TO)","132","-29","0","0","40","5","","1610612737","203473","0","2","","1610612737"
"7","12","10:53","[MIL 5-0] Antetokounmpo 3pt Shot: Made (5 PTS) Assist: Maker (1 AST)","133","218","3","0","79","1","","1610612749","203507","0","5","1627748","1610612749"
"8","14","10:41","[ATL 2-5] Prince Pullup Jump shot: Made (2 PTS) Assist: Schroder (1 AST)","-81","189","2","0","79","1","","1610612737","1627752","2","5","203471","1610612737"
"9","16","10:25","[MIL] Middleton Jump Shot: Missed","-185","22","2","0","1","2","","1610612749","203114","2","5","","1610612749"
"10","17","10:22","[ATL] Dedmon Rebound (Off:0 Def:1)","185","813","0","0","0","4","","1610612737","203473","2","5","","1610612749"
"11","18","10:17","[ATL] Schroder Driving Layup Shot: Missed","-15","5","2","0","6","2","","1610612737","203471","2","5","","1610612737"
"12","19","10:14","[MIL] Brogdon Rebound (Off:0 Def:1)","15","830","0","0","0","4","","1610612749","1627763","2","5","","1610612737"
"13","20","10:06","[MIL] Brogdon 3pt Shot: Missed","-52","257","3","0","1","2","","1610612749","1627763","2","5","","1610612749"
"14","21","10:02","[ATL] Dedmon Rebound (Off:0 Def:2)","52","579","0","0","0","4","","1610612737","203473","2","5","","1610612749"
"15","22","09:53","[MIL] Snell Foul: Personal (1 PF) (E Lewis)","129","615","0","0","1","6","203471","1610612749","203503","2","5","","1610612737"
"16","24","09:45","[ATL] Prince 3pt Shot: Missed","-225","28","3","0","1","2","","1610612737","1627752","2","5","","1610612737"
"17","25","09:42","[MIL] Maker Rebound (Off:0 Def:2)","225","808","0","0","0","4","","1610612749","1627748","2","5","","1610612737"
"18","26","09:36","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","5","","1610612749"
"19","27","09:23","[MIL 7-2] Antetokounmpo Layup Shot: Made (7 PTS)","-14","19","2","0","5","1","","1610612749","203507","2","7","","1610612749"
"20","28","09:10","[ATL] Bazemore Turnover : Bad Pass (1 TO) Steal:Middleton (1 ST)","-59","77","1","0","1","5","203114","1610612737","203145","2","7","","1610612737"
"21","30","09:06","[MIL] Middleton Running Layup Shot: Missed","-7","20","2","1","41","2","","1610612749","203114","2","7","","1610612749"
"22","31","09:00","[MIL] Antetokounmpo Rebound (Off:1 Def:0)","-7","20","1","0","0","4","","1610612749","203507","2","7","","1610612749"
"23","32","09:00","[MIL 9-2] Antetokounmpo Tip Layup Shot: Made (9 PTS)","0","-5","2","0","97","1","","1610612749","203507","2","9","","1610612749"
"24","33","08:51","[ATL] Schroder Turnover : Bad Pass (1 TO) Steal:Brogdon (1 ST)","-52","125","1","0","1","5","1627763","1610612737","203471","2","9","","1610612737"
"25","35","08:44","[MIL 12-2] Snell 3pt Shot: Made (3 PTS) Assist: Antetokounmpo (1 AST)","-101","222","3","1","79","1","","1610612749","203503","2","12","203507","1610612749"
"26","37","08:43","[ATL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612737","1610612737","2","12","","1610612737"
"27","38","08:28","[ATL 4-12] Schroder Driving Reverse Layup Shot: Made (2 PTS)","3","5","2","0","73","1","","1610612737","203471","4","12","","1610612737"
"28","39","08:08","[MIL] Middleton Turnaround Jump Shot: Missed","-2","121","2","0","47","2","203488","1610612749","203114","4","12","","1610612749"
"29","41","08:04","[ATL] Bazemore Rebound (Off:0 Def:1)","2","714","0","0","0","4","","1610612737","203145","4","12","","1610612749"
"30","42","08:00","[ATL] Prince Turnover : Bad Pass (1 TO) Steal:Middleton (2 ST)","79","129","1","0","1","5","203114","1610612737","1627752","4","12","","1610612737"
"31","44","07:55","[MIL 14-4] Antetokounmpo Running Finger Roll Layup Shot: Made (11 PTS) Assist: Middleton (2 AST)","-14","21","2","0","76","1","","1610612749","203507","4","14","203114","1610612749"
"32","46","07:43","[MIL] Brogdon Foul: Personal (1 PF) (E Lewis)","0","645","0","0","1","6","203471","1610612749","1627763","4","14","","1610612737"
"33","49","07:43","[MIL] Middleton Substitution replaced by Vaughn","0","-80","0","0","0","8","","1610612749","203114","4","14","1626173","1610612737"
"34","50","07:37","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","14","","1610612737"
"35","51","07:35","[ATL] Schroder Jump Shot: Missed","-173","70","2","0","1","2","","1610612737","203471","4","14","","1610612737"
"36","52","07:32","[MIL] Antetokounmpo Rebound (Off:1 Def:1)","173","766","0","0","0","4","","1610612749","203507","4","14","","1610612737"
"37","53","07:21","[MIL] Antetokounmpo 3pt Shot: Missed","-115","214","3","0","79","2","","1610612749","203507","4","14","","1610612749"
"38","54","07:18","[ATL] Schroder Rebound (Off:0 Def:1)","115","622","0","0","0","4","","1610612737","203471","4","14","","1610612749"
"39","55","07:12","[ATL] Bazemore Pullup Jump shot: Missed","-165","41","2","0","79","2","","1610612737","203145","4","14","","1610612737"
"40","56","07:09","[ATL] Team Rebound","-165","41","1","0","0","4","","1610612737","0","4","14","","1610612737"
"41","57","07:02","[ATL 7-14] Prince 3pt Shot: Made (5 PTS) Assist: Schroder (2 AST)","-231","8","3","0","1","1","","1610612737","1627752","7","14","203471","1610612737"
"42","59","06:43","[ATL] Dedmon Foul: Shooting (1 PF) (2 FTA) (E Lewis)","-67","750","0","0","2","6","203507","1610612737","203473","7","14","","1610612749"
"43","61","06:43","[MIL] Antetokounmpo Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612749","203507","7","14","","1610612749"
"44","62","06:43","[MIL] Team Rebound","0","-80","1","0","1","4","","1610612749","0","7","14","","1610612749"
"45","64","06:43","[ATL] Bazemore Substitution replaced by Belinelli","0","-80","0","0","0","8","","1610612737","203145","7","14","201158","1610612749"
"46","65","06:43","[MIL] Antetokounmpo Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612749","203507","7","14","","1610612749"
"47","66","06:41","[ATL] Dedmon Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612737","203473","7","14","","1610612749"
"48","67","06:29","[ATL 9-14] Muscala Jump Shot: Made (2 PTS) Assist: Schroder (3 AST)","68","143","2","0","1","1","","1610612737","203488","9","14","203471","1610612737"
"49","69","06:16","[MIL 16-9] Brogdon Driving Layup Shot: Made (2 PTS)","-9","24","2","1","6","1","","1610612749","1627763","9","16","","1610612749"
"50","71","06:03","[ATL] Muscala Driving Floating Jump Shot: Missed","2","52","2","0","101","2","","1610612737","203488","9","16","","1610612737"
"51","72","05:58","[MIL] Vaughn Rebound (Off:0 Def:1)","-2","783","0","0","0","4","","1610612749","1626173","9","16","","1610612737"
"52","73","05:55","[ATL] Belinelli Foul: Shooting (1 PF) (2 FTA) (S Wright)","22","806","0","0","2","6","1627763","1610612737","201158","9","16","","1610612749"
"53","75","05:55","[MIL 17-9] Brogdon Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612749","1627763","9","17","","1610612749"
"54","78","05:55","[ATL] Dedmon Substitution replaced by Collins","0","-80","0","0","0","8","","1610612737","203473","9","17","1628381","1610612749"
"55","79","05:55","[MIL] Maker Substitution replaced by Henson","0","-80","0","0","0","8","","1610612749","1627748","9","17","203089","1610612749"
"56","80","05:55","[MIL 18-9] Brogdon Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612749","1627763","9","18","","1610612749"
"57","81","05:42","[ATL 11-18] Collins Jump Shot: Made (2 PTS) Assist: Belinelli (1 AST)","100","126","2","0","1","1","","1610612737","1628381","11","18","201158","1610612737"
"58","83","05:18","[MIL] Antetokounmpo Driving Floating Bank Jump Shot: Missed","-77","120","2","0","102","2","","1610612749","203507","11","18","","1610612749"
"59","84","05:14","[ATL] Muscala Rebound (Off:0 Def:1)","77","716","0","0","0","4","","1610612737","203488","11","18","","1610612749"
"60","85","05:10","[ATL] Belinelli 3pt Shot: Missed","30","276","3","0","1","2","","1610612737","201158","11","18","","1610612737"
"61","86","05:10","[MIL] Henson Rebound (Off:0 Def:1)","-30","560","0","0","0","4","","1610612749","203089","11","18","","1610612737"
"62","87","05:00","[MIL 20-11] Antetokounmpo Driving Layup Shot: Made (13 PTS)","-9","33","2","0","6","1","","1610612749","203507","11","20","","1610612749"
"63","88","04:45","[ATL] Collins Reverse Layup Shot: Missed","22","14","2","0","44","2","","1610612737","1628381","11","20","","1610612737"
"64","89","04:42","[MIL] Henson Rebound (Off:0 Def:2)","-22","822","0","0","0","4","","1610612749","203089","11","20","","1610612737"
