"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Porzingis vs Thompson (Kanter gains possession)","0","-80","0","0","0","10","202684","1610612752","204001","0","0","202683","1610612752"
"3","7","11:47","[NYK] Kanter Turnover : 3 Second Violation (1 TO)","-3","10","0","0","8","5","","1610612752","202683","0","0","","1610612752"
"4","8","11:37","[CLE 2-0] Love Reverse Layup Shot: Made (2 PTS) Assist: James (1 AST)","3","12","2","0","44","1","","1610612739","201567","2","0","2544","1610612739"
"5","10","11:19","[NYK 2-2] Porzingis Jump Shot: Made (2 PTS) Assist: Jack (1 AST)","127","144","2","0","1","1","","1610612752","204001","2","2","101127","1610612752"
"6","12","11:02","[CLE] Love Pullup Jump shot: Missed","-81","100","2","0","79","2","","1610612739","201567","2","2","","1610612739"
"7","13","10:59","[NYK] Kanter Rebound (Off:0 Def:1)","81","735","0","0","0","4","","1610612752","202683","2","2","","1610612739"
"8","14","10:55","[NYK 4-2] Lee Driving Layup Shot: Made (2 PTS) Assist: Jack (2 AST)","27","18","2","1","6","1","","1610612752","201584","2","4","101127","1610612752"
"9","16","10:34","[CLE] Rose 3pt Shot: Missed","-114","225","3","0","1","2","","1610612739","201565","2","4","","1610612739"
"10","17","10:32","[NYK] Lee Rebound (Off:0 Def:1)","114","611","0","0","0","4","","1610612752","201584","2","4","","1610612739"
"11","18","10:16","[NYK] Jack 3pt Shot: Missed","213","166","3","0","1","2","","1610612752","101127","2","4","","1610612752"
"12","19","10:12","[CLE] Love Rebound (Off:0 Def:1)","-213","670","0","0","0","4","","1610612739","201567","2","4","","1610612752"
"13","20","10:07","[CLE] Rose Turnover : Lost Ball (1 TO) Steal:Jack (1 ST)","-25","30","1","0","2","5","101127","1610612739","201565","2","4","","1610612739"
"14","22","09:59","[NYK] Porzingis Jump Shot: Missed","161","104","2","0","1","2","","1610612752","204001","2","4","","1610612752"
"15","23","09:56","[CLE] James Rebound (Off:0 Def:1)","-161","731","0","0","0","4","","1610612739","2544","2","4","","1610612752"
"16","24","09:42","[NYK] Hardaway Jr. Foul: Personal (1 PF)","6","824","0","0","1","6","2544","1610612752","203501","2","4","","1610612739"
"17","26","09:35","[CLE] Love Foul: Offensive Charge (1 PF)","-99","142","0","0","26","6","204001","1610612739","201567","2","4","","1610612739"
"18","28","09:35","[CLE] Love Turnover : Offensive Foul Turnover (1 TO)","-99","142","0","0","37","5","","1610612739","201567","2","4","","1610612739"
"19","29","09:23","[NYK] Jack Turnover : Bad Pass (1 TO) Steal:Love (1 ST)","27","89","1","0","1","5","201567","1610612752","101127","2","4","","1610612752"
"20","31","09:11","[NYK] Jack Foul: Shooting (1 PF) (2 FTA)","-4","787","0","0","2","6","201565","1610612752","101127","2","4","","1610612739"
