"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Gortat vs Cauley-Stein (Porter Jr. gains possession)","0","-80","0","0","0","10","1626161","1610612764","101162","0","0","203490","1610612764"
"3","7","11:42","[WAS 3-0] Wall 3pt Shot: Made (3 PTS) Assist: Porter Jr. (1 AST)","226","43","3","0","1","1","","1610612764","202322","0","3","203490","1610612764"
"4","8","11:29","[SAC] Fox Turnover : Lost Ball (1 TO) Steal:Wall (1 ST)","17","93","1","0","2","5","202322","1610612758","1628368","0","3","","1610612758"
"5","11","11:24","[WAS 5-0] Wall Dunk Shot: Made (5 PTS)","-5","11","2","0","7","1","","1610612764","202322","0","5","","1610612764"
"6","12","10:58","[SAC] Fox 3pt Shot: Missed","-230","45","3","0","1","2","","1610612758","1628368","0","5","","1610612758"
"7","13","10:54","[WAS] Gortat Rebound (Off:0 Def:1)","230","791","0","0","0","4","","1610612764","101162","0","5","","1610612758"
"8","14","10:38","[WAS] Gortat Turnaround Fadeaway shot: Missed","-81","15","2","0","86","2","","1610612764","101162","0","5","","1610612764"
"9","15","10:36","[SAC] Labissiere Rebound (Off:0 Def:1)","81","821","0","0","0","4","","1610612758","1627746","0","5","","1610612764"
"10","16","10:34","[WAS] Gortat Foul: Personal (1 PF)","-65","680","0","0","1","6","1626161","1610612764","101162","0","5","","1610612758"
"11","18","10:21","[SAC] Cauley-Stein Step Back Jump shot: Missed","143","62","2","0","80","2","","1610612758","1626161","0","5","","1610612758"
"12","19","10:19","[WAS] Porter Jr. Rebound (Off:0 Def:1)","-143","773","0","0","0","4","","1610612764","203490","0","5","","1610612758"
"13","20","10:11","[WAS 7-0] Gortat Layup Shot: Made (2 PTS) Assist: Wall (1 AST)","13","1","2","0","5","1","","1610612764","101162","0","7","202322","1610612764"
"14","23","10:02","[WAS] Porter Jr. Violation:Kicked Ball","0","-80","0","0","5","7","","1610612764","203490","0","7","","1610612758"
"15","24","09:56","[SAC] Hield 3pt Shot: Missed","-60","251","3","0","1","2","","1610612758","1627741","0","7","","1610612758"
"16","25","09:52","[WAS] Gortat Rebound (Off:0 Def:2)","189","675","0","0","0","4","","1610612764","101162","0","7","","1610612758"
"17","26","09:44","[WAS] Beal Jump Shot: Missed","79","151","2","0","1","2","","1610612764","203078","0","7","","1610612764"
"18","27","09:38","[WAS] Gortat Rebound (Off:1 Def:2)","79","151","1","0","0","4","","1610612764","101162","0","7","","1610612764"
"19","28","09:35","[WAS] Wall Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-55","90","0","0","45","5","","1610612764","202322","0","7","","1610612764"
"20","29","09:30","[WAS] Beal Foul: Personal (1 PF)","158","647","0","0","1","6","1628368","1610612764","203078","0","7","","1610612758"
"21","31","09:20","[SAC] Bogdanovic Turnaround Jump Shot: Missed","2","39","2","0","47","2","","1610612758","203992","0","7","","1610612758"
"22","32","09:17","[WAS] Porter Jr. Rebound (Off:0 Def:2)","-2","797","0","0","0","4","","1610612764","203490","0","7","","1610612758"
"23","33","09:10","[WAS] Porter Jr. Fadeaway Jump Shot: Missed","161","1","2","0","63","2","","1610612764","203490","0","7","","1610612764"
"24","34","09:07","[SAC] Fox Rebound (Off:0 Def:1)","-161","834","0","0","0","4","","1610612758","1628368","0","7","","1610612764"
"25","35","09:00","[SAC] Hield 3pt Shot: Missed","168","192","3","0","1","2","","1610612758","1627741","0","7","","1610612758"
"26","36","08:54","[WAS] Porter Jr. Rebound (Off:0 Def:3)","-168","644","0","0","0","4","","1610612764","203490","0","7","","1610612758"
"27","37","08:45","[SAC] Bogdanovic Foul: Personal (1 PF)","16","754","0","0","1","6","101162","1610612758","203992","0","7","","1610612764"
"28","39","08:36","[WAS] Porter Jr. 3pt Shot: Missed","158","198","3","0","1","2","","1610612764","203490","0","7","","1610612764"
"29","40","08:33","[SAC] Hield Rebound (Off:0 Def:1)","-158","638","0","0","0","4","","1610612758","1627741","0","7","","1610612764"
"30","41","08:23","[SAC] Labissiere Turnaround Fadeaway shot: Missed","13","109","2","0","86","2","","1610612758","1627746","0","7","","1610612758"
"31","42","08:19","[WAS] Gortat Rebound (Off:1 Def:3)","-13","726","0","0","0","4","","1610612764","101162","0","7","","1610612758"
"32","43","08:15","[WAS] Wall Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","98","157","0","0","45","5","","1610612764","202322","0","7","","1610612764"
"33","44","08:02","[SAC] Fox Jump Shot: Missed","71","123","2","0","1","2","","1610612758","1628368","0","7","","1610612758"
"34","45","07:59","[SAC] Cauley-Stein Rebound (Off:1 Def:0)","71","123","1","0","0","4","","1610612758","1626161","0","7","","1610612758"
"35","46","07:58","[SAC] Cauley-Stein Layup Shot: Missed","-26","19","2","0","5","2","","1610612758","1626161","0","7","","1610612758"
"36","47","07:58","[WAS] Gortat Rebound (Off:1 Def:4)","26","817","0","0","0","4","","1610612764","101162","0","7","","1610612758"
"37","48","07:51","[WAS 10-0] Wall 3pt Shot: Made (8 PTS)","-32","258","3","0","1","1","","1610612764","202322","0","10","","1610612764"
"38","49","07:31","[SAC] Labissiere Turnaround Hook Shot: Missed","90","31","2","0","58","2","","1610612758","1627746","0","10","","1610612758"
"39","50","07:28","[WAS] Porter Jr. Rebound (Off:0 Def:4)","-90","804","0","0","0","4","","1610612764","203490","0","10","","1610612758"
"40","51","07:22","[WAS 13-0] Wall 3pt Shot: Made (11 PTS)","-25","257","3","0","1","1","","1610612764","202322","0","13","","1610612764"
"41","52","07:16","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","0","13","","1610612758"
"42","53","07:10","[SAC 2-13] Bogdanovic Jump Shot: Made (2 PTS) Assist: Fox (1 AST)","98","183","2","0","1","1","","1610612758","203992","2","13","1628368","1610612758"
"43","55","06:51","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","13","","1610612764"
"44","56","06:49","[WAS 16-2] Porter Jr. 3pt Shot: Made (3 PTS) Assist: Oubre Jr. (1 AST)","182","172","3","0","1","1","","1610612764","203490","2","16","1626162","1610612764"
"45","58","06:38","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","16","","1610612758"
"46","59","06:32","[SAC] Fox Driving Floating Jump Shot: Missed","12","73","2","0","101","2","","1610612758","1628368","2","16","","1610612758"
"47","60","06:27","[WAS] Porter Jr. Rebound (Off:0 Def:5)","-12","762","0","0","0","4","","1610612764","203490","2","16","","1610612758"
"48","61","06:12","[WAS] Gortat Turnaround Hook Shot: Missed","-40","89","2","0","58","2","","1610612764","101162","2","16","","1610612764"
"49","62","06:12","[SAC] Bogdanovic Rebound (Off:0 Def:1)","40","747","0","0","0","4","","1610612758","203992","2","16","","1610612764"
"50","63","06:04","[SAC] Hield Driving Reverse Layup Shot: Missed","18","17","2","0","73","2","","1610612758","1627741","2","16","","1610612758"
"51","64","06:01","[SAC] Cauley-Stein Rebound (Off:2 Def:0)","18","17","1","0","0","4","","1610612758","1626161","2","16","","1610612758"
"52","65","06:00","[SAC 4-16] Cauley-Stein Layup Shot: Made (2 PTS)","5","13","2","0","5","1","","1610612758","1626161","4","16","","1610612758"
"53","66","05:37","[WAS] Gortat Fadeaway Jump Shot: Missed","8","117","2","0","63","2","","1610612764","101162","4","16","","1610612764"
"54","67","05:35","[SAC] Bogdanovic Rebound (Off:0 Def:2)","-8","718","0","0","0","4","","1610612758","203992","4","16","","1610612764"
"55","68","05:21","[SAC] Cauley-Stein Reverse Layup Shot: Missed","-18","-1","2","0","44","2","","1610612758","1626161","4","16","","1610612758"
"56","69","05:21","[WAS] Beal Rebound (Off:0 Def:1)","18","836","0","0","0","4","","1610612764","203078","4","16","","1610612758"
"57","70","05:10","[WAS] Wall Fadeaway Jump Shot: Missed","84","9","2","0","63","2","","1610612764","202322","4","16","","1610612764"
"58","71","05:10","[WAS] Wall Rebound (Off:1 Def:0)","84","9","1","0","0","4","","1610612764","202322","4","16","","1610612764"
"59","72","05:04","[WAS 19-4] Porter Jr. 3pt Shot: Made (6 PTS) Assist: Wall (2 AST)","-169","185","3","0","1","1","","1610612764","203490","4","19","202322","1610612764"
"60","74","04:54","[SAC] Bogdanovic Turnover : Out of Bounds Lost Ball Turnover (1 TO)","174","134","0","0","40","5","","1610612758","203992","4","19","","1610612758"
"61","76","04:54","[SAC] Labissiere Substitution replaced by Carter","0","-80","0","0","0","8","","1610612758","1627746","4","19","1713","1610612764"
"62","77","04:44","[WAS 21-4] Porter Jr. Alley Oop Layup shot: Made (8 PTS) Assist: Wall (3 AST)","21","4","2","0","43","1","","1610612764","203490","4","21","202322","1610612764"
"63","79","04:43","[SAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612758","1610612758","4","21","","1610612758"
"64","81","04:43","[SAC] Cauley-Stein Substitution replaced by Koufos","0","-80","0","0","0","8","","1610612758","1626161","4","21","201585","1610612758"
"65","82","04:29","[SAC 6-21] Bogdanovic Pullup Jump shot: Made (4 PTS)","-22","183","2","0","79","1","","1610612758","203992","6","21","","1610612758"
"66","83","04:14","[WAS 23-6] Oubre Jr. Driving Layup Shot: Made (2 PTS) Assist: Gortat (1 AST)","-17","3","2","0","6","1","","1610612764","1626162","6","23","101162","1610612764"
"67","85","03:54","[SAC] Fox Floating Jump shot: Missed","-38","88","2","0","78","2","","1610612758","1628368","6","23","","1610612758"
"68","86","03:51","[WAS] Gortat Rebound (Off:1 Def:5)","38","747","0","0","0","4","","1610612764","101162","6","23","","1610612758"
"69","87","03:48","[SAC] Carter Foul: Shooting (1 PF) (2 FTA)","33","828","0","0","2","6","203490","1610612758","1713","6","23","","1610612764"
"70","89","03:48","[WAS] Porter Jr. Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612764","203490","6","23","","1610612764"
"71","90","03:48","[WAS] Team Rebound","0","-80","1","0","1","4","","1610612764","0","6","23","","1610612764"
"72","94","03:48","[SAC] Hield Substitution replaced by Temple","0","-80","0","0","0","8","","1610612758","1627741","6","23","202066","1610612764"
"73","95","03:48","[WAS] Oubre Jr. Substitution replaced by Mahinmi","0","-80","0","0","0","8","","1610612764","1626162","6","23","101133","1610612764"
"74","96","03:48","[WAS] Gortat Substitution replaced by Meeks","0","-80","0","0","0","8","","1610612764","101162","6","23","201975","1610612764"
"75","97","03:48","[WAS 24-6] Porter Jr. Free Throw 2 of 2 (9 PTS)","0","-80","1","0","12","3","","1610612764","203490","6","24","","1610612764"
"76","98","03:33","[SAC] Temple Turnover : Bad Pass (1 TO) Steal:Mahinmi (1 ST)","-54","144","1","0","1","5","101133","1610612758","202066","6","24","","1610612758"
"77","100","03:27","[WAS] Wall Turnover : Lost Ball (3 TO) Steal:Bogdanovic (1 ST)","5","96","1","0","2","5","203992","1610612764","202322","6","24","","1610612764"
"78","102","03:24","[SAC 9-24] Bogdanovic 3pt Shot: Made (7 PTS)","-174","180","3","0","1","1","","1610612758","203992","9","24","","1610612758"
