"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Porzingis vs Millsap (Kanter gains possession)","0","-80","0","0","0","10","200794","1610612752","204001","0","0","202683","1610612752"
"3","7","11:46","[NYK 2-0] Porzingis Jump Shot: Made (2 PTS) Assist: Kanter (1 AST)","13","155","2","0","1","1","","1610612752","204001","2","0","202683","1610612752"
"4","9","11:27","[NYK] Jack Foul: Personal (1 PF)","-47","23","0","0","1","6","201163","1610612752","101127","2","0","","1610612743"
"5","11","11:18","[DEN] Harris Jump Shot: Missed","17","151","2","0","1","2","","1610612743","203914","2","0","","1610612743"
"6","12","11:13","[DEN] Millsap Rebound (Off:1 Def:0)","17","151","1","0","0","4","","1610612743","200794","2","0","","1610612743"
"7","13","11:08","[DEN] Murray 3pt Shot: Missed","149","207","3","0","1","2","","1610612743","1627750","2","0","","1610612743"
"8","14","11:05","[NYK] Kanter Rebound (Off:0 Def:1)","149","207","0","0","0","4","","1610612752","202683","2","0","","1610612743"
"9","15","10:48","[NYK] Porzingis Jump Shot: Missed","64","155","2","0","1","2","","1610612752","204001","2","0","","1610612752"
"10","16","10:45","[DEN] Murray Rebound (Off:0 Def:1)","64","155","0","0","0","4","","1610612743","1627750","2","0","","1610612752"
"11","17","10:32","[DEN] Harris 3pt Shot: Missed","145","213","3","0","1","2","","1610612743","203914","2","0","","1610612743"
"12","18","10:28","[NYK] Jack Rebound (Off:0 Def:1)","145","213","0","0","0","4","","1610612752","101127","2","0","","1610612743"
"13","19","10:24","[NYK 4-0] Kanter Layup Shot: Made (2 PTS) Assist: Jack (1 AST)","-9","-2","2","0","5","1","","1610612752","202683","4","0","101127","1610612752"
"14","21","09:56","[DEN] Murray Turnover : Traveling (1 TO)","71","157","0","0","4","5","","1610612743","1627750","4","0","","1610612743"
"15","22","09:48","[DEN] Jokic Foul: Personal (1 PF)","-52","169","0","0","1","6","204001","1610612743","203999","4","0","","1610612752"
"16","24","09:32","[DEN] Millsap Foul: Shooting (1 PF) (2 FTA)","13","101","0","0","2","6","202683","1610612743","200794","4","0","","1610612752"
"17","26","09:32","[NYK 5-0] Kanter Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612752","202683","5","0","","1610612752"
"18","27","09:32","[NYK 6-0] Kanter Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612752","202683","6","0","","1610612752"
"19","28","09:19","[DEN] Jokic Jump Shot: Missed","-95","157","2","0","1","2","","1610612743","203999","6","0","","1610612743"
"20","29","09:17","[NYK] Team Rebound","-95","157","0","0","0","4","","1610612752","0","6","0","","1610612743"
"21","30","09:00","[NYK 9-0] Porzingis 3pt Shot: Made (5 PTS) Assist: Jack (2 AST)","-110","266","3","0","1","1","","1610612752","204001","9","0","101127","1610612752"
"22","32","08:44","[DEN 3-9] Jokic 3pt Shot: Made (3 PTS) Assist: Murray (1 AST)","235","8","3","0","1","1","","1610612743","203999","9","3","1627750","1610612743"
"23","34","08:29","[NYK 11-3] Porzingis Dunk Shot: Made (7 PTS) Assist: Kanter (2 AST)","-7","4","2","0","7","1","","1610612752","204001","11","3","202683","1610612752"
"24","36","08:29","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","1610612743","11","3","","1610612743"
"25","37","08:04","[DEN] Murray Driving Layup Shot: Missed","-9","20","2","0","6","2","","1610612743","1627750","11","3","","1610612743"
"26","38","08:02","[NYK] Porzingis Rebound (Off:0 Def:1)","-9","20","0","0","0","4","","1610612752","204001","11","3","","1610612743"
"27","39","07:50","[NYK 14-3] Porzingis 3pt Shot: Made (10 PTS) Assist: Lee (1 AST)","0","323","3","0","1","1","","1610612752","204001","14","3","201584","1610612752"
"28","41","07:33","[DEN 6-14] Harris 3pt Shot: Made (3 PTS) Assist: Millsap (1 AST)","-131","219","3","0","1","1","","1610612743","203914","14","6","200794","1610612743"
"29","43","07:15","[NYK] Porzingis Layup Shot: Missed","0","11","2","0","5","2","200794","1610612752","204001","14","6","","1610612752"
"30","45","07:12","[DEN] Jokic Rebound (Off:0 Def:1)","0","11","0","0","0","4","","1610612743","203999","14","6","","1610612752"
"31","46","07:07","[DEN 9-14] Millsap 3pt Shot: Made (3 PTS) Assist: Jokic (1 AST)","-108","233","3","0","1","1","","1610612743","200794","14","9","203999","1610612743"
"32","48","06:52","[NYK 17-9] Porzingis 3pt Shot: Made (13 PTS) Assist: Lee (2 AST)","131","226","3","0","1","1","","1610612752","204001","17","9","201584","1610612752"
"33","50","06:36","[DEN] Harris 3pt Shot: Missed","81","245","3","0","1","2","","1610612743","203914","17","9","","1610612743"
"34","51","06:34","[NYK] Kanter Rebound (Off:0 Def:2)","81","245","0","0","0","4","","1610612752","202683","17","9","","1610612743"
"35","52","06:23","[NYK 19-9] Jack Driving Floating Bank Jump Shot: Made (2 PTS)","-57","31","2","0","102","1","","1610612752","101127","19","9","","1610612752"
"36","53","06:10","[DEN] Chandler Fadeaway Jump Shot: Missed","-32","35","2","0","63","2","","1610612743","201163","19","9","","1610612743"
"37","54","06:06","[NYK] Jack Rebound (Off:0 Def:2)","-32","35","0","0","0","4","","1610612752","101127","19","9","","1610612743"
"38","55","06:04","[NYK 22-9] Lee 3pt Shot: Made (3 PTS) Assist: Jack (3 AST)","144","200","3","1","79","1","","1610612752","201584","22","9","101127","1610612752"
"39","57","06:02","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","1610612743","22","9","","1610612743"
"40","62","06:02","[DEN] Chandler Substitution replaced by Barton","0","-80","0","0","0","8","","1610612743","201163","22","9","203115","1610612743"
"41","63","06:02","[DEN] Jokic Substitution replaced by Plumlee","0","-80","0","0","0","8","","1610612743","203999","22","9","203486","1610612743"
"42","64","06:02","[DEN] Murray Substitution replaced by Mudiay","0","-80","0","0","0","8","","1610612743","1627750","22","9","1626144","1610612743"
"43","58","06:02","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","22","9","","1610612743"
"44","65","05:42","[DEN] Mudiay Turnover : Bad Pass (1 TO) Steal:Lee (1 ST)","215","50","1","0","1","5","201584","1610612743","1626144","22","9","","1610612743"
"45","67","05:37","[NYK] Porzingis Turnover : Out of Bounds Lost Ball Turnover (1 TO)","43","59","0","0","40","5","","1610612752","204001","22","9","","1610612752"
"46","68","05:22","[DEN] Millsap Turnaround Fadeaway shot: Missed","-21","73","2","0","86","2","","1610612743","200794","22","9","","1610612743"
"47","69","05:18","[NYK] Kanter Rebound (Off:0 Def:3)","-21","73","0","0","0","4","","1610612752","202683","22","9","","1610612743"
"48","70","05:00","[NYK 24-9] Kanter Hook Shot: Made (6 PTS)","-13","110","2","0","3","1","","1610612752","202683","24","9","","1610612752"
"49","71","04:50","[DEN 12-24] Mudiay 3pt Shot: Made (3 PTS) Assist: Barton (1 AST)","112","231","3","0","1","1","","1610612743","1626144","24","12","203115","1610612743"
"50","73","04:29","[NYK] Porzingis 3pt Shot: Missed","-103","274","3","0","1","2","","1610612752","204001","24","12","","1610612752"
"51","74","04:26","[DEN] Plumlee Rebound (Off:0 Def:1)","-103","274","0","0","0","4","","1610612743","203486","24","12","","1610612752"
"52","75","04:19","[DEN] Plumlee Turnover : Bad Pass (1 TO) Steal:Jack (1 ST)","-4","117","1","0","1","5","101127","1610612743","203486","24","12","","1610612743"
"53","77","04:10","[NYK 26-12] Kanter Hook Shot: Made (8 PTS) Assist: Jack (4 AST)","-3","50","2","0","3","1","","1610612752","202683","26","12","101127","1610612752"
"54","79","03:50","[DEN] Millsap Floating Jump shot: Missed","-79","5","2","0","78","2","","1610612743","200794","26","12","","1610612743"
"55","80","03:48","[NYK] Porzingis Rebound (Off:0 Def:2)","-79","5","0","0","0","4","","1610612752","204001","26","12","","1610612743"
"56","81","03:40","[NYK] Porzingis Driving Layup Shot: Missed","6","19","2","0","6","2","","1610612752","204001","26","12","","1610612752"
"57","82","03:38","[DEN] Millsap Rebound (Off:1 Def:1)","6","19","0","0","0","4","","1610612743","200794","26","12","","1610612752"
"58","83","03:33","[DEN] Harris 3pt Shot: Missed","-226","-8","3","0","1","2","","1610612743","203914","26","12","","1610612743"
"59","84","03:29","[DEN] Barton Rebound (Off:1 Def:0)","-226","-8","1","0","0","4","","1610612743","203115","26","12","","1610612743"
"60","85","03:29","[DEN 14-26] Barton Layup Shot: Made (2 PTS)","-8","13","2","0","5","1","","1610612743","203115","26","14","","1610612743"
"61","86","03:11","[NYK] Porzingis Turnaround Jump Shot: Missed","-67","155","2","0","47","2","","1610612752","204001","26","14","","1610612752"
"62","87","03:08","[DEN] Barton Rebound (Off:1 Def:1)","-67","155","0","0","0","4","","1610612743","203115","26","14","","1610612752"
"63","88","03:01","[DEN] Mudiay Driving Layup Shot: Missed","16","19","2","0","6","2","","1610612743","1626144","26","14","","1610612743"
"64","89","02:59","[NYK] Hardaway Jr. Rebound (Off:0 Def:1)","16","19","0","0","0","4","","1610612752","203501","26","14","","1610612743"
"65","90","02:45","[NYK 29-14] Lee 3pt Shot: Made (6 PTS) Assist: Jack (5 AST)","135","213","3","0","1","1","","1610612752","201584","29","14","101127","1610612752"
"66","92","02:33","[NYK] Kanter Foul: Personal (1 PF)","-51","-18","0","0","1","6","203115","1610612752","202683","29","14","","1610612743"
"67","99","02:33","[NYK] Porzingis Substitution replaced by Ntilikina","0","-80","0","0","0","8","","1610612752","204001","29","14","1628373","1610612743"
"68","100","02:33","[NYK] Jack Substitution replaced by Beasley","0","-80","0","0","0","8","","1610612752","101127","29","14","201563","1610612743"
"69","101","02:33","[NYK] Lee Substitution replaced by McDermott","0","-80","0","0","0","8","","1610612752","201584","29","14","203926","1610612743"
"70","102","02:33","[DEN] Millsap Substitution replaced by Arthur","0","-80","0","0","0","8","","1610612743","200794","29","14","201589","1610612743"
"71","103","02:33","[DEN] Harris Substitution replaced by Beasley","0","-80","0","0","0","8","","1610612743","203914","29","14","1627736","1610612743"
"72","104","02:27","[DEN] Plumlee Alley Oop Dunk Shot: Missed","-6","14","2","0","52","2","","1610612743","203486","29","14","","1610612743"
"73","105","02:20","[NYK] Beasley Rebound (Off:0 Def:1)","-6","14","0","0","0","4","","1610612752","201563","29","14","","1610612743"
"74","106","02:18","[NYK] Beasley Turnover : Bad Pass (1 TO) Steal:Barton (1 ST)","-6","775","1","0","1","5","203115","1610612752","201563","29","14","","1610612752"
"75","108","02:16","[DEN 16-29] Barton Layup Shot: Made (4 PTS)","5","5","2","0","5","1","","1610612743","203115","29","16","","1610612743"
