"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Jordan vs Pachulia (Rivers gains possession)","0","-80","0","0","0","10","2585","1610612746","201599","0","0","203085","1610612746"
"3","7","11:37","[LAC] Jordan Layup Shot: Missed","5","4","2","0","5","2","","1610612746","201599","0","0","","1610612746"
"4","8","11:34","[GSW] Green Rebound (Off:0 Def:1)","5","4","0","0","0","4","","1610612744","203110","0","0","","1610612746"
"5","9","11:31","[GSW] Thompson 3pt Shot: Missed","143","214","3","1","79","2","","1610612744","202691","0","0","","1610612744"
"6","10","11:31","[LAC] Beverley Rebound (Off:0 Def:1)","143","214","0","0","0","4","","1610612746","201976","0","0","","1610612744"
"7","11","11:13","[LAC 2-0] Jordan Cutting Dunk Shot: Made (2 PTS) Assist: Beverley (1 AST)","0","0","2","0","108","1","","1610612746","201599","2","0","201976","1610612746"
"8","13","10:47","[GSW] Thompson Fadeaway Jump Shot: Missed","62","26","2","0","63","2","","1610612744","202691","2","0","","1610612744"
"9","14","10:44","[LAC] Griffin Rebound (Off:0 Def:1)","62","26","0","0","0","4","","1610612746","201933","2","0","","1610612744"
"10","15","10:42","[LAC] Griffin Turnover : Bad Pass (1 TO) Steal:Curry (1 ST)","164","191","1","0","1","5","201939","1610612746","201933","2","0","","1610612746"
"11","17","10:36","[GSW] Curry 3pt Shot: Missed","-229","-7","3","0","1","2","","1610612744","201939","2","0","","1610612744"
"12","18","10:34","[LAC] Gallinari Rebound (Off:0 Def:1)","-229","-7","0","0","0","4","","1610612746","201568","2","0","","1610612744"
"13","19","10:31","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","0","","1610612746"
"14","20","10:24","[GSW] Pachulia Foul: Defense 3 Second (1 PF) (1 FTA) (J Goble)","0","-80","0","0","17","6","","1610612744","2585","2","0","","1610612746"
"15","21","10:24","[LAC 3-0] Gallinari Free Throw Technical (1 PTS)","0","-80","1","0","16","3","","1610612746","201568","3","0","","1610612746"
"16","22","10:08","[LAC] Beverley Turnaround Fadeaway shot: Missed","12","123","2","0","86","2","","1610612746","201976","3","0","","1610612746"
"17","23","10:05","[GSW] Green Rebound (Off:0 Def:2)","12","123","0","0","0","4","","1610612744","203110","3","0","","1610612746"
"18","24","09:58","[LAC] Jordan Foul: Shooting (1 PF) (2 FTA) (J Goble)","29","811","0","0","2","6","203110","1610612746","201599","3","0","","1610612744"
"19","26","09:58","[GSW] Green Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612744","203110","3","0","","1610612744"
"20","27","09:58","[GSW] Team Rebound","0","-80","1","0","1","4","","1610612744","0","3","0","","1610612744"
"21","28","09:58","[GSW 1-3] Green Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612744","203110","3","1","","1610612744"
"22","29","09:38","[LAC 5-1] Rivers Driving Layup Shot: Made (2 PTS)","6","31","2","0","6","1","","1610612746","203085","5","1","","1610612746"
"23","30","09:37","[GSW] Team Timeout : Regular","0","-80","0","0","1","9","","1610612744","1610612744","5","1","","1610612744"
"24","31","09:24","[GSW 3-5] Pachulia Floating Jump shot: Made (2 PTS) Assist: Thompson (1 AST)","41","125","2","0","78","1","","1610612744","2585","5","3","202691","1610612744"
"25","33","09:04","[LAC] Rivers 3pt Shot: Missed","-139","234","3","0","1","2","","1610612746","203085","5","3","","1610612746"
"26","34","09:01","[GSW] Green Rebound (Off:0 Def:3)","-139","234","0","0","0","4","","1610612744","203110","5","3","","1610612746"
"27","35","08:57","[GSW 6-5] Durant 3pt Shot: Made (3 PTS) Assist: Curry (1 AST)","-127","226","3","1","103","1","","1610612744","201142","5","6","201939","1610612744"
"28","37","08:44","[LAC] Beverley Driving Layup Shot: Missed","6","31","2","0","6","2","","1610612746","201976","5","6","","1610612746"
"29","38","08:44","[GSW] Durant Rebound (Off:0 Def:1)","6","31","0","0","0","4","","1610612744","201142","5","6","","1610612746"
"30","39","08:40","[LAC] Griffin Foul: Shooting (1 PF) (2 FTA) (M Kogut)","12","827","0","0","2","6","201939","1610612746","201933","5","6","","1610612744"
"31","41","08:40","[GSW 7-5] Curry Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612744","201939","5","7","","1610612744"
"32","42","08:40","[GSW 8-5] Curry Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612744","201939","5","8","","1610612744"
"33","43","08:19","[LAC 8-8] Beverley 3pt Shot: Made (3 PTS) Assist: Rivers (1 AST)","68","252","3","0","1","1","","1610612746","201976","8","8","203085","1610612746"
"34","45","08:01","[GSW] Green Jump Shot: Missed","150","75","2","0","1","2","","1610612744","203110","8","8","","1610612744"
"35","46","07:59","[LAC] Jordan Rebound (Off:0 Def:1)","150","75","0","0","0","4","","1610612746","201599","8","8","","1610612744"
"36","47","07:55","[LAC 10-8] Gallinari Cutting Layup Shot: Made (3 PTS) Assist: Griffin (1 AST)","3","25","2","1","98","1","","1610612746","201568","10","8","201933","1610612746"
"37","49","07:42","[GSW] Durant Pullup Jump shot: Missed","125","75","2","0","79","2","","1610612744","201142","10","8","","1610612744"
"38","51","07:41","[GSW] Thompson Foul: Personal (1 PF) (L Richardson)","109","792","0","0","1","6","203085","1610612744","202691","10","8","","1610612746"
"39","50","07:40","[LAC] Rivers Rebound (Off:0 Def:1)","125","75","0","0","0","4","","1610612746","203085","10","8","","1610612744"
"40","53","07:28","[LAC 13-8] Griffin 3pt Shot: Made (3 PTS)","-9","270","3","0","1","1","","1610612746","201933","13","8","","1610612746"
"41","54","07:08","[GSW 11-13] Curry 3pt Shot: Made (5 PTS) Assist: Thompson (2 AST)","-231","-25","3","0","1","1","","1610612744","201939","13","11","202691","1610612744"
"42","56","07:00","[GSW] Curry Foul: Personal (1 PF) (M Kogut)","152","210","0","0","1","6","201976","1610612744","201939","13","11","","1610612746"
"43","58","06:58","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","13","11","","1610612746"
"44","59","06:50","[GSW] Green Foul: Personal (1 PF) (M Kogut)","81","140","0","0","1","6","201933","1610612744","203110","13","11","","1610612746"
"45","61","06:44","[LAC] Rivers Step Back Jump shot: Missed","-71","154","2","0","80","2","","1610612746","203085","13","11","","1610612746"
"46","62","06:41","[LAC] Team Rebound","-71","154","1","0","0","4","","1610612746","0","13","11","","1610612746"
"47","63","06:35","[LAC] Gallinari 3pt Shot: Missed","36","251","3","0","1","2","","1610612746","201568","13","11","","1610612746"
"48","64","06:31","[GSW] Green Rebound (Off:0 Def:4)","36","251","0","0","0","4","","1610612744","203110","13","11","","1610612746"
"49","65","06:31","[LAC] Jordan Foul: Personal (2 PF) (L Richardson)","-3","223","0","0","1","6","2585","1610612746","201599","13","11","","1610612744"
"50","68","06:31","[LAC] Jordan Substitution replaced by Reed","0","-80","0","0","0","8","","1610612746","201599","13","11","203186","1610612744"
"51","69","06:31","[GSW] Pachulia Foul: Offensive Charge (2 PF)","60","126","0","0","26","6","203085","1610612744","2585","13","11","","1610612744"
"52","71","06:31","[GSW] Pachulia Turnover : Offensive Foul Turnover (1 TO)","60","126","0","0","37","5","","1610612744","2585","13","11","","1610612744"
"53","72","06:19","[LAC 16-11] Beverley 3pt Shot: Made (6 PTS)","-135","203","3","0","80","1","","1610612746","201976","16","11","","1610612746"
"54","73","06:01","[GSW 13-16] Thompson Turnaround Jump Shot: Made (2 PTS)","-168","63","2","0","47","1","","1610612744","202691","16","13","","1610612744"
"55","74","05:48","[LAC] Gallinari 3pt Shot: Missed","128","219","3","0","1","2","","1610612746","201568","16","13","","1610612746"
"56","75","05:46","[GSW] Pachulia Rebound (Off:0 Def:1)","128","219","0","0","0","4","","1610612744","2585","16","13","","1610612746"
"57","76","05:43","[GSW 16-16] Curry 3pt Shot: Made (8 PTS) Assist: Green (1 AST)","134","208","3","1","103","1","","1610612744","201939","16","16","203110","1610612744"
