"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:50","Jump Ball Towns vs Adebayo (Teague gains possession)","0","-80","0","0","0","10","1628389","1610612750","1626157","0","0","201952","1610612750"
"3","7","11:35","[MIN] Butler Pullup Jump shot: Missed","-159","-16","2","0","79","2","","1610612750","202710","0","0","","1610612750"
"4","8","11:30","[MIA] Adebayo Rebound (Off:0 Def:1)","-159","-16","0","0","0","4","","1610612748","1628389","0","0","","1610612750"
"5","9","11:11","[MIA] Richardson 3pt Shot: Missed","-237","18","3","0","1","2","","1610612748","1626196","0","0","","1610612748"
"6","10","11:08","[MIN] Teague Rebound (Off:0 Def:1)","-237","18","0","0","0","4","","1610612750","201952","0","0","","1610612748"
"7","11","11:00","[MIN] Teague Turnover : Bad Pass (1 TO) Steal:Richardson (1 ST)","-175","99","1","0","1","5","1626196","1610612750","201952","0","0","","1610612750"
"8","13","10:54","[MIA 2-0] Richardson Running Dunk Shot: Made (2 PTS)","13","29","2","1","50","1","","1610612748","1626196","2","0","","1610612748"
"9","14","10:39","[MIN] Towns Jump Shot: Missed","-165","63","2","0","1","2","","1610612750","1626157","2","0","","1610612750"
"10","15","10:35","[MIA] Johnson Rebound (Off:0 Def:1)","-165","63","0","0","0","4","","1610612748","201949","2","0","","1610612750"
"11","16","10:23","[MIA] Adebayo Hook Shot: Missed","24","49","2","0","3","2","","1610612748","1628389","2","0","","1610612748"
"12","17","10:18","[MIN] Towns Rebound (Off:0 Def:1)","24","49","0","0","0","4","","1610612750","1626157","2","0","","1610612748"
"13","18","10:13","[MIN] Butler Turnaround Jump Shot: Missed","117","88","2","0","47","2","","1610612750","202710","2","0","","1610612750"
"14","19","10:09","[MIA] Johnson Rebound (Off:0 Def:2)","117","88","0","0","0","4","","1610612748","201949","2","0","","1610612750"
"15","20","10:05","[MIA 4-0] Waiters Reverse Layup Shot: Made (2 PTS)","20","28","2","0","44","1","","1610612748","203079","4","0","","1610612748"
"16","21","09:49","[MIA] Adebayo Foul: Personal (1 PF)","22","104","0","0","1","6","1626157","1610612748","1628389","4","0","","1610612750"
"17","23","09:43","[MIN] Teague 3pt Shot: Missed","-179","184","3","0","1","2","","1610612750","201952","4","0","","1610612750"
"18","24","09:39","[MIA] Johnson Rebound (Off:0 Def:3)","-179","184","0","0","0","4","","1610612748","201949","4","0","","1610612750"
"19","25","09:34","[MIA 6-0] G Dragic Layup Shot: Made (2 PTS)","-8","12","2","1","5","1","","1610612748","201609","6","0","","1610612748"
"20","26","09:24","[MIA] G Dragic Foul: Shooting (1 PF) (2 FTA)","30","828","0","0","2","6","201952","1610612748","201609","6","0","","1610612750"
"21","28","09:24","[MIN 1-6] Teague Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612750","201952","6","1","","1610612750"
"22","29","09:24","[MIN 2-6] Teague Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612750","201952","6","2","","1610612750"
"23","30","09:16","[MIN] Towns Foul: Shooting (1 PF) (2 FTA)","33","21","0","0","2","6","201949","1610612750","1626157","6","2","","1610612748"
"24","32","09:16","[MIA] Johnson Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612748","201949","6","2","","1610612748"
"25","34","09:16","[MIA 7-2] Johnson Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612748","201949","7","2","","1610612748"
"26","35","09:08","[MIN] Wiggins Floating Jump shot: Missed","108","3","2","0","78","2","","1610612750","203952","7","2","","1610612750"
"27","36","09:03","[MIA] Johnson Rebound (Off:0 Def:4)","108","3","0","0","0","4","","1610612748","201949","7","2","","1610612750"
"28","37","08:58","[MIA 9-2] Waiters Pullup Jump shot: Made (4 PTS)","-63","199","2","0","79","1","","1610612748","203079","9","2","","1610612748"
"29","38","08:39","[MIN] Wiggins Jump Shot: Missed","-128","148","2","0","1","2","1626196","1610612750","203952","9","2","","1610612750"
"30","40","08:34","[MIA] G Dragic Rebound (Off:0 Def:1)","-128","148","0","0","0","4","","1610612748","201609","9","2","","1610612750"
"31","41","08:32","[MIA 11-2] G Dragic Floating Jump shot: Made (4 PTS)","3","42","2","1","78","1","","1610612748","201609","11","2","","1610612748"
"32","42","08:09","[MIN] Teague Driving Finger Roll Layup Shot: Missed","-19","33","2","0","75","2","","1610612750","201952","11","2","","1610612750"
"33","43","08:04","[MIA] Waiters Rebound (Off:0 Def:1)","-19","33","0","0","0","4","","1610612748","203079","11","2","","1610612750"
"34","44","07:58","[MIA] Richardson 3pt Shot: Missed","-228","9","3","0","1","2","","1610612748","1626196","11","2","","1610612748"
"35","45","07:56","[MIN] Wiggins Rebound (Off:0 Def:1)","-228","9","0","0","0","4","","1610612750","203952","11","2","","1610612748"
"36","46","07:52","[MIN] Teague Turnover : Bad Pass (2 TO) Steal:Johnson (1 ST)","114","151","1","0","1","5","201949","1610612750","201952","11","2","","1610612750"
"37","48","07:36","[MIA] Waiters Driving Layup Shot: Missed","22","26","2","0","6","2","","1610612748","203079","11","2","","1610612748"
"38","49","07:35","[MIA] Adebayo Rebound (Off:1 Def:1)","22","26","1","0","0","4","","1610612748","1628389","11","2","","1610612748"
