"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Embiid vs Capela (Simmons gains possession)","0","-80","0","0","0","10","203991","1610612755","203954","0","0","1627732","1610612755"
"3","7","11:50","[PHI 2-0] Simmons Driving Layup Shot: Made (2 PTS)","14","19","2","0","6","1","","1610612755","1627732","0","2","","1610612755"
"4","8","11:31","[HOU] Harden Step Back Jump shot: Missed","100","138","2","0","80","2","","1610612745","201935","0","2","","1610612745"
"5","9","11:29","[PHI] Covington Rebound (Off:0 Def:1)","100","138","0","0","0","4","","1610612755","203496","0","2","","1610612745"
"6","10","11:18","[PHI 4-0] Embiid Hook Shot: Made (2 PTS) Assist: Saric (1 AST)","-28","38","2","0","3","1","","1610612755","203954","0","4","203967","1610612755"
"7","12","11:00","[HOU] Harden Floating Jump shot: Missed","1","3","2","0","78","2","","1610612745","201935","0","4","","1610612745"
"8","13","10:58","[PHI] Embiid Rebound (Off:0 Def:1)","1","3","0","0","0","4","","1610612755","203954","0","4","","1610612745"
"9","14","10:54","[PHI 6-0] Simmons Driving Finger Roll Layup Shot: Made (4 PTS)","-3","34","2","1","75","1","","1610612755","1627732","0","6","","1610612755"
"10","15","10:35","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","6","","1610612745"
"11","16","10:29","[HOU 2-6] Harden Jump Shot: Made (2 PTS) Assist: Ariza (1 AST)","-150","51","2","0","1","1","","1610612745","201935","2","6","2772","1610612745"
"12","18","10:15","[PHI] Simmons Driving Layup Shot: Missed","3","93","2","0","6","2","","1610612755","1627732","2","6","","1610612755"
"13","19","10:12","[HOU] Capela Rebound (Off:0 Def:1)","3","93","0","0","0","4","","1610612745","203991","2","6","","1610612755"
"14","20","10:07","[HOU] Harden Turnover : Lost Ball (1 TO) Steal:Covington (1 ST)","11","73","1","0","2","5","203496","1610612745","201935","2","6","","1610612745"
"15","22","09:59","[PHI 8-2] Embiid Dunk Shot: Made (4 PTS) Assist: Simmons (1 AST)","3","1","2","0","7","1","","1610612755","203954","2","8","1627732","1610612755"
"16","24","09:47","[HOU] Harden Turnover : Bad Pass (2 TO) Steal:Covington (2 ST)","6","125","1","0","1","5","203496","1610612745","201935","2","8","","1610612745"
"17","26","09:47","[HOU] Gordon Foul: Personal (1 PF)","169","482","0","0","1","6","203496","1610612745","201569","2","8","","1610612755"
"18","28","09:36","[PHI] Bayless Turnover : Bad Pass (1 TO) Steal:Capela (1 ST)","-60","67","1","0","1","5","203991","1610612755","201573","2","8","","1610612755"
"19","30","09:34","[PHI] Simmons Foul: Personal (1 PF)","104","149","0","0","1","6","201935","1610612755","1627732","2","8","","1610612745"
"20","32","09:27","[HOU] Ariza 3pt Shot: Missed","-228","57","3","0","1","2","","1610612745","2772","2","8","","1610612745"
"21","33","09:24","[PHI] Simmons Rebound (Off:0 Def:1)","-228","57","0","0","0","4","","1610612755","1627732","2","8","","1610612745"
