"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Cauley-Stein vs Sabonis (G Hill gains possession)","0","-80","0","0","0","10","1627734","1610612758","1626161","0","0","201588","1610612758"
"3","7","11:43","[SAC] Bogdanovic 3pt Shot: Missed","-108","243","3","0","1","2","","1610612758","203992","0","0","","1610612758"
"4","8","11:40","[IND] Sabonis Rebound (Off:0 Def:1)","-108","243","0","0","0","4","","1610612754","1627734","0","0","","1610612758"
"5","9","11:24","[SAC] Randolph Foul: Defense 3 Second (1 PF) (1 FTA) (B Adams)","0","-80","0","0","17","6","","1610612758","2216","0","0","","1610612754"
"6","10","11:24","[IND 1-0] Collison Free Throw Technical (1 PTS)","0","-80","1","0","16","3","","1610612754","201954","1","0","","1610612754"
"7","11","11:15","[IND] Young 3pt Shot: Missed","-32","277","3","0","1","2","","1610612754","201152","1","0","","1610612754"
"8","12","11:11","[SAC] G Hill Rebound (Off:0 Def:1)","-32","277","0","0","0","4","","1610612758","201588","1","0","","1610612754"
"9","13","10:53","[SAC] G Hill Cutting Layup Shot: Missed","5","10","2","0","98","2","","1610612758","201588","1","0","","1610612758"
"10","15","10:50","[IND] Sabonis Rebound (Off:0 Def:2)","5","10","0","0","0","4","","1610612754","1627734","1","0","","1610612758"
"11","16","10:45","[SAC] Bogdanovic Foul: Shooting (1 PF) (2 FTA) (B Nansel)","52","797","0","0","2","6","201954","1610612758","203992","1","0","","1610612754"
"12","18","10:45","[IND 2-0] Collison Free Throw 1 of 2 (2 PTS)","0","-80","1","0","11","3","","1610612754","201954","2","0","","1610612754"
"13","19","10:45","[IND 3-0] Collison Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612754","201954","3","0","","1610612754"
"14","20","10:31","[SAC] Hield Pullup Jump shot: Missed","3","162","2","0","79","2","","1610612758","1627741","3","0","","1610612758"
"15","21","10:27","[IND] Sabonis Rebound (Off:0 Def:3)","3","162","0","0","0","4","","1610612754","1627734","3","0","","1610612758"
"16","22","10:15","[IND 5-0] Young Running Jump Shot: Made (2 PTS) Assist: Sabonis (1 AST)","25","47","2","0","2","1","","1610612754","201152","5","0","1627734","1610612754"
"17","24","09:51","[SAC] Cauley-Stein Turnover : Lost Ball (1 TO) Steal:Bogdanovic (1 ST)","-2","18","1","0","2","5","202711","1610612758","1626161","5","0","","1610612758"
"18","26","09:46","[IND 7-0] Young Cutting Finger Roll Layup Shot: Made (4 PTS) Assist: Bogdanovic (1 AST)","-1","12","2","1","99","1","","1610612754","201152","7","0","202711","1610612754"
"19","28","09:24","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","0","","1610612758"
"20","29","09:22","[SAC] Bogdanovic Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-232","23","0","0","45","5","","1610612758","203992","7","0","","1610612758"
"21","30","09:05","[IND] Bogdanovic Driving Layup Shot: Missed","-5","31","2","0","6","2","","1610612754","202711","7","0","","1610612754"
"22","31","09:03","[IND] Sabonis Rebound (Off:1 Def:3)","-5","31","1","0","0","4","","1610612754","1627734","7","0","","1610612754"
"23","32","09:03","[IND 9-0] Sabonis Putback Layup Shot: Made (2 PTS)","-5","-6","2","0","72","1","","1610612754","1627734","9","0","","1610612754"
"24","33","08:57","[SAC 2-9] Bogdanovic Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: G Hill (1 AST)","-3","20","2","1","99","1","","1610612758","203992","9","2","201588","1610612758"
"25","35","08:48","[SAC] Randolph Foul: Shooting (2 PF) (2 FTA) (B Adams)","-3","831","0","0","2","6","1627734","1610612758","2216","9","2","","1610612754"
"26","37","08:48","[IND 10-2] Sabonis Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612754","1627734","10","2","","1610612754"
"27","38","08:48","[IND 11-2] Sabonis Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612754","1627734","11","2","","1610612754"
"28","39","08:31","[SAC] Randolph Jump Shot: Missed","120","120","2","0","1","2","","1610612758","2216","11","2","","1610612758"
"29","40","08:29","[IND] Sabonis Rebound (Off:1 Def:4)","120","120","0","0","0","4","","1610612754","1627734","11","2","","1610612758"
"30","41","08:14","[IND] Young Driving Floating Bank Jump Shot: Missed","-7","10","2","0","102","2","","1610612754","201152","11","2","","1610612754"
"31","42","08:11","[SAC] Hield Rebound (Off:0 Def:1)","-7","10","0","0","0","4","","1610612758","1627741","11","2","","1610612754"
"32","43","07:55","[SAC] Randolph 3pt Shot: Missed","-227","-6","3","0","1","2","","1610612758","2216","11","2","","1610612758"
"33","44","07:52","[IND] Sabonis Rebound (Off:1 Def:5)","-227","-6","0","0","0","4","","1610612754","1627734","11","2","","1610612758"
"34","45","07:49","[IND] Oladipo Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","93","483","0","0","45","5","","1610612754","203506","11","2","","1610612754"
"35","46","07:34","[SAC] Cauley-Stein Turnaround Jump Shot: Missed","-86","10","2","0","47","2","","1610612758","1626161","11","2","","1610612758"
"36","47","07:32","[SAC] Randolph Rebound (Off:1 Def:0)","-86","10","1","0","0","4","","1610612758","2216","11","2","","1610612758"
"37","48","07:31","[SAC 4-11] Randolph Reverse Layup Shot: Made (2 PTS)","2","14","2","0","44","1","","1610612758","2216","11","4","","1610612758"
"38","49","07:09","[IND 13-4] Sabonis Hook Shot: Made (6 PTS) Assist: Collison (1 AST)","-47","21","2","0","3","1","","1610612754","1627734","13","4","201954","1610612754"
"39","51","07:09","[SAC] Randolph Foul: Shooting (3 PF) (1 FTA) (P Fraher)","-45","17","0","0","2","6","1627734","1610612758","2216","13","4","","1610612758"
"40","53","07:09","[IND] Sabonis Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612754","1627734","13","4","","1610612754"
