"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:54","Jump Ball Dedmon vs Embiid (Muscala gains possession)","0","-80","0","0","0","10","203954","1610612737","203473","0","0","203488","1610612737"
"3","7","11:39","[ATL] Dedmon Hook Shot: Missed","7","46","2","0","3","2","","1610612737","203473","0","0","","1610612737"
"4","8","11:36","[PHI] Simmons Rebound (Off:0 Def:1)","7","46","0","0","0","4","","1610612755","1627732","0","0","","1610612737"
"5","9","11:20","[PHI] Saric Jump Shot: Missed","105","162","2","0","1","2","","1610612755","203967","0","0","","1610612755"
"6","10","11:17","[ATL] Bazemore Rebound (Off:0 Def:1)","105","162","0","0","0","4","","1610612737","203145","0","0","","1610612755"
"7","11","11:07","[ATL] Bazemore Turnover : Lost Ball (1 TO) Steal:Embiid (1 ST)","16","126","1","0","2","5","203954","1610612737","203145","0","0","","1610612737"
"8","13","10:51","[PHI 3-0] Covington 3pt Shot: Made (3 PTS) Assist: Embiid (1 AST)","105","247","3","0","1","1","","1610612755","203496","3","0","203954","1610612755"
"9","15","10:41","[PHI] Simmons Foul: Personal (1 PF)","51","57","0","0","1","6","203471","1610612755","1627732","3","0","","1610612737"
"10","17","10:28","[ATL] Muscala Cutting Layup Shot: Missed","16","9","2","0","98","2","","1610612737","203488","3","0","","1610612737"
"11","18","10:26","[PHI] Saric Rebound (Off:0 Def:1)","16","9","0","0","0","4","","1610612755","203967","3","0","","1610612737"
"12","19","10:12","[ATL] Prince Foul: Personal (1 PF)","87","15","0","0","1","6","203954","1610612737","1627752","3","0","","1610612755"
"13","21","10:05","[PHI 5-0] Simmons Jump Shot: Made (2 PTS)","-62","150","2","0","1","1","","1610612755","1627732","5","0","","1610612755"
"14","22","09:54","[ATL 3-5] Bazemore 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST)","148","210","3","0","1","1","","1610612737","203145","5","3","203471","1610612737"
"15","24","09:44","[PHI 8-3] Embiid 3pt Shot: Made (3 PTS) Assist: Covington (1 AST)","0","256","3","0","1","1","","1610612755","203954","8","3","203496","1610612755"
