"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Jordan vs Barnes (Beverley gains possession)","0","-80","0","0","0","10","203084","1610612746","201599","0","0","201976","1610612746"
"3","7","11:43","[LAC] Griffin Turnover : Bad Pass (1 TO) Steal:Barnes (1 ST)","9","206","1","0","1","5","203084","1610612746","201933","0","0","","1610612746"
"4","9","11:31","[DAL 2-0] Nowitzki Jump Shot: Made (2 PTS) Assist: Harris (1 AST)","-133","36","2","0","1","1","","1610612742","1717","0","2","2734","1610612742"
"5","11","11:15","[LAC 2-2] Gallinari Jump Shot: Made (2 PTS) Assist: Griffin (1 AST)","-183","9","2","0","1","1","","1610612746","201568","2","2","201933","1610612746"
"6","13","11:02","[DAL 4-2] Harris Driving Floating Jump Shot: Made (2 PTS) Assist: Nowitzki (1 AST)","5","59","2","0","101","1","","1610612742","2734","2","4","1717","1610612742"
"7","15","10:56","[LAC] Beverley 3pt Shot: Missed","155","193","3","0","1","2","","1610612746","201976","2","4","","1610612746"
"8","16","10:56","[DAL] Nowitzki Rebound (Off:0 Def:1)","155","193","0","0","0","4","","1610612742","1717","2","4","","1610612746"
"9","17","10:49","[DAL] Nowitzki 3pt Shot: Missed","-8","262","3","0","1","2","","1610612742","1717","2","4","","1610612742"
"10","18","10:44","[LAC] Griffin Rebound (Off:0 Def:1)","-8","262","0","0","0","4","","1610612746","201933","2","4","","1610612742"
"11","19","10:42","[DAL] Barnes Violation:Kicked Ball (M McCutchen)","0","-80","0","0","5","7","","1610612742","203084","2","4","","1610612746"
"12","20","10:33","[LAC 5-4] Griffin 3pt Shot: Made (3 PTS)","8","257","3","0","1","1","","1610612746","201933","5","4","","1610612746"
"13","21","10:23","[DAL 6-5] Barnes Jump Shot: Made (2 PTS) Assist: Smith Jr. (1 AST)","-123","174","2","0","1","1","","1610612742","203084","5","6","1628372","1610612742"
"14","23","10:11","[LAC] Rivers 3pt Shot: Missed","-167","194","3","0","1","2","","1610612746","203085","5","6","","1610612746"
"15","24","10:09","[DAL] Smith Jr. Rebound (Off:0 Def:1)","-167","194","0","0","0","4","","1610612742","1628372","5","6","","1610612746"
"16","25","10:06","[LAC] Jordan Foul: Shooting (1 PF) (2 FTA) (M McCutchen)","12","832","0","0","2","6","1628372","1610612746","201599","5","6","","1610612742"
"17","27","10:06","[DAL] Smith Jr. Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612742","1628372","5","6","","1610612742"
"18","28","10:06","[DAL] Team Rebound","0","-80","1","0","1","4","","1610612742","0","5","6","","1610612742"
"19","29","10:06","[DAL 7-5] Smith Jr. Free Throw 2 of 2 (1 PTS)","0","-80","1","1","12","3","","1610612742","1628372","5","7","","1610612742"
"20","30","09:48","[LAC 7-7] Rivers Driving Layup Shot: Made (2 PTS)","8","10","2","0","6","1","","1610612746","203085","7","7","","1610612746"
"21","31","09:39","[DAL 9-7] Smith Jr. Driving Dunk Shot: Made (3 PTS)","-1","12","2","0","9","1","","1610612742","1628372","7","9","","1610612742"
"22","32","09:18","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","9","","1610612746"
"23","33","09:12","[LAC] Rivers 3pt Shot: Missed","-178","167","3","0","1","2","","1610612746","203085","7","9","","1610612746"
"24","34","09:08","[LAC] Jordan Rebound (Off:1 Def:0)","-178","167","1","0","0","4","","1610612746","201599","7","9","","1610612746"
"25","35","09:05","[LAC] Beverley 3pt Shot: Missed","-223","-13","3","0","1","2","","1610612746","201976","7","9","","1610612746"
"26","36","09:01","[DAL] Harris Rebound (Off:0 Def:1)","-223","-13","0","0","0","4","","1610612742","2734","7","9","","1610612746"
"27","37","08:52","[DAL 12-7] Smith Jr. 3pt Shot: Made (6 PTS)","-8","255","3","0","1","1","","1610612742","1628372","7","12","","1610612742"
"28","38","08:41","[LAC] Jordan Turnover : Offensive Goaltending (1 TO)","2","5","0","0","15","5","","1610612746","201599","7","12","","1610612746"
"29","39","08:28","[DAL] Harris Turnover : Bad Pass (1 TO) Steal:Jordan (1 ST)","138","79","1","0","1","5","201599","1610612742","2734","7","12","","1610612742"
"30","41","08:19","[LAC 10-12] Gallinari 3pt Shot: Made (5 PTS) Assist: Griffin (2 AST)","-176","173","3","0","1","1","","1610612746","201568","10","12","201933","1610612746"
"31","43","07:59","[DAL 15-10] Barnes 3pt Shot: Made (5 PTS) Assist: Matthews (1 AST)","-235","15","3","0","1","1","","1610612742","203084","10","15","202083","1610612742"
"32","45","07:46","[LAC] Griffin Turnover : Bad Pass (2 TO) Steal:Barnes (2 ST)","-73","129","1","0","1","5","203084","1610612746","201933","10","15","","1610612746"
"33","47","07:39","[DAL 18-10] Harris 3pt Shot: Made (5 PTS) Assist: Matthews (2 AST)","90","252","3","0","1","1","","1610612742","2734","10","18","202083","1610612742"
"34","49","07:37","[LAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612746","1610612746","10","18","","1610612746"
"35","50","07:26","[LAC 13-18] Beverley 3pt Shot: Made (3 PTS) Assist: Griffin (3 AST)","-230","-17","3","0","1","1","","1610612746","201976","13","18","201933","1610612746"
"36","52","07:08","[DAL 21-13] Smith Jr. 3pt Shot: Made (9 PTS) Assist: Nowitzki (2 AST)","160","205","3","0","1","1","","1610612742","1628372","13","21","1717","1610612742"
"37","54","07:00","[LAC] Griffin Jump Shot: Missed","-35","198","2","0","1","2","","1610612746","201933","13","21","","1610612746"
"38","55","06:55","[DAL] Nowitzki Rebound (Off:0 Def:2)","-35","198","0","0","0","4","","1610612742","1717","13","21","","1610612746"
"39","56","06:52","[DAL] Harris Running Layup Shot: Missed","-12","12","2","0","41","2","201599","1610612742","2734","13","21","","1610612742"
"40","58","06:49","[LAC] Gallinari Rebound (Off:0 Def:1)","-12","12","0","0","0","4","","1610612746","201568","13","21","","1610612742"
"41","59","06:29","[LAC] Gallinari Jump Shot: Missed","103","149","2","0","1","2","","1610612746","201568","13","21","","1610612746"
"42","60","06:27","[LAC] Jordan Rebound (Off:2 Def:0)","103","149","1","0","0","4","","1610612746","201599","13","21","","1610612746"
"43","61","06:21","[LAC 15-21] Rivers Driving Layup Shot: Made (4 PTS)","13","9","2","0","6","1","","1610612746","203085","15","21","","1610612746"
"44","62","06:10","[DAL] Smith Jr. Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-152","122","0","0","45","5","","1610612742","1628372","15","21","","1610612742"
"45","65","06:10","[DAL] Nowitzki Substitution replaced by Ferrell","0","-80","0","0","0","8","","1610612742","1717","15","21","1627812","1610612746"
"46","66","06:10","[DAL] Harris Substitution replaced by Noel","0","-80","0","0","0","8","","1610612742","2734","15","21","203457","1610612746"
"47","67","06:01","[LAC 17-21] Griffin Driving Hook Shot: Made (5 PTS)","17","26","2","0","57","1","","1610612746","201933","17","21","","1610612746"
"48","68","05:49","[DAL] Barnes Jump Shot: Missed","192","27","2","0","1","2","","1610612742","203084","17","21","","1610612742"
"49","69","05:48","[DAL] Team Rebound","192","27","1","0","0","4","","1610612742","0","17","21","","1610612742"
"50","70","05:37","[DAL] Smith Jr. Layup Shot: Missed","-13","11","2","0","5","2","","1610612742","1628372","17","21","","1610612742"
"51","71","05:35","[LAC] Griffin Rebound (Off:0 Def:2)","-13","11","0","0","0","4","","1610612746","201933","17","21","","1610612742"
"52","73","05:30","[DAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612742","1610612742","19","21","","1610612742"
"53","75","05:30","[DAL] Smith Jr. Substitution replaced by Barea","0","-80","0","0","0","8","","1610612742","1628372","19","21","200826","1610612742"
"54","72","05:29","[LAC 19-21] Griffin Driving Hook Shot: Made (7 PTS)","11","0","2","0","57","1","","1610612746","201933","19","21","","1610612746"
"55","76","05:22","[LAC] Beverley Foul: Personal (1 PF) (D Guthrie)","-175","264","0","0","1","6","200826","1610612746","201976","19","21","","1610612742"
"56","78","05:22","[LAC] Beverley Technical (1 FTA) (D Guthrie)","0","-80","0","0","11","6","","1610612746","201976","19","21","","1610612742"
"57","79","05:22","[DAL 22-19] Matthews Free Throw Technical (1 PTS)","0","-80","1","0","16","3","","1610612742","202083","19","22","","1610612742"
"58","80","05:11","[DAL] Matthews 3pt Shot: Missed","67","247","3","0","1","2","","1610612742","202083","19","22","","1610612742"
"59","81","05:08","[LAC] Jordan Rebound (Off:2 Def:1)","67","247","0","0","0","4","","1610612746","201599","19","22","","1610612742"
"60","82","05:01","[DAL] Matthews Foul: Personal (1 PF) (M McCutchen)","71","-13","0","0","1","6","201568","1610612742","202083","19","22","","1610612746"
"61","84","04:56","[LAC 21-22] Rivers Driving Layup Shot: Made (6 PTS)","-4","8","2","0","6","1","","1610612746","203085","21","22","","1610612746"
"62","86","04:56","[DAL] Ferrell Foul: Shooting (1 PF) (1 FTA) (J Orr)","-5","-4","0","0","2","6","203085","1610612742","1627812","21","22","","1610612742"
"63","88","04:56","[LAC 22-22] Rivers Free Throw 1 of 1 (7 PTS)","0","-80","1","0","10","3","","1610612746","203085","22","22","","1610612746"
"64","89","04:43","[DAL 24-22] Noel Dunk Shot: Made (2 PTS) Assist: Matthews (3 AST)","-12","5","2","0","7","1","","1610612742","203457","22","24","202083","1610612742"
"65","91","04:30","[DAL] Barea Foul: Defense 3 Second (1 PF) (1 FTA) (J Orr)","0","-80","0","0","17","6","","1610612742","200826","22","24","","1610612746"
"66","92","04:30","[LAC 23-24] Gallinari Free Throw Technical (6 PTS)","0","-80","1","0","16","3","","1610612746","201568","23","24","","1610612746"
"67","95","04:30","[LAC] Gallinari Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612746","201568","23","24","202325","1610612746"
"68","96","04:30","[DAL] Matthews Substitution replaced by Kleber","0","-80","0","0","0","8","","1610612742","202083","23","24","1628467","1610612746"
"69","97","04:18","[LAC 25-24] Griffin Floating Jump shot: Made (9 PTS)","0","66","2","0","78","1","","1610612746","201933","25","24","","1610612746"
"70","98","03:54","[DAL] Ferrell Pullup Jump shot: Missed","114","-4","2","0","79","2","","1610612742","1627812","25","24","","1610612742"
"71","99","03:48","[DAL] Kleber Rebound (Off:1 Def:0)","114","-4","1","0","0","4","","1610612742","1628467","25","24","","1610612742"
"72","100","03:48","[DAL 26-25] Kleber Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612742","1628467","25","26","","1610612742"
"73","101","03:38","[DAL] Noel Foul: Personal (1 PF) (M McCutchen)","-8","9","0","0","1","6","201599","1610612742","203457","25","26","","1610612746"
"74","104","03:38","[LAC] Jordan Substitution replaced by Reed","0","-80","0","0","0","8","","1610612746","201599","25","26","203186","1610612746"
"75","105","03:26","[LAC] Rivers Turnover : Out of Bounds Lost Ball Turnover (1 TO)","20","14","0","0","40","5","","1610612746","203085","25","26","","1610612746"
"76","106","03:05","[DAL] Barea Fadeaway Jump Shot: Missed","-17","99","2","0","63","2","","1610612742","200826","25","26","","1610612742"
"77","107","03:00","[LAC] Reed Rebound (Off:0 Def:1)","-17","99","0","0","0","4","","1610612746","203186","25","26","","1610612742"
