"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:53","Jump Ball Porzingis vs Capela (Kanter gains possession)","0","-80","0","0","0","10","203991","1610612752","204001","0","0","202683","1610612752"
"3","7","11:39","[NYK] Porzingis Turnover : Out of Bounds Lost Ball Turnover (1 TO)","51","119","0","0","40","5","","1610612752","204001","0","0","","1610612752"
"4","8","11:21","[HOU 3-0] Ariza 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","221","46","3","0","1","1","","1610612745","2772","0","3","201935","1610612745"
"5","10","11:02","[NYK] Jack Jump Shot: Missed","-79","203","2","0","1","2","","1610612752","101127","0","3","","1610612752"
"6","11","11:00","[HOU] Ariza Rebound (Off:0 Def:1)","-79","203","0","0","0","4","","1610612745","2772","0","3","","1610612752"
"7","12","10:51","[HOU] Harden Driving Layup Shot: Missed","-9","10","2","0","6","2","","1610612745","201935","0","3","","1610612745"
"8","67","10:51","[HOU] Capela Tip Layup Shot: Missed","3","1","2","0","97","2","","1610612745","203991","0","3","","1610612745"
"9","68","10:51","[NYK] Lee Rebound (Off:0 Def:1)","3","1","0","0","0","4","","1610612752","201584","0","3","","1610612745"
"10","13","10:45","[HOU] Capela Rebound (Off:1 Def:0)","-9","10","1","0","0","4","","1610612745","203991","0","3","","1610612745"
"11","14","10:37","[NYK] Hardaway Jr. 3pt Shot: Missed","-155","222","3","0","1","2","","1610612752","203501","0","3","","1610612752"
"12","15","10:37","[HOU] Gordon Rebound (Off:0 Def:1)","-155","222","0","0","0","4","","1610612745","201569","0","3","","1610612752"
"13","16","10:25","[HOU] Gordon Layup Shot: Missed","7","20","2","0","5","2","204001","1610612745","201569","0","3","","1610612745"
"14","18","10:25","[HOU] Capela Rebound (Off:2 Def:0)","7","20","1","0","0","4","","1610612745","203991","0","3","","1610612745"
"15","19","10:20","[HOU] Capela Layup Shot: Missed","2","21","2","0","5","2","","1610612745","203991","0","3","","1610612745"
"16","20","10:20","[NYK] Jack Rebound (Off:0 Def:1)","2","21","0","0","0","4","","1610612752","101127","0","3","","1610612745"
"17","21","10:15","[NYK 2-3] Hardaway Jr. Driving Layup Shot: Made (2 PTS) Assist: Jack (1 AST)","-1","-1","2","0","6","1","","1610612752","203501","2","3","101127","1610612752"
"18","23","10:09","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Hardaway Jr. (1 ST)","153","136","1","0","1","5","203501","1610612745","201935","2","3","","1610612745"
"19","25","10:03","[NYK 5-3] Hardaway Jr. 3pt Shot: Made (5 PTS)","-122","230","3","0","79","1","","1610612752","203501","5","3","","1610612752"
"20","26","09:49","[HOU 5-5] Ariza Driving Floating Bank Jump Shot: Made (5 PTS)","22","47","2","0","102","1","","1610612745","2772","5","5","","1610612745"
"21","27","09:34","[NYK] Porzingis Fadeaway Jump Shot: Missed","-131","94","2","0","63","2","","1610612752","204001","5","5","","1610612752"
"22","28","09:29","[HOU] Capela Rebound (Off:2 Def:1)","-131","94","0","0","0","4","","1610612745","203991","5","5","","1610612752"
"23","29","09:24","[HOU] Anderson 3pt Shot: Missed","225","20","3","0","1","2","","1610612745","201583","5","5","","1610612745"
"24","30","09:20","[NYK] Kanter Rebound (Off:0 Def:1)","225","20","0","0","0","4","","1610612752","202683","5","5","","1610612745"
"25","31","09:17","[NYK 8-5] Lee 3pt Shot: Made (3 PTS)","109","224","3","0","79","1","","1610612752","201584","8","5","","1610612752"
"26","32","08:56","[HOU 8-8] Gordon 3pt Shot: Made (3 PTS) Assist: Harden (2 AST)","141","299","3","0","1","1","","1610612745","201569","8","8","201935","1610612745"
"27","34","08:35","[NYK] Porzingis Jump Shot: Missed","-65","37","2","0","1","2","","1610612752","204001","8","8","","1610612752"
"28","35","08:31","[HOU] Ariza Rebound (Off:0 Def:2)","-65","37","0","0","0","4","","1610612745","2772","8","8","","1610612752"
"29","36","08:24","[NYK] Kanter Foul: Shooting (1 PF) (2 FTA)","-39","791","0","0","2","6","201935","1610612752","202683","8","8","","1610612745"
"30","38","08:24","[HOU] Harden Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612745","201935","8","8","","1610612745"
"31","39","08:24","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","8","8","","1610612745"
"32","40","08:24","[HOU 9-8] Harden Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612745","201935","8","9","","1610612745"
"33","41","08:09","[NYK 10-9] Kanter Layup Shot: Made (2 PTS) Assist: Porzingis (1 AST)","4","8","2","0","5","1","","1610612752","202683","10","9","204001","1610612752"
"34","43","07:56","[HOU] Harden 3pt Shot: Missed","164","204","3","0","1","2","","1610612745","201935","10","9","","1610612745"
"35","44","07:56","[NYK] Lee Rebound (Off:0 Def:2)","164","204","0","0","0","4","","1610612752","201584","10","9","","1610612745"
"36","45","07:49","[NYK 12-9] Porzingis Turnaround Jump Shot: Made (2 PTS)","-19","110","2","0","47","1","","1610612752","204001","12","9","","1610612752"
