"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Henson vs Howard (Brogdon gains possession)","0","-80","0","0","0","10","2730","1610612749","203089","0","0","1627763","1610612749"
"3","7","11:40","[MIL] Antetokounmpo 3pt Shot: Missed","12","254","3","0","1","2","","1610612749","203507","0","0","","1610612749"
"4","8","11:36","[CHA] Kidd-Gilchrist Rebound (Off:0 Def:1)","12","254","0","0","0","4","","1610612766","203077","0","0","","1610612749"
"5","9","11:26","[CHA] Kidd-Gilchrist Jump Shot: Missed","73","179","2","0","1","2","","1610612766","203077","0","0","","1610612766"
"6","10","11:23","[MIL] Henson Rebound (Off:0 Def:1)","73","179","0","0","0","4","","1610612749","203089","0","0","","1610612766"
"7","11","11:17","[MIL 3-0] Brogdon 3pt Shot: Made (3 PTS) Assist: Middleton (1 AST)","229","39","3","1","1","1","","1610612749","1627763","0","3","203114","1610612749"
"8","13","10:55","[CHA] Lamb Jump Shot: Missed","89","8","2","0","1","2","203507","1610612766","203087","0","3","","1610612766"
"9","15","10:51","[MIL] Antetokounmpo Rebound (Off:0 Def:1)","89","8","0","0","0","4","","1610612749","203507","0","3","","1610612766"
"10","16","10:51","[MIL 5-0] Antetokounmpo Running Layup Shot: Made (2 PTS)","3","9","2","1","41","1","","1610612749","203507","0","5","","1610612749"
"11","17","10:51","[CHA] Kidd-Gilchrist Foul: Shooting (1 PF) (1 FTA)","3","9","0","0","2","6","203507","1610612766","203077","0","5","","1610612766"
"12","19","10:51","[MIL 6-0] Antetokounmpo Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612749","203507","0","6","","1610612749"
"13","20","10:40","[MIL] Middleton Foul: Defense 3 Second (1 PF) (1 FTA)","0","-80","0","0","17","6","","1610612749","203114","0","6","","1610612766"
"14","21","10:40","[CHA 1-6] Walker Free Throw Technical (1 PTS)","0","-80","1","0","16","3","","1610612766","202689","1","6","","1610612766"
"15","22","10:28","[CHA 3-6] Howard Driving Hook Shot: Made (2 PTS) Assist: Kidd-Gilchrist (1 AST)","6","30","2","0","57","1","","1610612766","2730","3","6","203077","1610612766"
"16","24","10:09","[MIL 8-3] Middleton Jump Shot: Made (2 PTS)","-44","117","2","0","1","1","","1610612749","203114","3","8","","1610612749"
"17","25","09:57","[MIL] Brogdon Foul: Personal (1 PF)","-7","47","0","0","1","6","2730","1610612749","1627763","3","8","","1610612766"
"18","27","09:49","[CHA] Williams 3pt Shot: Missed","-61","287","3","0","1","2","","1610612766","101107","3","8","","1610612766"
"19","28","09:45","[MIL] Henson Rebound (Off:0 Def:2)","-61","287","0","0","0","4","","1610612749","203089","3","8","","1610612766"
"20","29","09:33","[MIL 10-3] Antetokounmpo Jump Shot: Made (5 PTS) Assist: Henson (1 AST)","-111","143","2","0","1","1","","1610612749","203507","3","10","203089","1610612749"
"21","31","09:10","[CHA 5-10] Walker Driving Layup Shot: Made (3 PTS)","0","14","2","0","6","1","","1610612766","202689","5","10","","1610612766"
"22","32","09:10","[MIL] Antetokounmpo Violation:Defensive Goaltending","0","-80","0","0","2","7","","1610612749","203507","5","10","","1610612749"
"23","33","08:55","[MIL] Henson Turnover : Traveling (1 TO)","8","83","0","0","4","5","","1610612749","203089","5","10","","1610612749"
"24","34","08:39","[CHA 7-10] Howard Cutting Dunk Shot: Made (4 PTS) Assist: Walker (1 AST)","4","14","2","0","108","1","","1610612766","2730","7","10","202689","1610612766"
"25","36","08:25","[MIL] Middleton 3pt Shot: Missed","-105","226","3","0","1","2","","1610612749","203114","7","10","","1610612749"
"26","37","08:23","[MIL] Antetokounmpo Rebound (Off:1 Def:1)","-105","226","1","0","0","4","","1610612749","203507","7","10","","1610612749"
"27","38","08:21","[MIL 12-7] Antetokounmpo Dunk Shot: Made (7 PTS)","1","0","2","0","7","1","","1610612749","203507","7","12","","1610612749"
"28","39","08:05","[CHA 9-12] Lamb Pullup Jump shot: Made (2 PTS)","-78","209","2","0","79","1","","1610612766","203087","9","12","","1610612766"
