"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Towns vs Davis (Gibson gains possession)","0","-80","0","0","0","10","203076","1610612750","1626157","0","0","201959","1610612750"
"3","7","11:45","[MIN] Towns Hook Shot: Missed","5","75","2","0","3","2","203076","1610612750","1626157","0","0","","1610612750"
"4","9","11:40","[NOP] Davis Rebound (Off:0 Def:1)","5","75","0","0","0","4","","1610612740","203076","0","0","","1610612750"
"5","10","11:33","[NOP] Cousins Turnover : Lost Ball (1 TO) Steal:Gibson (1 ST)","-12","192","1","0","2","5","201959","1610612740","202326","0","0","","1610612740"
"6","12","11:28","[MIN 2-0] Butler Running Layup Shot: Made (2 PTS)","16","13","2","0","41","1","","1610612750","202710","0","2","","1610612750"
"7","13","11:24","[MIN] Towns Foul: Shooting (1 PF) (2 FTA)","1","817","0","0","2","6","202326","1610612750","1626157","0","2","","1610612740"
"8","15","11:24","[NOP 1-2] Cousins Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612740","202326","1","2","","1610612740"
"9","16","11:24","[NOP 2-2] Cousins Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612740","202326","2","2","","1610612740"
"10","17","11:03","[MIN 4-2] Gibson Jump Shot: Made (2 PTS) Assist: Butler (1 AST)","-120","31","2","0","1","1","","1610612750","201959","2","4","202710","1610612750"
"11","19","10:42","[NOP] Moore 3pt Shot: Missed","-155","210","3","0","1","2","","1610612740","202734","2","4","","1610612740"
"12","20","10:42","[MIN] Butler Rebound (Off:0 Def:1)","-155","210","0","0","0","4","","1610612750","202710","2","4","","1610612740"
"13","21","10:24","[MIN 6-2] Gibson Turnaround Fadeaway Bank Jump Shot: Made (4 PTS) Assist: Teague (1 AST)","-31","0","2","0","105","1","","1610612750","201959","2","6","201952","1610612750"
"14","22","10:07","[NOP] Cousins Turnaround Jump Shot: Missed","-115","148","2","0","47","2","","1610612740","202326","2","6","","1610612740"
"15","23","10:07","[MIN] Butler Rebound (Off:0 Def:2)","-115","148","0","0","0","4","","1610612750","202710","2","6","","1610612740"
"16","24","09:55","[MIN] Butler Jump Shot: Missed","138","-2","2","0","1","2","","1610612750","202710","2","6","","1610612750"
"17","25","09:55","[MIN] Gibson Rebound (Off:1 Def:0)","138","-2","1","0","0","4","","1610612750","201959","2","6","","1610612750"
"18","26","09:47","[MIN 8-2] Gibson Tip Layup Shot: Made (6 PTS)","0","-5","2","0","97","1","","1610612750","201959","2","8","","1610612750"
"19","27","09:32","[NOP] Moore Turnover : Bad Pass (1 TO) Steal:Butler (1 ST)","58","110","1","0","1","5","202710","1610612740","202734","2","8","","1610612740"
"20","29","09:26","[MIN] Towns Running Dunk Shot: Missed","0","21","2","0","50","2","","1610612750","1626157","2","8","","1610612750"
"21","30","09:19","[NOP] Davis Rebound (Off:0 Def:2)","0","21","0","0","0","4","","1610612740","203076","2","8","","1610612750"
"22","31","09:14","[NOP 4-8] Holiday Pullup Jump shot: Made (2 PTS)","-51","12","2","0","79","1","","1610612740","201950","4","8","","1610612740"
"23","32","09:10","[MIN 10-4] Butler Running Layup Shot: Made (4 PTS) Assist: Teague (2 AST)","-6","19","2","0","41","1","","1610612750","202710","4","10","201952","1610612750"
"24","33","09:10","[NOP] Cunningham Foul: Shooting (1 PF) (1 FTA)","-6","19","0","0","2","6","202710","1610612740","201967","4","10","","1610612740"
"25","35","09:10","[MIN 11-4] Butler Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612750","202710","4","11","","1610612750"
"26","36","09:01","[NOP 6-11] Cousins Turnaround Jump Shot: Made (4 PTS) Assist: Davis (1 AST)","-1","45","2","0","47","1","","1610612740","202326","6","11","203076","1610612740"
"27","38","08:49","[MIN] Wiggins Turnaround Jump Shot: Missed","-106","94","2","0","47","2","","1610612750","203952","6","11","","1610612750"
"28","39","08:49","[NOP] Cousins Rebound (Off:0 Def:1)","-106","94","0","0","0","4","","1610612740","202326","6","11","","1610612750"
"29","40","08:37","[NOP] Holiday Jump Shot: Missed","-139","6","2","0","1","2","","1610612740","201950","6","11","","1610612740"
"30","41","08:37","[NOP] Davis Rebound (Off:1 Def:2)","-139","6","1","0","0","4","","1610612740","203076","6","11","","1610612740"
"31","42","08:32","[NOP 8-11] Davis Hook Shot: Made (2 PTS)","4","108","2","0","3","1","","1610612740","203076","8","11","","1610612740"
"32","43","08:15","[MIN 13-8] Teague Driving Layup Shot: Made (2 PTS)","22","4","2","0","6","1","","1610612750","201952","8","13","","1610612750"
