"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Vucevic vs Gasol (Augustin gains possession)","0","-80","0","0","0","10","201188","1610612753","202696","0","0","201571","1610612753"
"3","7","11:41","[ORL 3-0] Fournier 3pt Shot: Made (3 PTS) Assist: Gordon (1 AST)","-174","176","3","0","1","1","","1610612753","203095","0","3","203932","1610612753"
"4","9","11:20","[MEM] Harrison Turnover : Bad Pass (1 TO) Steal:Vucevic (1 ST)","17","70","1","0","1","5","202696","1610612763","1626150","0","3","","1610612763"
"5","11","11:11","[ORL] Vucevic Hook Shot: Missed","-38","126","2","0","3","2","","1610612753","202696","0","3","","1610612753"
"6","12","11:08","[MEM] Ennis III Rebound (Off:0 Def:1)","-38","126","0","0","0","4","","1610612763","203516","0","3","","1610612753"
"7","13","11:04","[MEM 2-3] Harrison Running Layup Shot: Made (2 PTS) Assist: Chalmers (1 AST)","3","8","2","1","41","1","","1610612763","1626150","2","3","201596","1610612763"
"8","15","11:04","[ORL] Ross Foul: Shooting (1 PF)","3","8","0","0","2","6","1626150","1610612753","203082","2","3","","1610612753"
"9","26","11:04","[MEM 3-3] Harrison Free Throw 1 of 1 (3 PTS)","0","-80","1","1","10","3","","1610612763","1626150","3","3","","1610612763"
"10","18","10:48","[ORL 6-3] Fournier 3pt Shot: Made (6 PTS) Assist: Vucevic (1 AST)","152","221","3","0","1","1","","1610612753","203095","3","6","202696","1610612753"
"11","20","10:37","[MEM 5-6] Gasol Jump Shot: Made (2 PTS) Assist: Ennis III (1 AST)","88","125","2","0","1","1","","1610612763","201188","5","6","203516","1610612763"
"12","22","10:25","[ORL 9-5] Gordon 3pt Shot: Made (3 PTS) Assist: Vucevic (2 AST)","-228","8","3","0","1","1","","1610612753","203932","5","9","202696","1610612753"
"13","24","10:11","[MEM] Ennis III Jump Shot: Missed","29","113","2","0","1","2","","1610612763","203516","5","9","","1610612763"
"14","25","10:08","[ORL] Ross Rebound (Off:0 Def:1)","29","113","0","0","0","4","","1610612753","203082","5","9","","1610612763"
"15","27","10:00","[ORL 11-5] Augustin Driving Layup Shot: Made (2 PTS)","-14","57","2","0","6","1","","1610612753","201571","5","11","","1610612753"
"16","28","10:00","[MEM] Chalmers Foul: Shooting (1 PF) (1 FTA)","-14","57","0","0","2","6","201571","1610612763","201596","5","11","","1610612763"
"17","30","10:00","[ORL 12-5] Augustin Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612753","201571","5","12","","1610612753"
"18","31","09:51","[ORL] Fournier Foul: Personal (1 PF)","-68","120","0","0","1","6","201188","1610612753","203095","5","12","","1610612763"
"19","33","09:38","[MEM] Gasol Jump Shot: Missed","-48","154","2","0","1","2","","1610612763","201188","5","12","","1610612763"
"20","34","09:31","[MEM] Martin Rebound (Off:1 Def:0)","-48","154","1","0","0","4","","1610612763","1626185","5","12","","1610612763"
"21","35","09:31","[MEM] Martin Tip Dunk Shot: Missed","0","-5","2","0","107","2","","1610612763","1626185","5","12","","1610612763"
"22","36","09:31","[ORL] Gordon Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612753","203932","5","12","","1610612763"
"23","37","09:17","[MEM] Harrison Foul: Personal (1 PF)","14","24","0","0","1","6","203932","1610612763","1626150","5","12","","1610612753"
"24","39","09:04","[ORL] Ross 3pt Shot: Missed","47","251","3","0","1","2","","1610612753","203082","5","12","","1610612753"
"25","40","09:01","[ORL] Team Rebound","47","251","1","0","0","4","","1610612753","0","5","12","","1610612753"
"26","41","08:56","[ORL 14-5] Ross Driving Floating Bank Jump Shot: Made (2 PTS) Assist: Vucevic (3 AST)","8","101","2","0","102","1","","1610612753","203082","5","14","202696","1610612753"
"27","43","08:49","[MEM] Team Timeout : Regular","0","-80","0","0","1","9","","1610612763","1610612763","5","14","","1610612763"
"28","44","08:31","[MEM 7-14] Gasol Turnaround Fadeaway shot: Made (4 PTS)","-52","56","2","0","86","1","","1610612763","201188","7","14","","1610612763"
"29","45","08:17","[ORL] Fournier Pullup Jump shot: Missed","-60","155","2","0","79","2","","1610612753","203095","7","14","","1610612753"
"30","46","08:16","[MEM] Team Rebound","-60","155","0","0","0","4","","1610612763","0","7","14","","1610612753"
"31","47","08:05","[MEM] Ennis III 3pt Shot: Missed","-222","38","3","0","1","2","","1610612763","203516","7","14","","1610612763"
"32","48","08:01","[ORL] Gordon Rebound (Off:0 Def:2)","-222","38","0","0","0","4","","1610612753","203932","7","14","","1610612763"
"33","49","07:52","[ORL] Ross 3pt Shot: Missed","-154","204","3","0","1","2","","1610612753","203082","7","14","","1610612753"
"34","50","07:49","[ORL] Vucevic Rebound (Off:1 Def:0)","-154","204","1","0","0","4","","1610612753","202696","7","14","","1610612753"
"35","51","07:47","[ORL] Gordon 3pt Shot: Missed","22","257","3","0","1","2","","1610612753","203932","7","14","","1610612753"
"36","52","07:44","[MEM] Martin Rebound (Off:1 Def:1)","22","257","0","0","0","4","","1610612763","1626185","7","14","","1610612753"
