"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:55","Jump Ball Chandler vs Gortat (Chriss gains possession)","0","-80","0","0","0","10","101162","1610612756","2199","0","0","1627737","1610612756"
"3","7","11:42","[PHX] Chriss 3pt Shot: Missed","-225","-4","3","0","1","2","","1610612756","1627737","0","0","","1610612756"
"4","8","11:36","[PHX] Chandler Rebound (Off:1 Def:0)","-225","-4","1","0","0","4","","1610612756","2199","0","0","","1610612756"
"5","9","11:35","[PHX] Chandler Turnover : Lost Ball (1 TO) Steal:Wall (1 ST)","15","73","1","0","2","5","202322","1610612756","2199","0","0","","1610612756"
"6","11","11:32","[WAS 2-0] Oubre Jr. Layup Shot: Made (2 PTS) Assist: Wall (1 AST)","3","10","2","1","5","1","","1610612764","1626162","2","0","202322","1610612764"
"7","13","11:08","[PHX 2-2] Chriss Layup Shot: Made (2 PTS)","-18","8","2","0","5","1","","1610612756","1627737","2","2","","1610612756"
"8","14","10:53","[WAS 4-2] Beal Jump Shot: Made (2 PTS)","62","151","2","0","1","1","","1610612764","203078","4","2","","1610612764"
"9","15","10:29","[PHX] Booker 3pt Shot: Missed","-144","256","3","0","1","2","","1610612756","1626164","4","2","","1610612756"
"10","16","10:26","[WAS] Wall Rebound (Off:0 Def:1)","-144","256","0","0","0","4","","1610612764","202322","4","2","","1610612756"
"11","17","10:22","[WAS 6-2] Wall Driving Layup Shot: Made (2 PTS)","0","2","2","1","6","1","","1610612764","202322","6","2","","1610612764"
"12","18","10:13","[PHX] James Running Jump Shot: Missed","-30","39","2","0","2","2","","1610612756","1628455","6","2","","1610612756"
"13","19","10:09","[WAS] Wall Rebound (Off:0 Def:2)","-3","130","0","0","0","4","","1610612764","202322","6","2","","1610612756"
"14","20","10:07","[PHX] James Foul: Shooting (1 PF) (2 FTA)","-105","824","0","0","2","6","203078","1610612756","1628455","6","2","","1610612764"
"15","22","10:07","[WAS 7-2] Beal Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612764","203078","7","2","","1610612764"
"16","23","10:07","[WAS 8-2] Beal Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612764","203078","8","2","","1610612764"
"17","24","09:58","[PHX 4-8] Booker Pullup Jump shot: Made (2 PTS)","62","96","2","0","79","1","","1610612756","1626164","8","4","","1610612756"
"18","25","09:34","[WAS] Smith 3pt Shot: Missed","229","57","3","0","1","2","","1610612764","201160","8","4","","1610612764"
"19","26","09:33","[PHX] James Rebound (Off:0 Def:1)","229","57","0","0","0","4","","1610612756","1628455","8","4","","1610612764"
"20","28","09:33","[PHX] Chandler Foul: Personal (1 PF)","26","756","0","0","1","6","101162","1610612756","2199","8","4","","1610612756"
