"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Gobert vs Nurkic (Hood gains possession)","0","-80","0","0","0","10","203994","1610612762","203497","0","0","203918","1610612762"
"3","7","11:37","[UTA] Rubio Turnover : Bad Pass (1 TO) Steal:Nurkic (1 ST)","-116","-12","1","0","1","5","203994","1610612762","201937","0","0","","1610612762"
"4","9","11:28","[POR] Harkless Driving Dunk Shot: Missed","-17","31","2","0","9","2","","1610612757","203090","0","0","","1610612757"
"5","10","11:26","[UTA] Hood Rebound (Off:0 Def:1)","-17","31","0","0","0","4","","1610612762","203918","0","0","","1610612757"
"6","11","11:18","[UTA] Gobert Layup Shot: Missed","-10","13","2","0","5","2","203994","1610612762","203497","0","0","","1610612762"
"7","13","11:15","[POR] Nurkic Rebound (Off:0 Def:1)","-10","13","0","0","0","4","","1610612757","203994","0","0","","1610612762"
"8","14","11:08","[POR] McCollum Floating Jump shot: Missed","-5","90","2","0","78","2","","1610612757","203468","0","0","","1610612757"
"9","15","11:04","[UTA] Rubio Rebound (Off:0 Def:1)","-5","90","0","0","0","4","","1610612762","201937","0","0","","1610612757"
"10","16","10:57","[UTA] Gobert Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","14","94","0","0","45","5","","1610612762","203497","0","0","","1610612762"
"11","17","10:41","[POR 2-0] Nurkic Hook Shot: Made (2 PTS)","-16","59","2","0","3","1","","1610612757","203994","0","2","","1610612757"
"12","18","10:22","[UTA] Hood Pullup Jump shot: Missed","33","176","2","0","79","2","","1610612762","203918","0","2","","1610612762"
"13","19","10:18","[POR] McCollum Rebound (Off:0 Def:1)","33","176","0","0","0","4","","1610612757","203468","0","2","","1610612762"
"14","20","10:05","[POR 4-0] Nurkic Cutting Layup Shot: Made (4 PTS) Assist: McCollum (1 AST)","24","19","2","0","98","1","","1610612757","203994","0","4","203468","1610612757"
"15","22","09:49","[UTA] Rubio 3pt Shot: Missed","-158","189","3","0","1","2","","1610612762","201937","0","4","","1610612762"
"16","23","09:47","[POR] Nurkic Rebound (Off:0 Def:2)","-158","189","0","0","0","4","","1610612757","203994","0","4","","1610612762"
"17","24","09:38","[POR] McCollum 3pt Shot: Missed","44","246","3","0","1","2","204060","1610612757","203468","0","4","","1610612757"
"18","26","09:34","[UTA] Favors Rebound (Off:0 Def:1)","44","246","0","0","0","4","","1610612762","202324","0","4","","1610612757"
"19","27","09:22","[UTA] Ingles Turnover : Bad Pass (1 TO) Steal:Harkless (1 ST)","3","83","1","0","1","5","203090","1610612762","204060","0","4","","1610612762"
"20","29","09:02","[POR] Nurkic Floating Jump shot: Missed","54","8","2","0","78","2","","1610612757","203994","0","4","","1610612757"
"21","30","09:02","[POR] Nurkic Rebound (Off:1 Def:2)","54","8","1","0","0","4","","1610612757","203994","0","4","","1610612757"
"22","31","09:02","[POR 6-0] Nurkic Tip Layup Shot: Made (6 PTS)","0","-5","2","0","97","1","","1610612757","203994","0","6","","1610612757"
"23","32","09:02","[UTA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612762","1610612762","0","6","","1610612762"
"24","33","08:52","[UTA 3-6] Ingles 3pt Shot: Made (3 PTS) Assist: Hood (1 AST)","228","12","3","0","1","1","","1610612762","204060","3","6","203918","1610612762"
