"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Valanciunas vs Millsap (Ibaka gains possession)","0","-80","0","0","0","10","200794","1610612761","202685","0","0","201586","1610612761"
"3","7","11:43","[TOR] DeRozan Turnaround Jump Shot: Missed","-57","119","2","0","47","2","","1610612761","201942","0","0","","1610612761"
"4","8","11:43","[DEN] Team Rebound","-57","119","0","0","0","4","","1610612743","0","0","0","","1610612761"
"5","9","11:43","[TOR] Valanciunas Foul: Personal (1 PF)","47","21","0","0","1","6","203999","1610612761","202685","0","0","","1610612743"
"6","12","11:32","[DEN 2-0] Murray Driving Layup Shot: Made (2 PTS)","25","33","2","0","6","1","","1610612743","1627750","2","0","","1610612743"
"7","13","11:19","[TOR] Ibaka 3pt Shot: Missed","137","212","3","0","1","2","","1610612761","201586","2","0","","1610612761"
"8","14","11:18","[DEN] Team Rebound","137","212","0","0","0","4","","1610612743","0","2","0","","1610612761"
"9","15","10:59","[DEN 5-0] Millsap 3pt Shot: Made (3 PTS) Assist: Murray (1 AST)","-229","35","3","0","1","1","","1610612743","200794","5","0","1627750","1610612743"
"10","17","10:47","[TOR 2-5] Powell Driving Dunk Shot: Made (2 PTS)","11","31","2","0","9","1","","1610612761","1626181","5","2","","1610612761"
"11","18","10:24","[DEN 8-2] Millsap 3pt Shot: Made (6 PTS) Assist: Jokic (1 AST)","-63","253","3","0","1","1","","1610612743","200794","8","2","203999","1610612743"
"12","20","10:13","[TOR] Ibaka 3pt Shot: Missed","-2","270","3","0","1","2","","1610612761","201586","8","2","","1610612761"
"13","21","10:10","[DEN] Jokic Rebound (Off:0 Def:1)","-2","270","0","0","0","4","","1610612743","203999","8","2","","1610612761"
"14","22","10:04","[DEN 10-2] Millsap Running Jump Shot: Made (8 PTS)","60","78","2","0","2","1","","1610612743","200794","10","2","","1610612743"
"15","23","09:57","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761","1610612761","10","2","","1610612761"
"16","24","09:48","[TOR 4-10] Lowry Layup Shot: Made (2 PTS)","-9","19","2","0","5","1","","1610612761","200768","10","4","","1610612761"
"17","25","09:37","[TOR] Ibaka Foul: Shooting (1 PF) (3 FTA)","-3","577","0","0","2","6","200794","1610612761","201586","10","4","","1610612743"
"18","27","09:37","[DEN 11-4] Millsap Free Throw 1 of 3 (9 PTS)","0","-80","1","0","13","3","","1610612743","200794","11","4","","1610612743"
"19","28","09:37","[DEN 12-4] Millsap Free Throw 2 of 3 (10 PTS)","0","-80","1","0","14","3","","1610612743","200794","12","4","","1610612743"
"20","29","09:37","[DEN 13-4] Millsap Free Throw 3 of 3 (11 PTS)","0","-80","1","0","15","3","","1610612743","200794","13","4","","1610612743"
"21","30","09:16","[TOR] Powell Turnover : Bad Pass (1 TO)","16","70","0","0","1","5","","1610612761","1626181","13","4","","1610612761"
"22","31","09:05","[DEN 15-4] Millsap Fadeaway Jump Shot: Made (13 PTS)","68","153","2","0","63","1","","1610612743","200794","15","4","","1610612743"
"23","32","08:52","[TOR 6-15] Valanciunas Dunk Shot: Made (2 PTS) Assist: Lowry (1 AST)","5","29","2","0","7","1","","1610612761","202685","15","6","200768","1610612761"
