"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Gasol vs Pachulia (Aldridge gains possession)","0","-80","0","0","0","10","2585","1610612759","2200","0","0","200746","1610612759"
"3","7","11:39","[SAS 3-0] Aldridge 3pt Shot: Made (3 PTS) Assist: Green (1 AST)","140","220","3","0","1","1","","1610612759","200746","3","0","201980","1610612759"
"4","9","11:11","[GSW 2-3] Green Reverse Layup Shot: Made (2 PTS) Assist: Pachulia (1 AST)","-5","-7","2","0","44","1","","1610612744","203110","3","2","2585","1610612744"
"5","11","10:49","[SAS] Aldridge Jump Shot: Missed","-105","151","2","0","1","2","","1610612759","200746","3","2","","1610612759"
"6","12","10:45","[SAS] Anderson Rebound (Off:1 Def:0)","-105","151","1","0","0","4","","1610612759","203937","3","2","","1610612759"
"7","13","10:44","[SAS] Anderson Floating Jump shot: Missed","-7","83","2","0","78","2","","1610612759","203937","3","2","","1610612759"
"8","14","10:44","[SAS] Anderson Rebound (Off:2 Def:0)","-7","83","1","0","0","4","","1610612759","203937","3","2","","1610612759"
"9","15","10:39","[SAS 5-2] Anderson Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612759","203937","5","2","","1610612759"
"10","16","10:28","[GSW] Thompson Jump Shot: Missed","36","68","2","0","1","2","203937","1610612744","202691","5","2","","1610612744"
"11","17","10:28","[GSW] Team Rebound","36","68","1","0","0","4","","1610612744","0","5","2","","1610612744"
"12","18","10:21","[GSW 4-5] Pachulia Pullup Jump shot: Made (2 PTS) Assist: Thompson (1 AST)","70","82","2","0","79","1","","1610612744","2585","5","4","202691","1610612744"
"13","20","10:06","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","5","4","","1610612759"
"14","21","10:00","[SAS 8-4] Gasol 3pt Shot: Made (3 PTS) Assist: Aldridge (1 AST)","-229","-16","3","0","1","1","","1610612759","2200","8","4","200746","1610612759"
"15","23","09:43","[GSW] Durant 3pt Shot: Missed","219","136","3","0","1","2","","1610612744","201142","8","4","","1610612744"
"16","24","09:43","[SAS] Gasol Rebound (Off:0 Def:1)","219","136","0","0","0","4","","1610612759","2200","8","4","","1610612744"
"17","25","09:36","[SAS 10-4] Anderson Jump Bank Shot: Made (4 PTS) Assist: Mills (1 AST)","-101","30","2","1","66","1","","1610612759","203937","10","4","201988","1610612759"
"18","27","09:31","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","4","","1610612744"
"19","28","09:28","[GSW 6-10] Thompson Cutting Layup Shot: Made (2 PTS) Assist: Pachulia (2 AST)","-3","8","2","0","98","1","","1610612744","202691","10","6","2585","1610612744"
"20","30","09:11","[SAS] Aldridge 3pt Shot: Missed","-158","195","3","0","1","2","","1610612759","200746","10","6","","1610612759"
"21","31","09:09","[GSW] Team Rebound","-158","195","0","0","0","4","","1610612744","0","10","6","","1610612759"
"22","32","09:00","[GSW 9-10] Thompson 3pt Shot: Made (5 PTS) Assist: Green (1 AST)","-230","63","3","0","79","1","","1610612744","202691","10","9","203110","1610612744"
"23","34","08:41","[SAS 12-9] Aldridge Driving Layup Shot: Made (5 PTS)","11","8","2","0","6","1","","1610612759","200746","12","9","","1610612759"
"24","35","08:40","[GSW] Pachulia Turnover : Inbound Turnover (1 TO)","-5","54","0","0","12","5","","1610612744","2585","12","9","","1610612744"
"25","36","08:37","[SAS] Green Pullup Jump shot: Missed","-130","54","2","0","79","2","","1610612759","201980","12","9","","1610612759"
"26","37","08:35","[SAS] Mills Rebound (Off:1 Def:0)","-130","54","1","0","0","4","","1610612759","201988","12","9","","1610612759"
"27","38","08:31","[SAS 15-9] Aldridge 3pt Shot: Made (8 PTS) Assist: Anderson (1 AST)","-8","258","3","0","1","1","","1610612759","200746","15","9","203937","1610612759"
"28","40","08:18","[GSW] Curry 3pt Shot: Missed","218","120","3","0","79","2","","1610612744","201939","15","9","","1610612744"
"29","41","08:18","[SAS] Team Rebound","218","120","0","0","0","4","","1610612759","0","15","9","","1610612744"
"30","42","08:11","[GSW] Curry Foul: Personal (1 PF) (M Davis)","-5","22","0","0","1","6","201988","1610612744","201939","15","9","","1610612759"
"31","44","07:53","[SAS] Gasol 3pt Shot: Missed","-231","22","3","0","1","2","","1610612759","2200","15","9","","1610612759"
"32","45","07:50","[GSW] Pachulia Rebound (Off:0 Def:1)","-231","22","0","0","0","4","","1610612744","2585","15","9","","1610612759"
"33","46","07:49","[GSW] Green Foul: Offensive Charge (1 PF)","153","181","0","0","26","6","201980","1610612744","203110","15","9","","1610612744"
"34","48","07:49","[GSW] Green Turnover : Offensive Foul Turnover (1 TO)","153","181","0","0","37","5","","1610612744","203110","15","9","","1610612744"
"35","49","07:30","[SAS 17-9] Green Driving Dunk Shot: Made (2 PTS)","4","12","2","0","9","1","","1610612759","201980","17","9","","1610612759"
"36","50","07:29","[GSW] Team Timeout : Regular","0","-80","0","0","1","9","","1610612744","1610612744","17","9","","1610612744"
"37","51","07:13","[GSW] Pachulia Turnover : Bad Pass (2 TO) Steal:Mills (1 ST)","-21","145","1","0","1","5","201988","1610612744","2585","17","9","","1610612744"
"38","53","07:03","[SAS] Gasol Layup Shot: Missed","-1","21","2","0","5","2","201142","1610612759","2200","17","9","","1610612759"
"39","55","07:03","[GSW] Durant Rebound (Off:0 Def:1)","-1","21","0","0","0","4","","1610612744","201142","17","9","","1610612759"
"40","56","07:02","[SAS] Mills Foul: Personal (1 PF) (C Kirkland)","28","435","0","0","1","6","201142","1610612759","201988","17","9","","1610612744"
"41","58","06:44","[GSW 12-17] Thompson 3pt Shot: Made (8 PTS) Assist: Durant (1 AST)","-113","226","3","0","1","1","","1610612744","202691","17","12","201142","1610612744"
"42","60","06:27","[SAS 20-12] Mills 3pt Shot: Made (3 PTS) Assist: Gasol (1 AST)","-181","183","3","0","1","1","","1610612759","201988","20","12","2200","1610612759"
"43","62","06:13","[GSW] Thompson 3pt Shot: Missed","188","228","3","0","1","2","","1610612744","202691","20","12","","1610612744"
"44","63","06:10","[SAS] Gasol Rebound (Off:0 Def:2)","188","228","0","0","0","4","","1610612759","2200","20","12","","1610612744"
"45","64","05:58","[SAS] Aldridge Jump Shot: Missed","123","87","2","0","1","2","","1610612759","200746","20","12","","1610612759"
