"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Lopez vs Mozgov (Ball gains possession)","0","-80","0","0","0","10","202389","1610612747","201572","0","0","1628366","1610612747"
"3","7","11:52","[LAL] Ball 3pt Shot: Missed","-145","220","3","0","1","2","","1610612747","1628366","0","0","","1610612747"
"4","8","11:48","[BKN] LeVert Rebound (Off:0 Def:1)","-145","220","0","0","0","4","","1610612751","1627747","0","0","","1610612747"
"5","9","11:43","[BKN] LeVert Jump Shot: Missed","23","38","2","0","1","2","201572","1610612751","1627747","0","0","","1610612751"
"6","11","11:40","[LAL] Ball Rebound (Off:0 Def:1)","23","38","0","0","0","4","","1610612747","1628366","0","0","","1610612751"
"7","12","11:37","[LAL 2-0] Ball Driving Floating Jump Shot: Made (2 PTS)","2","80","2","1","101","1","","1610612747","1628366","2","0","","1610612747"
"8","13","11:22","[BKN] Russell 3pt Shot: Missed","-10","273","3","0","1","2","","1610612751","1626156","2","0","","1610612751"
"9","14","11:17","[LAL] Kuzma Rebound (Off:0 Def:1)","-10","273","0","0","0","4","","1610612747","1628398","2","0","","1610612751"
"10","15","11:10","[LAL 4-0] Kuzma Cutting Layup Shot: Made (2 PTS) Assist: Caldwell-Pope (1 AST)","-12","26","2","0","98","1","","1610612747","1628398","4","0","203484","1610612747"
"11","17","11:01","[BKN] Carroll 3pt Shot: Missed","-54","243","3","0","1","2","","1610612751","201960","4","0","","1610612751"
"12","18","10:59","[LAL] Caldwell-Pope Rebound (Off:0 Def:1)","-54","243","0","0","0","4","","1610612747","203484","4","0","","1610612751"
"13","19","10:48","[LAL] Kuzma 3pt Shot: Missed","223","127","3","0","1","2","","1610612747","1628398","4","0","","1610612747"
"14","20","10:45","[BKN] Carroll Rebound (Off:0 Def:1)","223","127","0","0","0","4","","1610612751","201960","4","0","","1610612747"
"15","21","10:30","[BKN 2-4] Russell Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Hollis-Jefferson (1 AST)","-4","35","2","0","99","1","","1610612751","1626156","4","2","1626178","1610612751"
"16","23","10:13","[LAL] Ball Jump Shot: Missed","-7","32","2","0","1","2","","1610612747","1628366","4","2","","1610612747"
"17","24","10:10","[BKN] Mozgov Rebound (Off:0 Def:1)","-7","32","0","0","0","4","","1610612751","202389","4","2","","1610612747"
"18","25","09:52","[BKN] Hollis-Jefferson Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","40","25","0","0","45","5","","1610612751","1626178","4","2","","1610612751"
