"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:58","Jump Ball Adams vs Horford (Westbrook gains possession)","0","-80","0","0","0","10","201143","1610612760","203500","0","0","201566","1610612760"
"3","7","11:45","[OKC] George 3pt Shot: Missed","122","231","3","0","1","2","","1610612760","202331","0","0","","1610612760"
"4","8","11:41","[BOS] Tatum Rebound (Off:0 Def:1)","122","231","0","0","0","4","","1610612738","1628369","0","0","","1610612760"
"5","9","11:33","[OKC] George Foul: Shooting (1 PF) (2 FTA) (P Fraher)","-2","807","0","0","2","6","203382","1610612760","202331","0","0","","1610612738"
"6","11","11:33","[BOS] Baynes Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612738","203382","0","0","","1610612738"
"7","12","11:33","[BOS] Team Rebound","0","-80","1","0","1","4","","1610612738","0","0","0","","1610612738"
"8","13","11:33","[BOS 1-0] Baynes Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612738","203382","0","1","","1610612738"
"9","14","11:15","[OKC] Anthony Step Back Jump shot: Missed","103","48","2","0","80","2","","1610612760","2546","0","1","","1610612760"
"10","15","11:12","[BOS] Horford Rebound (Off:0 Def:1)","103","48","0","0","0","4","","1610612738","201143","0","1","","1610612760"
"11","16","11:04","[BOS] Irving Pullup Jump shot: Missed","-98","4","2","0","79","2","","1610612738","202681","0","1","","1610612738"
"12","17","10:59","[BOS] Baynes Rebound (Off:1 Def:0)","-98","4","1","0","0","4","","1610612738","203382","0","1","","1610612738"
"13","18","10:59","[BOS] Baynes Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612738","203382","0","1","","1610612738"
"14","19","10:59","[OKC] Adams Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612760","203500","0","1","","1610612738"
"15","20","10:49","[OKC] Westbrook Pullup Jump shot: Missed","116","61","2","0","79","2","","1610612760","201566","0","1","","1610612760"
"16","21","10:45","[OKC] George Rebound (Off:1 Def:0)","116","61","1","0","0","4","","1610612760","202331","0","1","","1610612760"
"17","22","10:44","[OKC 2-1] George Putback Layup Shot: Made (2 PTS)","10","0","2","0","72","1","","1610612760","202331","2","1","","1610612760"
"18","23","10:25","[BOS] Tatum Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-100","183","0","0","45","5","","1610612738","1628369","2","1","","1610612738"
"19","24","10:14","[OKC] Westbrook Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","113","77","0","0","45","5","","1610612760","201566","2","1","","1610612760"
"20","25","10:01","[OKC] Adams Foul: Shooting (1 PF) (2 FTA) (P Fraher)","5","768","0","0","2","6","1628369","1610612760","203500","2","1","","1610612738"
"21","27","10:01","[BOS] Tatum Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612738","1628369","2","1","","1610612738"
"22","28","10:01","[BOS] Team Rebound","0","-80","1","0","1","4","","1610612738","0","2","1","","1610612738"
"23","29","10:01","[BOS 2-2] Tatum Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612738","1628369","2","2","","1610612738"
"24","30","09:38","[BOS] Tatum Foul: Shooting (1 PF) (2 FTA) (B Taylor)","-5","101","0","0","2","6","2546","1610612738","1628369","2","2","","1610612760"
"25","32","09:38","[OKC 3-2] Anthony Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612760","2546","3","2","","1610612760"
"26","33","09:38","[OKC 4-2] Anthony Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612760","2546","4","2","","1610612760"
"27","34","09:27","[BOS] Irving 3pt Shot: Missed","18","256","3","0","79","2","","1610612738","202681","4","2","","1610612738"
"28","35","09:22","[BOS] Horford Rebound (Off:1 Def:1)","18","256","1","0","0","4","","1610612738","201143","4","2","","1610612738"
"29","36","09:20","[BOS 4-4] Tatum Pullup Jump shot: Made (3 PTS) Assist: Horford (1 AST)","-93","114","2","0","79","1","","1610612738","1628369","4","4","201143","1610612738"
"30","38","09:06","[OKC] Westbrook Driving Layup Shot: Missed","-9","11","2","0","6","2","","1610612760","201566","4","4","","1610612760"
"31","39","09:04","[OKC] Adams Rebound (Off:1 Def:1)","-9","11","1","0","0","4","","1610612760","203500","4","4","","1610612760"
"32","40","09:03","[OKC] Adams Turnover : Lost Ball (1 TO) Steal:Irving (1 ST)","-16","52","1","0","2","5","202681","1610612760","203500","4","4","","1610612760"
"33","42","08:58","[BOS] Tatum Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","17","50","0","0","45","5","","1610612738","1628369","4","4","","1610612738"
"34","43","08:42","[OKC 6-4] George Reverse Layup Shot: Made (4 PTS) Assist: Adams (1 AST)","8","1","2","0","44","1","","1610612760","202331","6","4","203500","1610612760"
"35","45","08:15","[BOS] Team Turnover : Shot Clock Turnover","9","87","0","0","11","5","","1610612738","0","6","4","","1610612738"
"36","46","08:03","[OKC] George Turnover : Bad Pass (1 TO) Steal:Irving (2 ST)","-110","194","1","0","1","5","202681","1610612760","202331","6","4","","1610612760"
"37","48","07:58","[BOS] Irving Running Layup Shot: Missed","5","20","2","1","41","2","","1610612738","202681","6","4","","1610612738"
"38","49","07:55","[BOS] Brown Rebound (Off:1 Def:0)","5","20","1","0","0","4","","1610612738","1627759","6","4","","1610612738"
"39","50","07:54","[BOS 6-6] Brown Putback Layup Shot: Made (2 PTS)","6","9","2","0","72","1","","1610612738","1627759","6","6","","1610612738"
"40","51","07:38","[OKC 9-6] George 3pt Shot: Made (7 PTS) Assist: Westbrook (1 AST)","82","230","3","0","1","1","","1610612760","202331","9","6","201566","1610612760"
"41","53","07:24","[BOS] Irving 3pt Shot: Missed","-205","131","3","0","1","2","","1610612738","202681","9","6","","1610612738"
"42","54","07:22","[OKC] Anthony Rebound (Off:0 Def:1)","-205","131","0","0","0","4","","1610612760","2546","9","6","","1610612738"
"43","55","07:15","[OKC] Westbrook Driving Layup Shot: Missed","8","5","2","0","6","2","202681","1610612760","201566","9","6","","1610612760"
"44","57","07:12","[OKC] Adams Rebound (Off:2 Def:1)","8","5","1","0","0","4","","1610612760","203500","9","6","","1610612760"
"45","58","07:12","[OKC 11-6] Adams Putback Dunk Shot: Made (2 PTS)","5","6","2","0","87","1","","1610612760","203500","11","6","","1610612760"
