"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Lopez vs Vucevic (Markkanen gains possession)","0","-80","0","0","0","10","202696","1610612741","201577","0","0","1628374","1610612741"
"3","7","11:42","[CHI] Lopez Turnaround Hook Shot: Missed","79","19","2","0","58","2","","1610612741","201577","0","0","","1610612741"
"4","8","11:35","[CHI] Markkanen Rebound (Off:1 Def:0)","79","19","1","0","0","4","","1610612741","1628374","0","0","","1610612741"
"5","9","11:35","[CHI] Markkanen Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612741","1628374","0","0","","1610612741"
"6","10","11:34","[ORL] Gordon Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612753","203932","0","0","","1610612741"
"7","11","11:25","[ORL] Mack 3pt Shot: Missed","-218","-2","3","0","1","2","","1610612753","202714","0","0","","1610612753"
"8","12","11:22","[CHI] Markkanen Rebound (Off:1 Def:1)","-218","-2","0","0","0","4","","1610612741","1628374","0","0","","1610612753"
"9","13","11:12","[CHI 2-0] Holiday Driving Layup Shot: Made (2 PTS)","2","15","2","0","6","1","","1610612741","203200","0","2","","1610612741"
"10","14","10:52","[ORL] Ross 3pt Shot: Missed","230","25","3","0","1","2","","1610612753","203082","0","2","","1610612753"
"11","15","10:49","[CHI] Grant Rebound (Off:0 Def:1)","230","25","0","0","0","4","","1610612741","1626170","0","2","","1610612753"
"12","16","10:44","[CHI 5-0] Markkanen 3pt Shot: Made (3 PTS) Assist: Grant (1 AST)","180","178","3","0","1","1","","1610612741","1628374","0","5","1626170","1610612741"
"13","17","10:27","[ORL] Vucevic Jump Shot: Missed","13","224","2","0","1","2","","1610612753","202696","0","5","","1610612753"
"14","18","10:24","[CHI] Grant Rebound (Off:0 Def:2)","13","224","0","0","0","4","","1610612741","1626170","0","5","","1610612753"
