"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Gortat vs James (Wall gains possession)","0","-80","0","0","0","10","2544","1610612764","101162","0","0","202322","1610612764"
"3","7","11:42","[WAS] Mark Morris Turnover : Bad Pass (1 TO) Steal:Smith (1 ST)","-32","64","1","0","1","5","2747","1610612764","202693","0","0","","1610612764"
"4","9","11:34","[WAS] Beal Foul: Shooting (1 PF) (2 FTA) (B Kennedy)","0","-80","0","0","2","6","203109","1610612764","203078","0","0","","1610612739"
"5","11","11:34","[CLE 1-0] Crowder Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612739","203109","0","1","","1610612739"
"6","12","11:34","[CLE 2-0] Crowder Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612739","203109","0","2","","1610612739"
"7","13","11:25","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","2","","1610612764"
"8","14","11:18","[WAS] Beal Turnover : Lost Ball (1 TO) Steal:James (1 ST)","-38","33","1","0","2","5","2544","1610612764","203078","0","2","","1610612764"
"9","16","11:14","[CLE 4-0] Rose Layup Shot: Made (2 PTS) Assist: James (1 AST)","3","15","2","0","5","1","","1610612739","201565","0","4","2544","1610612739"
"10","18","10:58","[WAS 2-4] Mark Morris Layup Shot: Made (2 PTS)","2","8","2","0","5","1","","1610612764","202693","2","4","","1610612764"
"11","19","10:34","[CLE] Love 3pt Shot: Missed","-228","65","3","0","1","2","","1610612739","201567","2","4","","1610612739"
"12","20","10:31","[WAS] Mark Morris Rebound (Off:0 Def:1)","-228","65","0","0","0","4","","1610612764","202693","2","4","","1610612739"
"13","21","10:30","[WAS 5-4] Porter Jr. 3pt Shot: Made (3 PTS) Assist: Wall (1 AST)","223","109","3","0","1","1","","1610612764","203490","5","4","202322","1610612764"
"14","23","10:10","[CLE 7-5] Love 3pt Shot: Made (3 PTS) Assist: James (2 AST)","-225","42","3","0","1","1","","1610612739","201567","5","7","2544","1610612739"
"15","25","09:48","[WAS] Mark Morris Turnaround Jump Shot: Missed","27","93","2","0","47","2","","1610612764","202693","5","7","","1610612764"
"16","26","09:47","[WAS] Porter Jr. Rebound (Off:1 Def:0)","27","93","1","0","0","4","","1610612764","203490","5","7","","1610612764"
"17","30","09:45","[WAS] Porter Jr. Turnover : No Turnover (1 TO) Steal:Love (1 ST)","0","-80","1","0","0","5","201567","1610612764","203490","5","7","","1610612764"
"18","32","09:39","[CLE 9-5] James Running Layup Shot: Made (2 PTS)","1","26","2","1","41","1","","1610612739","2544","5","9","","1610612739"
"19","33","09:32","[WAS 7-9] Gortat Cutting Layup Shot: Made (2 PTS) Assist: Wall (2 AST)","-8","6","2","0","98","1","","1610612764","101162","7","9","202322","1610612764"
"20","35","09:21","[CLE] Team Timeout : Regular","0","-80","0","0","1","9","","1610612739","1610612739","7","9","","1610612739"
"21","36","09:11","[CLE 11-7] James Turnaround Hook Shot: Made (4 PTS)","5","12","2","0","58","1","","1610612739","2544","7","11","","1610612739"
"22","37","08:58","[WAS] Wall 3pt Shot: Missed","-159","214","3","0","79","2","","1610612764","202322","7","11","","1610612764"
"23","38","08:55","[WAS] Porter Jr. Rebound (Off:2 Def:0)","-159","214","1","0","0","4","","1610612764","203490","7","11","","1610612764"
"24","39","08:55","[WAS 9-11] Porter Jr. Layup Shot: Made (5 PTS)","-7","12","2","0","5","1","","1610612764","203490","9","11","","1610612764"
"25","40","08:47","[CLE 13-9] Rose Running Layup Shot: Made (4 PTS)","12","15","2","0","41","1","","1610612739","201565","9","13","","1610612739"
"26","41","08:26","[WAS 11-13] Gortat Turnaround Hook Shot: Made (4 PTS)","-100","-12","2","0","58","1","","1610612764","101162","11","13","","1610612764"
