"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","12:00","Jump Ball Dedmon vs Capela (Schroder gains possession)","0","-80","0","0","0","10","203991","1610612737","203473","0","0","203471","1610612737"
"3","7","11:43","[ATL] Prince Jump Shot: Missed","105","163","2","0","1","2","","1610612737","1627752","0","0","","1610612737"
"4","8","11:40","[HOU] Gordon Rebound (Off:0 Def:1)","105","163","0","0","0","4","","1610612745","201569","0","0","","1610612737"
"5","9","11:29","[HOU] Anderson 3pt Shot: Missed","163","183","3","0","1","2","","1610612745","201583","0","0","","1610612745"
"6","10","11:29","[ATL] Prince Rebound (Off:0 Def:1)","163","183","0","0","0","4","","1610612737","1627752","0","0","","1610612745"
"7","11","11:12","[ATL 2-0] Bazemore Reverse Layup Shot: Made (2 PTS)","14","7","2","0","44","1","","1610612737","203145","2","0","","1610612737"
"8","12","10:52","[ATL] Muscala Violation:Kicked Ball","0","-80","0","0","5","7","","1610612737","203488","2","0","","1610612745"
"9","13","10:45","[HOU 3-2] Gordon 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","87","248","3","0","1","1","","1610612745","201569","2","3","201935","1610612745"
"10","15","10:24","[ATL] Schroder Foul: Offensive Charge (1 PF) (S Corbin)","202","93","0","0","26","6","201569","1610612737","203471","2","3","","1610612737"
"11","17","10:24","[ATL] Schroder Turnover : Offensive Foul Turnover (1 TO)","202","93","0","0","37","5","","1610612737","203471","2","3","","1610612737"
"12","18","10:05","[HOU 5-2] Harden Driving Floating Jump Shot: Made (2 PTS)","-11","53","2","0","101","1","","1610612745","201935","2","5","","1610612745"
"13","19","09:54","[ATL] Schroder 3pt Shot: Missed","-85","241","3","0","1","2","","1610612737","203471","2","5","","1610612737"
"14","20","09:48","[HOU] Anderson Rebound (Off:0 Def:1)","-85","241","0","0","0","4","","1610612745","201583","2","5","","1610612737"
"15","21","09:36","[HOU] Ariza 3pt Shot: Missed","-231","59","3","0","1","2","","1610612745","2772","2","5","","1610612745"
"16","22","09:31","[ATL] Dedmon Rebound (Off:0 Def:1)","-231","59","0","0","0","4","","1610612737","203473","2","5","","1610612745"
"17","23","09:23","[ATL 4-5] Prince Layup Shot: Made (2 PTS)","9","19","2","0","5","1","","1610612737","1627752","4","5","","1610612737"
"18","24","09:16","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","5","","1610612745"
"19","25","09:12","[HOU 7-4] Ariza Dunk Shot: Made (2 PTS) Assist: Capela (1 AST)","-2","11","2","0","7","1","","1610612745","2772","4","7","203991","1610612745"
"20","27","08:56","[ATL] Prince 3pt Shot: Missed","-106","236","3","0","1","2","","1610612737","1627752","4","7","","1610612737"
"21","28","08:53","[HOU] Anderson Rebound (Off:0 Def:2)","-106","236","0","0","0","4","","1610612745","201583","4","7","","1610612737"
"22","29","08:51","[ATL] Muscala Foul: Shooting (1 PF) (2 FTA) (M Lindsay)","3","807","0","0","2","6","203991","1610612737","203488","4","7","","1610612745"
"23","31","08:51","[HOU 8-4] Capela Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612745","203991","4","8","","1610612745"
"24","32","08:51","[HOU 9-4] Capela Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612745","203991","4","9","","1610612745"
"25","33","08:41","[ATL 6-9] Schroder Driving Layup Shot: Made (2 PTS)","12","17","2","0","6","1","","1610612737","203471","6","9","","1610612737"
"26","34","08:31","[HOU 12-6] Gordon 3pt Shot: Made (6 PTS)","132","220","3","0","1","1","","1610612745","201569","6","12","","1610612745"
"27","35","08:16","[ATL] Schroder Turnover : Bad Pass (2 TO) Steal:Ariza (1 ST)","154","391","1","0","1","5","2772","1610612737","203471","6","12","","1610612737"
"28","38","08:13","[ATL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612737","1610612737","6","14","","1610612737"
"29","39","08:13","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","6","14","","1610612737"
"30","37","08:12","[HOU 14-6] Ariza Running Layup Shot: Made (4 PTS)","-13","8","2","1","41","1","","1610612745","2772","6","14","","1610612745"
"31","40","07:54","[ATL 8-14] Bazemore Driving Layup Shot: Made (4 PTS)","2","45","2","0","6","1","","1610612737","203145","8","14","","1610612737"
"32","41","07:36","[HOU] Capela Driving Hook Shot: Missed","-2","90","2","0","57","2","","1610612745","203991","8","14","","1610612745"
"33","42","07:31","[ATL] Schroder Rebound (Off:0 Def:1)","-2","90","0","0","0","4","","1610612737","203471","8","14","","1610612745"
"34","43","07:27","[ATL] Muscala 3pt Shot: Missed","-193","173","3","0","79","2","","1610612737","203488","8","14","","1610612737"
"35","44","07:27","[HOU] Anderson Rebound (Off:0 Def:3)","-193","173","0","0","0","4","","1610612745","201583","8","14","","1610612737"
"36","45","07:21","[HOU 17-8] Harden 3pt Shot: Made (5 PTS)","114","225","3","1","103","1","","1610612745","201935","8","17","","1610612745"
"37","46","06:57","[ATL 10-17] Dedmon Floating Jump shot: Made (2 PTS) Assist: Bazemore (1 AST)","-3","18","2","0","78","1","","1610612737","203473","10","17","203145","1610612737"
"38","48","06:57","[HOU] Capela Violation:Defensive Goaltending","0","-80","0","0","2","7","","1610612745","203991","10","17","","1610612745"
"39","49","06:47","[HOU 20-10] Anderson 3pt Shot: Made (3 PTS) Assist: Harden (2 AST)","127","214","3","0","1","1","","1610612745","201583","10","20","201935","1610612745"
"40","51","06:31","[HOU] Ariza Foul: Shooting (1 PF) (2 FTA) (S Corbin)","-109","661","0","0","2","6","203145","1610612745","2772","10","20","","1610612737"
"41","53","06:31","[ATL] Bazemore Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612737","203145","10","20","","1610612737"
"42","54","06:31","[ATL] Team Rebound","0","-80","1","0","1","4","","1610612737","0","10","20","","1610612737"
"43","59","06:31","[ATL] Prince Substitution replaced by Belinelli","0","-80","0","0","0","8","","1610612737","1627752","10","20","201158","1610612737"
"44","60","06:31","[HOU] Anderson Substitution replaced by Tucker","0","-80","0","0","0","8","","1610612745","201583","10","20","200782","1610612737"
