"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Embiid vs Sabonis (Simmons gains possession)","0","-80","0","0","0","10","1627734","1610612755","203954","0","0","1627732","1610612755"
"3","7","11:39","[PHI] Embiid Hook Shot: Missed","-14","2","2","0","3","2","","1610612755","203954","0","0","","1610612755"
"4","8","11:35","[IND] Sabonis Rebound (Off:0 Def:1)","-14","2","0","0","0","4","","1610612754","1627734","0","0","","1610612755"
"5","9","11:20","[IND 2-0] Young Floating Jump shot: Made (2 PTS) Assist: Oladipo (1 AST)","-8","35","2","0","78","1","","1610612754","201152","0","2","203506","1610612754"
"6","12","11:10","[IND] Collison Foul: Personal (1 PF) (G Zielinski)","41","52","0","0","1","6","1627732","1610612754","201954","0","2","","1610612755"
"7","14","10:58","[PHI 2-2] Redick Pullup Jump shot: Made (2 PTS) Assist: Embiid (1 AST)","182","4","2","0","79","1","","1610612755","200755","2","2","203954","1610612755"
"8","16","10:40","[IND] Oladipo Turnover : Bad Pass (1 TO) Steal:Simmons (1 ST)","75","222","1","0","1","5","1627732","1610612754","203506","2","2","","1610612754"
"9","18","10:36","[PHI 4-2] Covington Running Dunk Shot: Made (2 PTS) Assist: Simmons (1 AST)","3","2","2","1","50","1","","1610612755","203496","4","2","1627732","1610612755"
"10","20","10:29","[IND 4-4] Bogdanovic Running Jump Shot: Made (2 PTS) Assist: Collison (1 AST)","-74","54","2","1","2","1","","1610612754","202711","4","4","201954","1610612754"
"11","22","10:20","[PHI 6-4] Saric Jump Shot: Made (2 PTS) Assist: Simmons (2 AST)","-82","146","2","0","1","1","","1610612755","203967","6","4","1627732","1610612755"
"12","24","10:06","[IND 6-6] Young Driving Layup Shot: Made (4 PTS) Assist: Oladipo (2 AST)","-8","8","2","0","6","1","","1610612754","201152","6","6","203506","1610612754"
"13","26","09:52","[PHI 8-6] Simmons Dunk Shot: Made (2 PTS) Assist: Embiid (2 AST)","7","2","2","0","7","1","","1610612755","1627732","8","6","203954","1610612755"
"14","28","09:34","[IND] Oladipo Turnover : Lost Ball (2 TO) Steal:Embiid (1 ST)","-41","216","1","0","2","5","203954","1610612754","203506","8","6","","1610612754"
"15","30","09:29","[PHI] Embiid Layup Shot: Missed","9","34","2","0","5","2","","1610612755","203954","8","6","","1610612755"
"16","31","09:27","[PHI] Simmons Rebound (Off:1 Def:0)","9","34","1","0","0","4","","1610612755","1627732","8","6","","1610612755"
"17","32","09:26","[PHI] Simmons Layup Shot: Missed","0","12","2","0","5","2","","1610612755","1627732","8","6","","1610612755"
"18","33","09:26","[PHI] Saric Rebound (Off:1 Def:0)","0","12","1","0","0","4","","1610612755","203967","8","6","","1610612755"
"19","34","09:20","[PHI 10-6] Saric Tip Layup Shot: Made (4 PTS)","0","-5","2","0","97","1","","1610612755","203967","10","6","","1610612755"
"20","35","09:10","[IND] Collison Driving Reverse Layup Shot: Missed","10","1","2","0","73","2","1627732","1610612754","201954","10","6","","1610612754"
"21","37","09:10","[IND] Team Rebound","10","1","1","0","0","4","","1610612754","0","10","6","","1610612754"
"22","38","09:08","[IND 8-10] Bogdanovic Step Back Jump shot: Made (4 PTS) Assist: Oladipo (3 AST)","80","71","2","0","80","1","","1610612754","202711","10","8","203506","1610612754"
"23","40","08:55","[PHI] Redick 3pt Shot: Missed","-136","217","3","0","1","2","","1610612755","200755","10","8","","1610612755"
"24","41","08:51","[PHI] Embiid Rebound (Off:1 Def:0)","-136","217","1","0","0","4","","1610612755","203954","10","8","","1610612755"
"25","42","08:51","[PHI 12-8] Embiid Turnaround Hook Shot: Made (2 PTS)","112","91","2","0","58","1","","1610612755","203954","12","8","","1610612755"
"26","43","08:37","[IND] Oladipo Pullup Jump shot: Missed","-90","157","2","0","79","2","","1610612754","203506","12","8","","1610612754"
"27","44","08:33","[PHI] Covington Rebound (Off:0 Def:1)","-90","157","0","0","0","4","","1610612755","203496","12","8","","1610612754"
"28","45","08:27","[PHI] Covington 3pt Shot: Missed","117","243","3","0","1","2","","1610612755","203496","12","8","","1610612755"
"29","46","08:22","[IND] Collison Rebound (Off:0 Def:1)","117","243","0","0","0","4","","1610612754","201954","12","8","","1610612755"
"30","47","08:20","[IND 10-12] Bogdanovic Driving Layup Shot: Made (6 PTS)","16","11","2","0","6","1","","1610612754","202711","12","10","","1610612754"
"31","48","08:20","[PHI] Saric Foul: Shooting (1 PF) (1 FTA) (T Brown)","16","21","0","0","2","6","202711","1610612755","203967","12","10","","1610612755"
"32","50","08:20","[IND 11-12] Bogdanovic Free Throw 1 of 1 (7 PTS)","0","-80","1","0","10","3","","1610612754","202711","12","11","","1610612754"
"33","51","08:09","[PHI 15-11] Saric 3pt Shot: Made (7 PTS) Assist: Simmons (3 AST)","-138","220","3","0","1","1","","1610612755","203967","15","11","1627732","1610612755"
"34","53","07:49","[IND] Sabonis Jump Shot: Missed","-39","174","2","0","1","2","","1610612754","1627734","15","11","","1610612754"
"35","54","07:46","[PHI] Simmons Rebound (Off:1 Def:1)","-39","174","0","0","0","4","","1610612755","1627732","15","11","","1610612754"
"36","55","07:29","[PHI] Redick Driving Layup Shot: Missed","-4","14","2","0","6","2","","1610612755","200755","15","11","","1610612755"
"37","56","07:27","[IND] Oladipo Rebound (Off:0 Def:1)","-4","14","0","0","0","4","","1610612754","203506","15","11","","1610612755"
"38","57","07:22","[IND] Bogdanovic Running Layup Shot: Missed","14","-4","2","0","41","2","203496","1610612754","202711","15","11","","1610612754"
"39","59","07:18","[PHI] Embiid Rebound (Off:1 Def:1)","14","-4","0","0","0","4","","1610612755","203954","15","11","","1610612754"
"40","60","07:14","[PHI 17-11] Covington Alley Oop Layup shot: Made (4 PTS) Assist: Redick (1 AST)","18","13","2","0","43","1","","1610612755","203496","17","11","200755","1610612755"
"41","62","06:52","[IND 13-17] Young Driving Floating Jump Shot: Made (6 PTS)","44","61","2","0","101","1","","1610612754","201152","17","13","","1610612754"
"42","63","06:39","[PHI] Simmons Turnaround Jump Shot: Missed","44","65","2","0","47","2","","1610612755","1627732","17","13","","1610612755"
