"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","24","12:00","[DET] Drummond Foul: Loose Ball (1 PF) (D Collins)","-7","428","0","0","3","6","203089","1610612765","203083","0","0","","0"
"3","5","11:46","[MIL] Antetokounmpo Turnover : Lost Ball (1 TO) Steal:Harris (1 ST)","-85","55","1","0","2","5","202699","1610612749","203507","0","0","","1610612749"
"4","7","11:34","[DET] Johnson 3pt Shot: Missed","-138","240","3","0","1","2","","1610612765","1626169","0","0","","1610612765"
"5","8","11:29","[MIL] Henson Rebound (Off:0 Def:1)","-138","240","0","0","0","4","","1610612749","203089","0","0","","1610612765"
"6","9","11:13","[MIL] Middleton 3pt Shot: Missed","-133","214","3","0","1","2","","1610612749","203114","0","0","","1610612749"
"7","10","11:10","[DET] Jackson Rebound (Off:0 Def:1)","-133","214","0","0","0","4","","1610612765","202704","0","0","","1610612749"
"8","11","10:52","[DET] Jackson 3pt Shot: Missed","-128","261","3","0","1","2","","1610612765","202704","0","0","","1610612765"
"9","12","10:47","[MIL] Henson Rebound (Off:0 Def:2)","-128","261","0","0","0","4","","1610612749","203089","0","0","","1610612765"
"10","13","10:40","[MIL 2-0] Antetokounmpo Pullup Jump shot: Made (2 PTS) Assist: Brogdon (1 AST)","-124","143","2","0","79","1","","1610612749","203507","0","2","1627763","1610612749"
"11","15","10:23","[DET] Bradley Turnover : Bad Pass (1 TO)","-81","54","0","0","1","5","","1610612765","202340","0","2","","1610612765"
"12","16","10:12","[MIL 4-0] Snell Layup Shot: Made (2 PTS) Assist: Middleton (1 AST)","0","0","2","0","5","1","","1610612749","203503","0","4","203114","1610612749"
"13","18","09:48","[DET] Harris Jump Shot: Missed","-101","41","2","0","1","2","","1610612765","202699","0","4","","1610612765"
"14","19","09:48","[MIL] Henson Rebound (Off:0 Def:3)","-101","41","0","0","0","4","","1610612749","203089","0","4","","1610612765"
"15","20","09:34","[MIL 6-0] Henson Hook Shot: Made (2 PTS) Assist: Brogdon (2 AST)","-52","28","2","0","3","1","","1610612749","203089","0","6","1627763","1610612749"
"16","22","09:20","[DET 3-6] Harris 3pt Shot: Made (3 PTS) Assist: Jackson (1 AST)","-223","95","3","0","1","1","","1610612765","202699","3","6","202704","1610612765"
"17","26","09:02","[MIL 8-3] Antetokounmpo Step Back Jump shot: Made (4 PTS) Assist: Brogdon (3 AST)","-2","89","2","0","80","1","","1610612749","203507","3","8","1627763","1610612749"
"18","28","08:40","[DET 6-8] Bradley 3pt Shot: Made (3 PTS) Assist: Johnson (1 AST)","234","30","3","0","1","1","","1610612765","202340","6","8","1626169","1610612765"
"19","30","08:27","[MIL 11-6] Brogdon 3pt Shot: Made (3 PTS)","136","226","3","0","1","1","","1610612749","1627763","6","11","","1610612749"
"20","31","08:06","[DET] Bradley 3pt Shot: Missed","-229","9","3","0","1","2","","1610612765","202340","6","11","","1610612765"
"21","32","08:04","[MIL] Snell Rebound (Off:0 Def:1)","-229","9","0","0","0","4","","1610612749","203503","6","11","","1610612765"
"22","33","07:53","[MIL 13-6] Middleton Driving Layup Shot: Made (2 PTS) Assist: Antetokounmpo (1 AST)","12","3","2","0","6","1","","1610612749","203114","6","13","203507","1610612749"
"23","35","07:45","[DET] Team Timeout : Regular","0","-80","0","0","1","9","","1610612765","1610612765","6","13","","1610612765"
"24","36","07:38","[DET 9-13] Harris 3pt Shot: Made (6 PTS) Assist: Jackson (2 AST)","201","163","3","0","1","1","","1610612765","202699","9","13","202704","1610612765"
"25","38","07:13","[MIL] Brogdon 3pt Shot: Missed","127","228","3","0","1","2","","1610612749","1627763","9","13","","1610612749"
"26","39","07:10","[MIL] Antetokounmpo Rebound (Off:1 Def:0)","127","228","1","0","0","4","","1610612749","203507","9","13","","1610612749"
"27","40","07:08","[MIL 15-9] Antetokounmpo Reverse Layup Shot: Made (6 PTS)","-5","9","2","0","44","1","","1610612749","203507","9","15","","1610612749"
"28","41","06:44","[DET] Harris Layup Shot: Missed","4","12","2","0","5","2","203503","1610612765","202699","9","15","","1610612765"
"29","43","06:42","[MIL] Snell Rebound (Off:0 Def:2)","4","12","0","0","0","4","","1610612749","203503","9","15","","1610612765"
"30","44","06:42","[DET] Drummond Foul: Personal (2 PF) (D Collins)","-20","161","0","0","1","6","203507","1610612765","203083","9","15","","1610612749"
"31","48","06:42","[DET] Drummond Substitution replaced by Moreland","0","-80","0","0","0","8","","1610612765","203083","9","15","203961","1610612749"
"32","49","06:42","[MIL] Snell Substitution replaced by Liggins","0","-80","0","0","0","8","","1610612749","203503","9","15","202732","1610612749"
"33","50","06:30","[MIL 18-9] Brogdon 3pt Shot: Made (6 PTS) Assist: Middleton (2 AST)","-134","218","3","0","1","1","","1610612749","1627763","9","18","203114","1610612749"
"34","52","06:07","[MIL] Liggins Foul: Shooting (1 PF) (3 FTA) (S Wall)","90","593","0","0","2","6","202340","1610612749","202732","9","18","","1610612765"
"35","54","06:07","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","9","18","","1610612765"
"36","55","06:07","[DET 10-18] Bradley Free Throw 1 of 3 (4 PTS)","0","-80","1","0","13","3","","1610612765","202340","10","18","","1610612765"
"37","56","06:07","[DET 11-18] Bradley Free Throw 2 of 3 (5 PTS)","0","-80","1","0","14","3","","1610612765","202340","11","18","","1610612765"
"38","57","06:07","[DET 12-18] Bradley Free Throw 3 of 3 (6 PTS)","0","-80","1","0","15","3","","1610612765","202340","12","18","","1610612765"
"39","58","05:56","[MIL 20-12] Antetokounmpo Jump Shot: Made (8 PTS) Assist: Brogdon (4 AST)","-73","168","2","0","1","1","","1610612749","203507","12","20","1627763","1610612749"
"40","60","05:37","[DET] Bradley Turnover : Bad Pass (2 TO)","20","101","0","0","1","5","","1610612765","202340","12","20","","1610612765"
"41","61","05:25","[MIL] Antetokounmpo Turnaround Jump Shot: Missed","-92","62","2","0","47","2","","1610612749","203507","12","20","","1610612749"
"42","62","05:22","[DET] Harris Rebound (Off:0 Def:1)","-92","62","0","0","0","4","","1610612765","202699","12","20","","1610612749"
"43","63","05:02","[DET 14-20] Harris Driving Layup Shot: Made (8 PTS)","-5","12","2","0","6","1","","1610612765","202699","14","20","","1610612765"
