"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Davis vs Noel (Cousins gains possession)","0","-80","0","0","0","10","203457","1610612740","203076","0","0","202326","1610612740"
"3","7","11:46","[NOP 2-0] Cousins Cutting Layup Shot: Made (2 PTS) Assist: Davis (1 AST)","0","3","2","0","98","1","","1610612740","202326","0","2","203076","1610612740"
"4","9","11:19","[DAL] Matthews Fadeaway Jump Shot: Missed","-82","145","2","0","63","2","","1610612742","202083","0","2","","1610612742"
"5","10","11:17","[NOP] Cousins Rebound (Off:0 Def:1)","-82","145","0","0","0","4","","1610612740","202326","0","2","","1610612742"
"6","11","11:08","[NOP] Holiday 3pt Shot: Missed","-221","63","3","0","1","2","","1610612740","201950","0","2","","1610612740"
"7","12","11:05","[DAL] Barnes Rebound (Off:0 Def:1)","-221","63","0","0","0","4","","1610612742","203084","0","2","","1610612740"
"8","13","10:47","[DAL] Smith Jr. Driving Layup Shot: Missed","-34","17","2","0","6","2","203076","1610612742","1628372","0","2","","1610612742"
"9","15","10:44","[DAL] Smith Jr. Rebound (Off:1 Def:0)","-34","17","1","0","0","4","","1610612742","1628372","0","2","","1610612742"
"10","16","10:43","[DAL] Smith Jr. Layup Shot: Missed","-8","11","2","0","5","2","","1610612742","1628372","0","2","","1610612742"
"11","17","10:43","[NOP] Cousins Rebound (Off:0 Def:2)","-8","11","0","0","0","4","","1610612740","202326","0","2","","1610612742"
"12","18","10:30","[NOP 4-0] Cousins Cutting Finger Roll Layup Shot: Made (4 PTS) Assist: Holiday (1 AST)","-4","14","2","0","99","1","","1610612740","202326","0","4","201950","1610612740"
"13","20","10:17","[DAL] Barnes Pullup Jump shot: Missed","2","211","2","0","79","2","","1610612742","203084","0","4","","1610612742"
"14","21","10:15","[NOP] Cousins Rebound (Off:0 Def:3)","2","211","0","0","0","4","","1610612740","202326","0","4","","1610612742"
