"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:57","Jump Ball Valanciunas vs Gobert (Ibaka gains possession)","0","-80","0","0","0","10","203497","1610612761","202685","0","0","201586","1610612761"
"3","7","11:44","[TOR 2-0] Valanciunas Hook Shot: Made (2 PTS)","-13","72","2","0","3","1","","1610612761","202685","0","2","","1610612761"
"4","8","11:24","[UTA] Rubio 3pt Shot: Missed","-212","143","3","0","1","2","","1610612762","201937","0","2","","1610612762"
"5","9","11:22","[TOR] Powell Rebound (Off:0 Def:1)","-212","143","0","0","0","4","","1610612761","1626181","0","2","","1610612762"
"6","10","11:19","[TOR] Lowry 3pt Shot: Missed","171","178","3","1","1","2","","1610612761","200768","0","2","","1610612761"
"7","11","11:16","[UTA] Hood Rebound (Off:0 Def:1)","171","178","0","0","0","4","","1610612762","203918","0","2","","1610612761"
"8","12","11:07","[UTA] Hood Layup Shot: Missed","-6","50","2","0","5","2","","1610612762","203918","0","2","","1610612762"
"9","13","11:05","[UTA] Gobert Rebound (Off:1 Def:0)","-6","50","1","0","0","4","","1610612762","203497","0","2","","1610612762"
"10","14","11:04","[UTA] Gobert Layup Shot: Missed","2","19","2","0","5","2","202685","1610612762","203497","0","2","","1610612762"
"11","16","11:04","[TOR] Valanciunas Rebound (Off:0 Def:1)","2","19","0","0","0","4","","1610612761","202685","0","2","","1610612762"
"12","17","10:55","[TOR] Valanciunas Hook Shot: Missed","-16","14","2","0","3","2","","1610612761","202685","0","2","","1610612761"
"13","18","10:52","[UTA] Ingles Rebound (Off:0 Def:1)","-16","14","0","0","0","4","","1610612762","204060","0","2","","1610612761"
"14","19","10:43","[UTA 2-2] Gobert Finger Roll Layup Shot: Made (2 PTS) Assist: Ingles (1 AST)","-11","17","2","0","71","1","","1610612762","203497","2","2","204060","1610612762"
"15","21","10:22","[TOR 4-2] Ibaka Jump Shot: Made (2 PTS) Assist: Lowry (1 AST)","-5","163","2","0","1","1","","1610612761","201586","2","4","200768","1610612761"
"16","23","10:06","[UTA 4-4] Hood Pullup Jump shot: Made (2 PTS)","-32","208","2","0","79","1","","1610612762","203918","4","4","","1610612762"
"17","24","09:52","[TOR] DeRozan Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","2","67","0","0","45","5","","1610612761","201942","4","4","","1610612761"
"18","25","09:37","[UTA] Rubio 3pt Shot: Missed","-223","136","3","0","1","2","","1610612762","201937","4","4","","1610612762"
"19","26","09:33","[UTA] Favors Rebound (Off:1 Def:0)","-223","136","1","0","0","4","","1610612762","202324","4","4","","1610612762"
"20","27","09:11","[UTA] Rubio Floating Jump shot: Missed","-45","221","2","0","78","2","","1610612762","201937","4","4","","1610612762"
"21","28","09:07","[UTA] Favors Rebound (Off:2 Def:0)","-45","221","1","0","0","4","","1610612762","202324","4","4","","1610612762"
"22","29","09:07","[UTA 6-4] Favors Layup Shot: Made (2 PTS)","-13","21","2","0","5","1","","1610612762","202324","6","4","","1610612762"
"23","30","08:55","[TOR] Valanciunas Driving Layup Shot: Missed","-36","46","2","0","6","2","203497","1610612761","202685","6","4","","1610612761"
"24","32","08:52","[UTA] Favors Rebound (Off:2 Def:1)","-36","46","0","0","0","4","","1610612762","202324","6","4","","1610612761"
"25","33","08:49","[UTA] Rubio Turnover : Bad Pass (1 TO) Steal:Lowry (1 ST)","-215","150","1","0","1","5","200768","1610612762","201937","6","4","","1610612762"
"26","35","08:47","[TOR 6-6] Lowry Layup Shot: Made (2 PTS) Assist: Powell (1 AST)","19","7","2","1","5","1","","1610612761","200768","6","6","1626181","1610612761"
"27","38","08:23","[TOR] Lowry Foul: Shooting (1 PF) (J Orr)","107","827","0","0","2","6","201937","1610612761","200768","6","6","","1610612762"
"28","160","08:23","[UTA 7-6] Rubio Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612762","201937","7","6","","1610612762"
"29","159","08:23","[UTA 8-6] Rubio Free Throw 1 of 2 (2 PTS)","0","-80","1","0","11","3","","1610612762","201937","8","6","","1610612762"
"30","42","08:10","[TOR 8-8] Powell Floating Jump shot: Made (2 PTS)","6","125","2","0","78","1","","1610612761","1626181","8","8","","1610612761"
"31","43","07:54","[UTA 10-8] Rubio Pullup Jump shot: Made (4 PTS)","114","136","2","0","79","1","","1610612762","201937","10","8","","1610612762"
"32","44","07:39","[TOR 11-10] Lowry 3pt Shot: Made (5 PTS) Assist: DeRozan (1 AST)","-86","234","3","0","1","1","","1610612761","200768","10","11","201942","1610612761"
"33","46","07:18","[UTA] Gobert Layup Shot: Missed","15","47","2","0","5","2","","1610612762","203497","10","11","","1610612762"
"34","47","07:15","[TOR] DeRozan Rebound (Off:0 Def:1)","15","47","0","0","0","4","","1610612761","201942","10","11","","1610612762"
"35","48","07:09","[TOR 14-10] Lowry 3pt Shot: Made (8 PTS) Assist: DeRozan (2 AST)","-51","241","3","0","1","1","","1610612761","200768","10","14","201942","1610612761"
"36","50","07:08","[UTA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612762","1610612762","10","14","","1610612762"
"37","52","07:08","[UTA] Rubio Substitution replaced by Mitchell","0","-80","0","0","0","8","","1610612762","201937","10","14","1628378","1610612762"
