"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Towns vs Mejri (Teague gains possession)","0","-80","0","0","0","10","1626257","1610612750","1626157","0","0","201952","1610612750"
"3","7","11:43","[MIN] Teague Turnover : Out of Bounds Lost Ball Turnover (1 TO)","52","21","0","0","40","5","","1610612750","201952","0","0","","1610612750"
"4","8","11:26","[DAL] Nowitzki Jump Shot: Missed","155","54","2","0","1","2","","1610612742","1717","0","0","","1610612742"
"5","9","11:21","[MIN] Butler Rebound (Off:0 Def:1)","155","54","0","0","0","4","","1610612750","202710","0","0","","1610612742"
"6","10","11:16","[MIN] Towns 3pt Shot: Missed","29","261","3","0","1","2","","1610612750","1626157","0","0","","1610612750"
"7","11","11:12","[DAL] Smith Jr. Rebound (Off:0 Def:1)","29","261","0","0","0","4","","1610612742","1628372","0","0","","1610612750"
"8","12","10:59","[DAL] Barnes Pullup Jump shot: Missed","80","184","2","0","79","2","","1610612742","203084","0","0","","1610612742"
"9","13","10:53","[DAL] Mejri Rebound (Off:1 Def:0)","80","184","1","0","0","4","","1610612742","1626257","0","0","","1610612742"
"10","14","10:53","[DAL] Mejri Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612742","1626257","0","0","","1610612742"
"11","15","10:52","[MIN] Butler Rebound (Off:0 Def:2)","0","-5","0","0","0","4","","1610612750","202710","0","0","","1610612742"
"12","16","10:49","[MIN] Butler Pullup Jump shot: Missed","153","56","2","0","79","2","","1610612750","202710","0","0","","1610612750"
"13","17","10:47","[DAL] Smith Jr. Rebound (Off:0 Def:2)","153","56","0","0","0","4","","1610612742","1628372","0","0","","1610612750"
"14","18","10:43","[DAL] Smith Jr. Pullup Jump shot: Missed","-93","204","2","1","79","2","","1610612742","1628372","0","0","","1610612742"
"15","19","10:39","[MIN] Butler Rebound (Off:0 Def:3)","-93","204","0","0","0","4","","1610612750","202710","0","0","","1610612742"
"16","20","10:31","[MIN] Teague Turnover : Bad Pass (2 TO) Steal:Nowitzki (1 ST)","81","109","1","0","1","5","1717","1610612750","201952","0","0","","1610612750"
"17","22","10:25","[DAL 2-0] Barnes Running Layup Shot: Made (2 PTS) Assist: Matthews (1 AST)","0","35","2","0","41","1","","1610612742","203084","0","2","202083","1610612742"
"18","24","10:09","[DAL] Mejri Foul: Personal (1 PF) (C Blair)","-8","98","0","0","1","6","1626157","1610612742","1626257","0","2","","1610612750"
"19","26","10:00","[MIN 2-2] Wiggins Turnaround Jump Shot: Made (2 PTS) Assist: Teague (1 AST)","-35","52","2","0","47","1","","1610612750","203952","2","2","201952","1610612750"
"20","28","09:38","[DAL] Matthews Step Back Jump shot: Missed","103","169","2","0","80","2","","1610612742","202083","2","2","","1610612742"
"21","29","09:36","[MIN] Team Rebound","103","169","0","0","0","4","","1610612750","0","2","2","","1610612742"
"22","30","09:22","[MIN] Wiggins Pullup Jump shot: Missed","142","46","2","0","79","2","","1610612750","203952","2","2","","1610612750"
"23","31","09:19","[DAL] Nowitzki Rebound (Off:0 Def:1)","142","46","0","0","0","4","","1610612742","1717","2","2","","1610612750"
"24","32","09:01","[DAL 4-2] Smith Jr. Driving Layup Shot: Made (2 PTS)","14","8","2","0","6","1","","1610612742","1628372","2","4","","1610612742"
"25","33","08:52","[MIN 5-4] Wiggins 3pt Shot: Made (5 PTS) Assist: Teague (2 AST)","210","134","3","0","1","1","","1610612750","203952","5","4","201952","1610612750"
"26","35","08:37","[DAL] Smith Jr. Turnover : Out of Bounds Lost Ball Turnover (1 TO)","-106","-11","0","0","40","5","","1610612742","1628372","5","4","","1610612742"
"27","37","08:37","[DAL] Nowitzki Substitution replaced by Ferrell","0","-80","0","0","0","8","","1610612742","1717","5","4","1627812","1610612750"
"28","38","08:25","[DAL] Mejri Foul: Shooting (2 PF) (2 FTA) (S Foster)","0","35","0","0","2","6","1626157","1610612742","1626257","5","4","","1610612750"
"29","40","08:25","[MIN 6-4] Towns Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612750","1626157","6","4","","1610612750"
"30","42","08:25","[DAL] Mejri Substitution replaced by Noel","0","-80","0","0","0","8","","1610612742","1626257","6","4","203457","1610612750"
"31","43","08:25","[MIN 7-4] Towns Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612750","1626157","7","4","","1610612750"
"32","44","08:03","[DAL 6-7] Barnes Driving Layup Shot: Made (4 PTS) Assist: Ferrell (1 AST)","19","-1","2","0","6","1","","1610612742","203084","7","6","1627812","1610612742"
"33","46","07:52","[DAL] Smith Jr. Foul: Personal (1 PF) (K Cutler)","-24","275","0","0","1","6","201952","1610612742","1628372","7","6","","1610612750"
"34","48","07:46","[MIN 9-6] Wiggins Layup Shot: Made (7 PTS) Assist: Gibson (1 AST)","11","26","2","0","5","1","","1610612750","203952","9","6","201959","1610612750"
