"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","4","11:56","Jump Ball Gasol vs Jordan (Martin gains possession)","0","-80","0","0","0","10","201599","1610612763","201188","0","0","1626185","1610612763"
"3","7","11:40","[MEM 2-0] Gasol Turnaround Jump Shot: Made (2 PTS)","-101","46","2","0","47","1","","1610612763","201188","0","2","","1610612763"
"4","8","11:25","[LAC] Griffin Turnover : Bad Pass (1 TO) Steal:Martin (1 ST)","-44","139","1","0","1","5","1626185","1610612746","201933","0","2","","1610612746"
"5","10","11:22","[MEM] Martin Layup Shot: Missed","10","6","2","0","5","2","201933","1610612763","1626185","0","2","","1610612763"
"6","12","11:22","[MEM] Team Rebound","10","6","1","0","0","4","","1610612763","0","0","2","","1610612763"
"7","13","11:19","[MEM] Conley Cutting Layup Shot: Missed","-9","8","2","0","98","2","","1610612763","201144","0","2","","1610612763"
"8","14","11:16","[LAC] Beverley Rebound (Off:0 Def:1)","-9","8","0","0","0","4","","1610612746","201976","0","2","","1610612763"
"9","15","11:04","[LAC 2-2] Gallinari Driving Dunk Shot: Made (2 PTS)","-3","8","2","0","9","1","","1610612746","201568","2","2","","1610612746"
"10","16","10:44","[LAC] Gallinari Foul: Personal (1 PF) (K Mauer)","71","29","0","0","1","6","201188","1610612746","201568","2","2","","1610612763"
"11","18","10:37","[MEM 4-2] Conley Pullup Jump shot: Made (2 PTS)","91","122","2","0","79","1","","1610612763","201144","2","4","","1610612763"
"12","20","10:24","[MEM] Martin Foul: Shooting (1 PF) (2 FTA) (K Mauer)","7","2","0","0","2","6","201933","1610612763","1626185","2","4","","1610612746"
"13","23","10:24","[LAC 3-4] Griffin Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612746","201933","3","4","","1610612746"
"14","24","10:24","[LAC 4-4] Griffin Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612746","201933","4","4","","1610612746"
"15","19","10:23","[LAC] Griffin Layup Shot: Missed","-18","12","2","0","5","2","","1610612746","201933","2","4","","1610612746"
"16","22","10:23","[LAC] Griffin Rebound (Off:1 Def:0)","-18","12","1","0","0","4","","1610612746","201933","2","4","","1610612746"
"17","25","10:06","[MEM] Gasol Step Back Jump shot: Missed","-79","87","2","0","80","2","","1610612763","201188","4","4","","1610612763"
"18","26","10:02","[LAC] Gallinari Rebound (Off:0 Def:1)","-79","87","0","0","0","4","","1610612746","201568","4","4","","1610612763"
"19","27","09:54","[LAC] Gallinari Pullup Jump shot: Missed","-130","65","2","0","79","2","","1610612746","201568","4","4","","1610612746"
